# event_ticker=KXATPCHALLENGERMATCH-26MAY25GOMSAK
# final_score=6-3 7-5
# match_winner=Stefanos Sakellaridis
# fav_player=Stefanos Sakellaridis
# dog_player=Federico Agustin Gomez
# kalshi_date=2026-05-25
timestamp,Federico Agustin Gomez,Stefanos Sakellaridis
2026-05-25T02:29:00Z,,57.02
2026-05-25T02:31:00Z,,58.00
2026-05-25T02:32:00Z,,58.00
2026-05-25T02:46:00Z,,58.01
2026-05-25T03:05:00Z,,58.20
2026-05-25T03:25:00Z,42.00,58.20
2026-05-25T04:25:00Z,42.00,60.00
2026-05-25T05:53:00Z,42.00,60.00
2026-05-25T05:54:00Z,42.00,58.35
2026-05-25T07:57:00Z,42.00,58.35
2026-05-25T08:18:00Z,42.00,60.00
2026-05-25T08:32:00Z,41.00,60.00
2026-05-25T08:56:00Z,41.00,60.00
2026-05-25T09:12:00Z,41.00,60.00
2026-05-25T09:50:00Z,41.00,60.00
2026-05-25T10:03:00Z,41.00,60.00
2026-05-25T10:09:00Z,41.00,60.00
2026-05-25T10:26:00Z,41.00,60.00
2026-05-25T10:37:00Z,41.95,60.00
2026-05-25T11:05:00Z,42.00,60.00
2026-05-25T11:06:00Z,42.00,60.00
2026-05-25T11:10:00Z,43.00,58.85
2026-05-25T11:11:00Z,47.00,55.31
2026-05-25T11:12:00Z,47.00,57.00
2026-05-25T11:13:00Z,43.00,57.00
2026-05-25T11:14:00Z,43.00,58.35
2026-05-25T11:15:00Z,48.70,55.00
2026-05-25T11:16:00Z,49.92,53.06
2026-05-25T11:17:00Z,61.08,42.00
2026-05-25T11:18:00Z,60.81,41.75
2026-05-25T11:19:00Z,57.62,47.00
2026-05-25T11:20:00Z,58.98,47.00
2026-05-25T11:21:00Z,47.66,50.36
2026-05-25T11:22:00Z,48.00,53.96
2026-05-25T11:23:00Z,50.00,54.16
2026-05-25T11:24:00Z,48.74,53.36
2026-05-25T11:25:00Z,41.34,58.75
2026-05-25T11:26:00Z,35.55,61.17
2026-05-25T11:27:00Z,41.25,62.63
2026-05-25T11:28:00Z,38.17,63.26
2026-05-25T11:29:00Z,36.66,63.26
2026-05-25T11:30:00Z,39.20,61.00
2026-05-25T11:31:00Z,38.00,63.19
2026-05-25T11:32:00Z,38.00,68.00
2026-05-25T11:33:00Z,37.17,61.99
2026-05-25T11:34:00Z,43.00,57.00
2026-05-25T11:35:00Z,42.00,57.00
2026-05-25T11:36:00Z,42.00,59.00
2026-05-25T11:37:00Z,37.39,63.65
2026-05-25T11:38:00Z,30.00,71.00
2026-05-25T11:39:00Z,28.10,68.00
2026-05-25T11:40:00Z,22.73,77.00
2026-05-25T11:41:00Z,22.00,79.00
2026-05-25T11:42:00Z,18.91,79.00
2026-05-25T11:43:00Z,18.03,82.09
2026-05-25T11:44:00Z,18.65,82.09
2026-05-25T11:45:00Z,17.00,84.00
2026-05-25T11:46:00Z,16.00,86.00
2026-05-25T11:47:00Z,14.00,88.00
2026-05-25T11:48:00Z,14.05,85.21
2026-05-25T11:49:00Z,12.00,88.05
2026-05-25T11:50:00Z,12.00,90.79
2026-05-25T11:51:00Z,10.88,92.00
2026-05-25T11:53:00Z,7.10,92.00
2026-05-25T11:54:00Z,11.00,92.00
2026-05-25T11:55:00Z,11.00,90.00
2026-05-25T11:56:00Z,11.91,89.64
2026-05-25T11:57:00Z,11.00,89.00
2026-05-25T11:58:00Z,12.00,89.00
2026-05-25T11:59:00Z,21.36,78.43
2026-05-25T12:00:00Z,21.36,81.00
2026-05-25T12:01:00Z,22.98,77.61
2026-05-25T12:02:00Z,22.00,78.72
2026-05-25T12:03:00Z,23.38,73.75
2026-05-25T12:04:00Z,25.38,72.00
2026-05-25T12:05:00Z,26.00,73.37
2026-05-25T12:06:00Z,29.85,72.45
2026-05-25T12:07:00Z,29.35,71.00
2026-05-25T12:08:00Z,28.94,71.29
2026-05-25T12:09:00Z,27.87,71.29
2026-05-25T12:10:00Z,29.00,71.29
2026-05-25T12:11:00Z,30.00,68.00
2026-05-25T12:12:00Z,31.98,68.00
2026-05-25T12:13:00Z,29.26,68.60
2026-05-25T12:14:00Z,30.67,68.60
2026-05-25T12:15:00Z,35.59,65.64
2026-05-25T12:16:00Z,37.58,65.21
2026-05-25T12:17:00Z,33.70,67.39
2026-05-25T12:18:00Z,31.00,69.00
2026-05-25T12:19:00Z,33.85,69.00
2026-05-25T12:20:00Z,35.24,64.00
2026-05-25T12:21:00Z,37.49,63.00
2026-05-25T12:22:00Z,38.02,63.00
2026-05-25T12:23:00Z,39.00,62.43
2026-05-25T12:24:00Z,37.95,63.97
2026-05-25T12:25:00Z,37.00,65.00
2026-05-25T12:26:00Z,36.83,66.03
2026-05-25T12:27:00Z,36.83,68.75
2026-05-25T12:28:00Z,34.70,64.67
2026-05-25T12:29:00Z,34.53,66.77
2026-05-25T12:30:00Z,35.41,63.19
2026-05-25T12:31:00Z,33.88,64.28
2026-05-25T12:32:00Z,25.62,75.57
2026-05-25T12:33:00Z,17.88,82.86
2026-05-25T12:34:00Z,19.37,79.14
2026-05-25T12:35:00Z,18.57,80.53
2026-05-25T12:36:00Z,13.58,85.20
2026-05-25T12:37:00Z,14.55,86.09
2026-05-25T12:38:00Z,17.06,85.00
2026-05-25T12:39:00Z,18.17,82.07
2026-05-25T12:40:00Z,19.25,81.02
2026-05-25T12:41:00Z,19.65,83.86
2026-05-25T12:42:00Z,14.12,86.81
2026-05-25T12:43:00Z,13.11,86.90
2026-05-25T12:44:00Z,10.66,91.39
2026-05-25T12:45:00Z,3.74,96.86
2026-05-25T12:46:00Z,1.00,99.00
2026-05-25T12:47:00Z,1.00,99.00
2026-05-25T12:48:00Z,1.00,99.00
2026-05-25T12:49:00Z,1.00,99.00
2026-05-25T12:50:00Z,1.00,99.00
2026-05-25T12:52:00Z,1.00,99.00
