# event_ticker=KXATPCHALLENGERMATCH-26MAY14MOLSAK
# final_score=6-4 6-0
# match_winner=Alex Molcan
# fav_player=Alex Molcan
# dog_player=Rei Sakamoto
# kalshi_date=2026-05-14
timestamp,Alex Molcan,Rei Sakamoto
2026-05-14T01:29:00Z,69.00,
2026-05-14T01:30:00Z,69.00,33.00
2026-05-14T02:06:00Z,69.00,33.00
2026-05-14T03:12:00Z,69.00,33.00
2026-05-14T03:14:00Z,69.00,33.00
2026-05-14T03:15:00Z,69.00,33.00
2026-05-14T03:27:00Z,69.00,33.00
2026-05-14T03:42:00Z,69.00,33.00
2026-05-14T03:48:00Z,69.00,33.00
2026-05-14T03:58:00Z,69.00,33.00
2026-05-14T04:20:00Z,69.00,33.00
2026-05-14T04:22:00Z,69.00,33.00
2026-05-14T04:55:00Z,69.00,33.00
2026-05-14T04:59:00Z,69.00,33.00
2026-05-14T05:03:00Z,69.00,33.00
2026-05-14T05:17:00Z,69.00,32.00
2026-05-14T05:18:00Z,69.00,32.00
2026-05-14T05:24:00Z,69.00,32.00
2026-05-14T05:25:00Z,69.00,33.00
2026-05-14T05:34:00Z,69.00,33.00
2026-05-14T05:47:00Z,69.00,33.00
2026-05-14T05:53:00Z,69.00,33.00
2026-05-14T05:57:00Z,70.00,33.00
2026-05-14T06:03:00Z,70.00,33.00
2026-05-14T06:08:00Z,70.00,33.00
2026-05-14T06:15:00Z,70.00,33.00
2026-05-14T06:17:00Z,70.00,33.00
2026-05-14T06:25:00Z,70.00,33.00
2026-05-14T06:29:00Z,70.00,33.00
2026-05-14T06:46:00Z,70.00,33.00
2026-05-14T06:54:00Z,70.00,33.00
2026-05-14T06:55:00Z,70.00,33.00
2026-05-14T09:11:00Z,70.00,31.00
2026-05-14T09:12:00Z,70.00,29.00
2026-05-14T09:13:00Z,71.99,29.00
2026-05-14T09:16:00Z,71.97,29.00
2026-05-14T09:20:00Z,71.00,29.00
2026-05-14T09:25:00Z,71.00,31.00
2026-05-14T09:28:00Z,71.00,31.00
2026-05-14T09:30:00Z,74.49,29.00
2026-05-14T09:31:00Z,73.48,29.00
2026-05-14T09:33:00Z,73.48,31.00
