# event_ticker=KXATPMATCH-25AUG07ATMNIS
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Terence Atmane
# fav_player=Yoshihito Nishioka
# dog_player=Terence Atmane
# kalshi_date=2025-08-07
timestamp,Yoshihito Nishioka,Terence Atmane
2025-08-07T13:57:00Z,,45.00
2025-08-07T15:59:00Z,,45.00
2025-08-07T16:19:00Z,,45.00
2025-08-07T16:46:00Z,,45.00
2025-08-07T16:57:00Z,,45.00
2025-08-07T17:38:00Z,57.00,45.00
2025-08-07T17:45:00Z,57.00,45.00
2025-08-07T17:50:00Z,57.00,45.00
2025-08-07T17:59:00Z,57.00,44.00
2025-08-07T18:02:00Z,57.00,44.00
2025-08-07T18:04:00Z,57.00,44.00
2025-08-07T18:19:00Z,57.00,44.00
2025-08-07T18:24:00Z,58.00,43.10
2025-08-07T18:25:00Z,58.00,44.00
2025-08-07T18:26:00Z,58.00,44.00
2025-08-07T18:27:00Z,58.00,44.00
2025-08-07T18:28:00Z,58.00,44.00
2025-08-07T18:29:00Z,58.00,40.33
2025-08-07T18:30:00Z,61.10,42.68
2025-08-07T18:31:00Z,56.93,42.68
2025-08-07T18:32:00Z,57.83,45.00
2025-08-07T18:33:00Z,52.61,48.14
2025-08-07T18:34:00Z,52.61,47.43
2025-08-07T18:35:00Z,54.37,49.86
2025-08-07T18:36:00Z,56.55,49.86
2025-08-07T18:37:00Z,56.55,46.22
2025-08-07T18:38:00Z,56.55,47.31
2025-08-07T18:39:00Z,56.55,47.67
2025-08-07T18:40:00Z,54.00,49.61
2025-08-07T18:41:00Z,53.33,51.79
2025-08-07T18:42:00Z,41.91,55.94
2025-08-07T18:43:00Z,41.91,58.42
2025-08-07T18:44:00Z,36.00,63.70
2025-08-07T18:45:00Z,36.00,69.08
2025-08-07T18:46:00Z,36.00,70.00
2025-08-07T18:47:00Z,29.52,70.00
2025-08-07T18:48:00Z,32.53,70.00
2025-08-07T18:49:00Z,36.94,70.00
2025-08-07T18:50:00Z,36.94,64.04
2025-08-07T18:51:00Z,32.81,70.13
2025-08-07T18:52:00Z,38.84,69.44
2025-08-07T18:53:00Z,41.01,56.67
2025-08-07T18:54:00Z,41.01,67.47
2025-08-07T18:55:00Z,33.00,70.94
2025-08-07T18:56:00Z,29.18,70.94
2025-08-07T18:57:00Z,29.18,73.98
2025-08-07T18:58:00Z,25.39,75.00
2025-08-07T18:59:00Z,25.39,72.44
2025-08-07T19:00:00Z,31.00,72.44
2025-08-07T19:01:00Z,31.72,72.00
2025-08-07T19:02:00Z,31.72,71.98
2025-08-07T19:03:00Z,28.00,74.59
2025-08-07T19:05:00Z,28.00,75.94
2025-08-07T19:06:00Z,28.00,77.00
2025-08-07T19:07:00Z,28.34,76.75
2025-08-07T19:08:00Z,28.34,76.00
2025-08-07T19:09:00Z,28.34,77.82
2025-08-07T19:10:00Z,27.24,77.82
2025-08-07T19:11:00Z,27.03,77.00
2025-08-07T19:13:00Z,26.00,77.00
2025-08-07T19:14:00Z,23.00,80.00
2025-08-07T19:15:00Z,23.00,77.85
2025-08-07T19:16:00Z,20.00,79.79
2025-08-07T19:17:00Z,19.00,82.28
2025-08-07T19:18:00Z,17.00,84.64
2025-08-07T19:19:00Z,17.00,84.66
2025-08-07T19:20:00Z,19.17,84.76
2025-08-07T19:21:00Z,21.00,84.00
2025-08-07T19:22:00Z,21.45,81.99
2025-08-07T19:23:00Z,28.40,81.99
2025-08-07T19:24:00Z,31.49,73.45
2025-08-07T19:25:00Z,39.65,66.35
2025-08-07T19:26:00Z,40.68,63.00
2025-08-07T19:27:00Z,40.53,64.07
2025-08-07T19:28:00Z,37.00,65.33
2025-08-07T19:29:00Z,37.00,69.67
2025-08-07T19:30:00Z,35.71,69.20
2025-08-07T19:31:00Z,26.43,78.14
2025-08-07T19:32:00Z,20.29,80.00
2025-08-07T19:33:00Z,15.15,83.82
2025-08-07T19:34:00Z,17.00,82.52
2025-08-07T19:35:00Z,17.00,85.43
2025-08-07T19:36:00Z,17.00,85.40
2025-08-07T19:37:00Z,17.00,84.40
2025-08-07T19:38:00Z,12.00,88.00
2025-08-07T19:39:00Z,5.54,92.49
2025-08-07T19:40:00Z,15.45,87.15
2025-08-07T19:41:00Z,10.67,91.63
2025-08-07T19:42:00Z,10.67,95.00
2025-08-07T19:43:00Z,10.67,93.77
2025-08-07T19:44:00Z,3.78,96.75
2025-08-07T19:45:00Z,3.96,98.02
2025-08-07T19:46:00Z,1.00,98.02
2025-08-07T19:47:00Z,1.00,98.00
2025-08-07T19:48:00Z,2.00,98.74
2025-08-07T19:49:00Z,2.00,99.00
2025-08-07T19:50:00Z,2.00,99.00
2025-08-07T19:51:00Z,2.00,99.00
