# event_ticker=KXATPCHALLENGERMATCH-26MAY14JONSEK
# final_score=6-7(6) 6-3 6-1
# score_resolution=7-6 3-6 1-6
# match_winner=Philip Sekulic
# fav_player=Maximus Jones
# dog_player=Philip Sekulic
# kalshi_date=2026-05-14
timestamp,Maximus Jones,Philip Sekulic
2026-05-14T00:48:00Z,41.00,
2026-05-14T00:53:00Z,41.00,
2026-05-14T02:18:00Z,41.00,62.00
2026-05-14T02:25:00Z,41.00,62.00
2026-05-14T02:44:00Z,41.00,62.00
2026-05-14T03:50:00Z,41.00,61.00
2026-05-14T04:03:00Z,41.00,61.00
2026-05-14T04:35:00Z,41.00,61.00
2026-05-14T04:40:00Z,41.00,61.00
2026-05-14T04:48:00Z,41.00,61.00
2026-05-14T04:49:00Z,41.00,61.00
2026-05-14T04:58:00Z,41.00,61.00
2026-05-14T05:00:00Z,41.00,61.00
2026-05-14T05:21:00Z,41.00,61.00
2026-05-14T05:22:00Z,41.00,61.00
2026-05-14T05:59:00Z,41.00,61.00
2026-05-14T06:01:00Z,41.00,61.00
2026-05-14T06:29:00Z,41.00,61.00
2026-05-14T06:30:00Z,41.00,61.00
2026-05-14T06:31:00Z,41.00,61.00
2026-05-14T09:04:00Z,41.00,61.00
2026-05-14T09:13:00Z,41.00,62.00
2026-05-14T09:14:00Z,41.00,62.00
2026-05-14T09:15:00Z,41.00,62.00
2026-05-14T09:18:00Z,39.00,62.00
2026-05-14T09:41:00Z,39.00,62.00
2026-05-14T09:43:00Z,40.00,61.00
2026-05-14T09:54:00Z,40.00,62.00
2026-05-14T10:01:00Z,40.97,62.00
2026-05-14T10:02:00Z,40.97,62.00
2026-05-14T10:03:00Z,42.00,62.00
2026-05-14T10:04:00Z,42.00,58.41
2026-05-14T10:05:00Z,40.00,58.41
2026-05-14T10:07:00Z,40.00,57.00
2026-05-14T10:08:00Z,41.93,59.22
2026-05-14T10:10:00Z,35.00,59.22
2026-05-14T10:11:00Z,38.93,62.00
2026-05-14T10:12:00Z,40.76,59.00
2026-05-14T10:13:00Z,42.00,59.00
2026-05-14T10:14:00Z,49.38,51.95
2026-05-14T10:15:00Z,49.50,50.88
2026-05-14T10:16:00Z,49.50,57.04
2026-05-14T10:17:00Z,42.00,58.19
2026-05-14T10:18:00Z,41.00,64.00
2026-05-14T10:19:00Z,33.28,64.00
2026-05-14T10:20:00Z,38.50,60.59
2026-05-14T10:22:00Z,44.00,58.55
2026-05-14T10:23:00Z,44.00,57.00
2026-05-14T10:24:00Z,42.00,58.91
2026-05-14T10:25:00Z,42.00,59.53
2026-05-14T10:26:00Z,42.00,61.00
2026-05-14T10:27:00Z,42.00,61.10
2026-05-14T10:28:00Z,42.00,57.00
2026-05-14T10:29:00Z,46.00,55.00
2026-05-14T10:30:00Z,43.91,55.00
2026-05-14T10:31:00Z,42.00,55.00
2026-05-14T10:32:00Z,41.03,58.00
2026-05-14T10:33:00Z,42.00,62.00
2026-05-14T10:34:00Z,33.71,65.99
2026-05-14T10:35:00Z,36.49,65.39
2026-05-14T10:36:00Z,31.00,70.06
2026-05-14T10:37:00Z,38.66,62.01
2026-05-14T10:38:00Z,39.65,60.17
2026-05-14T10:39:00Z,39.65,58.95
2026-05-14T10:40:00Z,44.00,57.00
2026-05-14T10:41:00Z,44.00,57.70
2026-05-14T10:42:00Z,43.08,57.86
2026-05-14T10:43:00Z,39.00,61.00
2026-05-14T10:44:00Z,36.50,63.00
2026-05-14T10:45:00Z,35.00,70.15
2026-05-14T10:46:00Z,19.93,76.83
2026-05-14T10:47:00Z,19.00,81.02
2026-05-14T10:48:00Z,20.00,80.48
2026-05-14T10:49:00Z,22.86,79.06
2026-05-14T10:50:00Z,18.24,81.00
2026-05-14T10:51:00Z,22.87,76.61
2026-05-14T10:52:00Z,36.06,63.31
2026-05-14T10:53:00Z,41.21,58.00
2026-05-14T10:54:00Z,38.93,60.99
2026-05-14T10:55:00Z,33.16,66.99
2026-05-14T10:56:00Z,40.96,63.06
2026-05-14T10:57:00Z,44.14,52.24
2026-05-14T10:58:00Z,53.96,46.26
2026-05-14T10:59:00Z,52.71,49.38
2026-05-14T11:00:00Z,56.11,43.64
2026-05-14T11:01:00Z,57.00,39.06
2026-05-14T11:02:00Z,38.28,48.88
2026-05-14T11:03:00Z,47.15,55.54
2026-05-14T11:04:00Z,57.12,40.31
2026-05-14T11:05:00Z,64.25,36.99
2026-05-14T11:06:00Z,64.03,36.95
2026-05-14T11:07:00Z,69.74,31.48
2026-05-14T11:08:00Z,67.92,31.39
2026-05-14T11:09:00Z,62.36,36.22
2026-05-14T11:10:00Z,60.94,41.01
2026-05-14T11:11:00Z,56.53,43.96
2026-05-14T11:12:00Z,52.93,45.49
2026-05-14T11:13:00Z,61.02,43.24
2026-05-14T11:14:00Z,60.20,42.83
2026-05-14T11:15:00Z,62.28,39.79
2026-05-14T11:16:00Z,66.84,33.63
2026-05-14T11:17:00Z,64.05,37.15
2026-05-14T11:18:00Z,60.09,39.99
2026-05-14T11:19:00Z,60.63,40.00
2026-05-14T11:20:00Z,56.83,44.13
2026-05-14T11:21:00Z,53.97,46.71
2026-05-14T11:22:00Z,56.40,45.59
2026-05-14T11:23:00Z,55.40,48.59
2026-05-14T11:24:00Z,46.73,54.19
2026-05-14T11:25:00Z,41.17,60.62
2026-05-14T11:26:00Z,37.31,61.29
2026-05-14T11:27:00Z,38.04,61.72
2026-05-14T11:28:00Z,40.00,61.43
2026-05-14T11:29:00Z,40.42,59.81
2026-05-14T11:30:00Z,45.84,56.89
2026-05-14T11:31:00Z,41.90,59.01
2026-05-14T11:32:00Z,44.88,56.41
2026-05-14T11:33:00Z,40.49,60.18
2026-05-14T11:34:00Z,39.85,61.13
2026-05-14T11:35:00Z,39.00,61.32
2026-05-14T11:36:00Z,42.22,58.56
2026-05-14T11:37:00Z,42.00,59.99
2026-05-14T11:38:00Z,39.31,60.87
2026-05-14T11:39:00Z,38.16,61.01
