# event_ticker=KXATPCHALLENGERMATCH-26MAR01SCHPIR
# final_score=7-5 4-6 6-3
# match_winner=Zsombor Piros
# fav_player=Zsombor Piros
# dog_player=Joel Schwaerzler
# kalshi_date=2026-03-01
timestamp,Zsombor Piros,Joel Schwaerzler
2026-03-01T01:38:00Z,70.00,
2026-03-01T02:01:00Z,70.00,
2026-03-01T03:05:00Z,70.00,
2026-03-01T03:08:00Z,70.00,34.00
2026-03-01T03:32:00Z,70.00,34.00
2026-03-01T03:49:00Z,70.00,34.00
2026-03-01T03:57:00Z,70.00,34.00
2026-03-01T04:20:00Z,70.00,33.00
2026-03-01T04:44:00Z,69.00,30.00
2026-03-01T04:49:00Z,69.00,33.00
2026-03-01T05:03:00Z,69.00,33.00
2026-03-01T05:06:00Z,69.00,33.00
2026-03-01T05:14:00Z,69.00,33.00
2026-03-01T05:25:00Z,69.00,31.00
2026-03-01T05:32:00Z,69.00,31.00
2026-03-01T05:34:00Z,69.00,31.60
2026-03-01T05:35:00Z,69.00,32.00
2026-03-01T05:36:00Z,69.00,32.00
2026-03-01T05:41:00Z,69.00,32.00
2026-03-01T05:46:00Z,69.00,32.32
2026-03-01T05:48:00Z,68.00,34.49
2026-03-01T05:50:00Z,68.00,33.00
2026-03-01T05:52:00Z,70.00,33.00
2026-03-01T05:56:00Z,70.00,33.00
2026-03-01T05:59:00Z,70.00,33.26
2026-03-01T06:05:00Z,70.00,32.00
2026-03-01T06:06:00Z,70.00,32.00
2026-03-01T06:08:00Z,68.00,32.00
2026-03-01T06:14:00Z,68.00,32.00
2026-03-01T06:15:00Z,68.00,32.00
2026-03-01T06:19:00Z,70.00,32.00
2026-03-01T06:24:00Z,70.00,32.00
2026-03-01T06:26:00Z,70.00,32.00
2026-03-01T06:29:00Z,70.00,32.66
2026-03-01T06:34:00Z,70.00,32.00
2026-03-01T06:36:00Z,70.00,32.00
2026-03-01T06:37:00Z,70.00,32.12
2026-03-01T06:40:00Z,70.00,32.12
2026-03-01T06:41:00Z,70.00,31.00
2026-03-01T06:56:00Z,70.00,33.00
2026-03-01T06:58:00Z,70.00,33.00
2026-03-01T07:04:00Z,70.00,33.00
2026-03-01T07:09:00Z,70.00,33.00
2026-03-01T07:12:00Z,70.00,33.00
2026-03-01T07:20:00Z,70.00,33.00
2026-03-01T07:34:00Z,70.00,32.41
2026-03-01T07:45:00Z,70.00,30.00
2026-03-01T07:58:00Z,69.00,30.00
2026-03-01T08:24:00Z,69.00,34.00
2026-03-01T08:31:00Z,69.00,34.00
2026-03-01T08:42:00Z,69.00,34.00
2026-03-01T08:44:00Z,67.00,34.00
2026-03-01T08:46:00Z,67.00,34.00
2026-03-01T08:49:00Z,67.00,34.00
2026-03-01T08:54:00Z,67.00,34.00
2026-03-01T08:56:00Z,67.00,32.00
2026-03-01T08:57:00Z,67.00,32.00
2026-03-01T09:11:00Z,67.00,39.76
2026-03-01T09:23:00Z,67.00,32.00
2026-03-01T09:25:00Z,67.00,32.62
2026-03-01T09:27:00Z,67.00,38.26
2026-03-01T09:28:00Z,67.00,38.26
2026-03-01T09:30:00Z,67.00,34.54
2026-03-01T09:32:00Z,67.00,34.54
2026-03-01T09:33:00Z,67.00,32.00
2026-03-01T09:37:00Z,67.00,32.00
2026-03-01T09:43:00Z,67.00,33.00
2026-03-01T09:44:00Z,67.00,33.00
2026-03-01T09:56:00Z,67.00,33.00
2026-03-01T09:59:00Z,67.00,33.00
2026-03-01T10:03:00Z,67.00,32.90
2026-03-01T10:21:00Z,67.00,33.00
2026-03-01T10:24:00Z,67.00,33.00
2026-03-01T10:32:00Z,67.00,33.00
2026-03-01T10:45:00Z,67.00,33.00
2026-03-01T11:05:00Z,67.00,33.00
2026-03-01T11:10:00Z,68.00,33.00
2026-03-01T12:11:00Z,69.00,33.00
2026-03-01T12:16:00Z,69.00,33.00
