# event_ticker=KXATPCHALLENGERMATCH-26FEB16KOZMCC
# final_score=6-3 6-7(4) 6-4
# score_resolution=6-3 6-7 6-4
# match_winner=Stefan Kozlov
# fav_player=Stefan Kozlov
# dog_player=Tristan McCormick
# kalshi_date=2026-02-16
timestamp,Stefan Kozlov,Tristan McCormick
2026-02-16T08:55:00Z,86.00,
2026-02-16T09:11:00Z,86.00,
2026-02-16T09:33:00Z,88.00,9.00
2026-02-16T10:54:00Z,88.00,9.00
2026-02-16T10:56:00Z,88.00,9.00
2026-02-16T11:29:00Z,88.00,13.00
2026-02-16T11:39:00Z,88.00,11.00
2026-02-16T11:47:00Z,88.00,12.00
2026-02-16T12:51:00Z,88.00,14.60
2026-02-16T13:50:00Z,86.00,14.60
2026-02-16T13:51:00Z,86.00,14.60
2026-02-16T14:04:00Z,87.00,14.60
2026-02-16T14:08:00Z,87.00,15.00
2026-02-16T14:46:00Z,85.00,15.00
2026-02-16T14:56:00Z,85.00,15.00
2026-02-16T16:00:00Z,85.00,16.40
2026-02-16T16:24:00Z,85.00,16.99
2026-02-16T16:27:00Z,85.00,16.99
2026-02-16T16:30:00Z,85.00,17.00
2026-02-16T16:55:00Z,84.00,17.00
2026-02-16T17:02:00Z,84.00,17.00
2026-02-16T17:08:00Z,84.00,17.00
2026-02-16T17:34:00Z,84.00,17.00
2026-02-16T17:37:00Z,84.00,17.00
2026-02-16T17:50:00Z,85.00,17.00
2026-02-16T17:52:00Z,85.00,17.00
2026-02-16T18:05:00Z,85.00,17.00
2026-02-16T18:18:00Z,84.65,17.00
2026-02-16T19:03:00Z,86.00,17.00
2026-02-16T19:18:00Z,86.00,17.00
2026-02-16T19:23:00Z,85.00,16.00
2026-02-16T19:29:00Z,82.00,16.00
2026-02-16T19:41:00Z,85.00,16.00
2026-02-16T19:50:00Z,85.00,16.00
2026-02-16T20:00:00Z,85.00,16.00
2026-02-16T20:10:00Z,85.00,16.00
2026-02-16T20:20:00Z,85.34,16.00
2026-02-16T20:21:00Z,85.00,16.45
2026-02-16T20:22:00Z,85.00,17.00
2026-02-16T20:24:00Z,85.00,17.00
2026-02-16T20:25:00Z,84.00,16.75
2026-02-16T20:26:00Z,83.00,17.00
2026-02-16T20:27:00Z,85.00,16.00
2026-02-16T20:28:00Z,85.00,15.00
2026-02-16T20:29:00Z,85.00,13.02
2026-02-16T20:30:00Z,85.00,14.11
2026-02-16T20:31:00Z,85.00,17.00
2026-02-16T20:32:00Z,85.00,17.82
2026-02-16T20:33:00Z,84.00,17.00
2026-02-16T20:34:00Z,81.11,19.17
2026-02-16T20:35:00Z,81.58,18.29
2026-02-16T20:36:00Z,81.58,17.00
2026-02-16T20:37:00Z,84.00,17.06
2026-02-16T20:38:00Z,84.29,15.66
2026-02-16T20:39:00Z,84.29,19.93
2026-02-16T20:40:00Z,81.00,21.43
2026-02-16T20:41:00Z,75.00,27.95
2026-02-16T20:42:00Z,75.00,32.35
2026-02-16T20:43:00Z,69.00,30.16
2026-02-16T20:44:00Z,79.00,22.74
2026-02-16T20:45:00Z,82.00,19.80
2026-02-16T20:46:00Z,83.71,20.00
2026-02-16T20:48:00Z,86.97,15.00
2026-02-16T20:49:00Z,87.49,11.12
2026-02-16T20:50:00Z,92.00,8.63
2026-02-16T20:51:00Z,93.00,7.58
2026-02-16T20:52:00Z,91.61,9.00
2026-02-16T20:53:00Z,91.04,9.76
2026-02-16T20:54:00Z,91.53,8.93
2026-02-16T20:55:00Z,91.53,8.00
2026-02-16T20:56:00Z,93.02,7.00
2026-02-16T20:57:00Z,93.33,7.29
2026-02-16T20:58:00Z,93.00,8.03
2026-02-16T20:59:00Z,93.00,6.78
