# event_ticker=KXATPMATCH-25AUG19MCDDAR
# final_score=7-6(5) 6-7(6) 6-4
# score_resolution=7-6 6-7 6-4
# match_winner=Luciano Darderi
# fav_player=Luciano Darderi
# dog_player=Mackenzie McDonald
# kalshi_date=2025-08-19
timestamp,Luciano Darderi,Mackenzie McDonald
2025-08-19T21:11:00Z,41.05,61.09
2025-08-19T21:12:00Z,48.42,53.61
2025-08-19T21:13:00Z,50.89,51.34
2025-08-19T21:14:00Z,56.71,46.47
2025-08-19T21:15:00Z,54.34,49.14
2025-08-19T21:16:00Z,55.68,47.98
2025-08-19T21:17:00Z,54.00,47.65
2025-08-19T21:18:00Z,58.31,45.00
2025-08-19T21:19:00Z,67.00,45.00
2025-08-19T21:20:00Z,49.00,45.18
2025-08-19T21:21:00Z,52.42,51.21
2025-08-19T21:22:00Z,51.77,49.17
2025-08-19T21:23:00Z,54.89,48.94
2025-08-19T21:24:00Z,56.41,46.00
2025-08-19T21:25:00Z,56.58,46.00
2025-08-19T21:26:00Z,56.00,46.00
2025-08-19T21:27:00Z,56.00,51.23
2025-08-19T21:28:00Z,56.00,52.00
2025-08-19T21:29:00Z,58.47,52.00
2025-08-19T21:30:00Z,61.28,46.67
2025-08-19T21:31:00Z,68.00,46.67
2025-08-19T21:32:00Z,63.00,41.26
2025-08-19T21:33:00Z,63.00,45.28
2025-08-19T21:34:00Z,61.48,43.74
2025-08-19T21:35:00Z,61.99,37.04
2025-08-19T21:36:00Z,57.82,44.30
2025-08-19T21:37:00Z,59.47,44.88
2025-08-19T21:38:00Z,57.12,42.47
2025-08-19T21:39:00Z,57.73,43.00
2025-08-19T21:40:00Z,55.43,43.00
2025-08-19T21:41:00Z,50.54,50.79
2025-08-19T21:42:00Z,61.50,38.07
2025-08-19T21:43:00Z,68.94,33.57
2025-08-19T21:44:00Z,78.63,26.21
2025-08-19T21:45:00Z,76.11,24.00
2025-08-19T21:46:00Z,80.26,22.71
2025-08-19T21:47:00Z,79.00,23.35
2025-08-19T21:48:00Z,77.30,25.00
2025-08-19T21:49:00Z,77.30,25.00
2025-08-19T21:50:00Z,78.64,25.09
2025-08-19T21:51:00Z,77.86,25.00
2025-08-19T21:52:00Z,75.06,25.31
2025-08-19T21:53:00Z,73.30,27.22
2025-08-19T21:54:00Z,72.61,28.82
2025-08-19T21:55:00Z,87.90,25.39
2025-08-19T21:56:00Z,76.66,25.18
2025-08-19T21:57:00Z,77.18,28.12
2025-08-19T21:58:00Z,76.00,27.44
2025-08-19T21:59:00Z,75.00,26.77
2025-08-19T22:00:00Z,78.00,7.00
2025-08-19T22:01:00Z,89.46,19.27
2025-08-19T22:02:00Z,80.57,18.01
2025-08-19T22:03:00Z,75.84,28.60
2025-08-19T22:04:00Z,75.00,29.27
2025-08-19T22:05:00Z,71.38,28.67
2025-08-19T22:06:00Z,77.43,25.42
2025-08-19T22:07:00Z,79.91,26.41
2025-08-19T22:08:00Z,71.64,25.96
2025-08-19T22:09:00Z,73.00,30.52
2025-08-19T22:10:00Z,73.96,30.39
2025-08-19T22:11:00Z,73.46,29.68
2025-08-19T22:12:00Z,67.57,38.23
2025-08-19T22:13:00Z,69.90,33.53
2025-08-19T22:14:00Z,73.00,30.32
2025-08-19T22:15:00Z,72.45,30.28
2025-08-19T22:16:00Z,69.32,32.98
2025-08-19T22:17:00Z,68.11,31.43
2025-08-19T22:18:00Z,68.11,29.00
2025-08-19T22:19:00Z,74.99,28.86
2025-08-19T22:20:00Z,69.70,29.23
2025-08-19T22:21:00Z,66.00,34.47
2025-08-19T22:22:00Z,68.96,34.97
2025-08-19T22:23:00Z,68.36,35.03
2025-08-19T22:24:00Z,68.27,33.91
2025-08-19T22:25:00Z,72.41,32.29
2025-08-19T22:26:00Z,68.00,35.29
2025-08-19T22:27:00Z,66.00,37.51
2025-08-19T22:28:00Z,66.00,33.27
2025-08-19T22:29:00Z,72.00,28.78
2025-08-19T22:30:00Z,75.88,27.25
2025-08-19T22:31:00Z,84.62,18.81
2025-08-19T22:32:00Z,81.53,22.80
2025-08-19T22:33:00Z,74.00,30.34
2025-08-19T22:34:00Z,70.00,31.67
2025-08-19T22:35:00Z,70.31,30.51
2025-08-19T22:36:00Z,78.28,25.44
2025-08-19T22:37:00Z,74.63,25.57
2025-08-19T22:38:00Z,78.54,23.27
2025-08-19T22:39:00Z,76.87,27.85
2025-08-19T22:40:00Z,82.30,21.98
2025-08-19T22:41:00Z,75.69,22.51
2025-08-19T22:42:00Z,78.39,27.30
2025-08-19T22:43:00Z,87.36,15.51
2025-08-19T22:44:00Z,72.29,33.13
2025-08-19T22:45:00Z,50.14,39.37
2025-08-19T22:46:00Z,48.12,51.02
2025-08-19T22:47:00Z,49.14,50.33
2025-08-19T22:48:00Z,47.68,52.53
2025-08-19T22:49:00Z,26.84,60.79
2025-08-19T22:50:00Z,28.65,70.84
2025-08-19T22:51:00Z,36.94,62.80
2025-08-19T22:52:00Z,53.61,51.22
2025-08-19T22:53:00Z,55.86,49.00
2025-08-19T22:54:00Z,49.73,48.53
2025-08-19T22:55:00Z,50.12,49.42
2025-08-19T22:56:00Z,54.98,44.56
2025-08-19T22:57:00Z,56.57,45.00
2025-08-19T22:58:00Z,56.63,44.23
2025-08-19T22:59:00Z,61.47,47.00
2025-08-19T23:00:00Z,62.25,34.10
2025-08-19T23:01:00Z,67.05,36.21
2025-08-19T23:02:00Z,64.31,34.62
2025-08-19T23:03:00Z,81.33,21.59
2025-08-19T23:04:00Z,90.57,11.96
2025-08-19T23:05:00Z,91.17,5.88
2025-08-19T23:06:00Z,95.07,8.61
2025-08-19T23:07:00Z,94.00,3.44
2025-08-19T23:08:00Z,93.52,7.51
2025-08-19T23:09:00Z,89.23,11.14
2025-08-19T23:10:00Z,89.33,12.02
2025-08-19T23:11:00Z,87.87,13.20
2025-08-19T23:12:00Z,74.51,26.01
2025-08-19T23:13:00Z,79.67,25.08
2025-08-19T23:14:00Z,67.60,38.74
2025-08-19T23:15:00Z,57.00,43.29
2025-08-19T23:16:00Z,57.00,47.11
2025-08-19T23:17:00Z,51.29,52.31
2025-08-19T23:18:00Z,49.00,50.83
2025-08-19T23:19:00Z,54.92,45.33
2025-08-19T23:20:00Z,61.36,41.53
2025-08-19T23:21:00Z,58.23,40.78
2025-08-19T23:22:00Z,77.35,22.38
2025-08-19T23:23:00Z,92.68,13.85
2025-08-19T23:24:00Z,99.00,13.85
2025-08-19T23:25:00Z,99.00,1.00
2025-08-19T23:26:00Z,99.00,1.00
