# event_ticker=KXATPMATCH-25AUG08BELDZU
# final_score=7-6(7) 7-6(5)
# score_resolution=6-7 6-7
# match_winner=Damir Dzumhur
# fav_player=Mattia Bellucci
# dog_player=Damir Dzumhur
# kalshi_date=2025-08-08
timestamp,Mattia Bellucci,Damir Dzumhur
2025-08-08T12:59:00Z,,41.00
2025-08-08T13:31:00Z,60.00,41.00
2025-08-08T13:34:00Z,60.00,42.00
2025-08-08T14:04:00Z,60.00,42.00
2025-08-08T14:34:00Z,60.00,42.00
2025-08-08T14:35:00Z,60.00,42.00
2025-08-08T14:57:00Z,60.00,42.00
2025-08-08T15:05:00Z,60.00,42.00
2025-08-08T15:41:00Z,59.00,42.00
2025-08-08T17:06:00Z,59.00,44.00
2025-08-08T17:34:00Z,59.00,44.00
2025-08-08T18:28:00Z,59.00,44.00
2025-08-08T18:31:00Z,57.00,44.00
2025-08-08T18:41:00Z,57.00,44.00
2025-08-08T19:01:00Z,57.00,44.00
2025-08-08T19:11:00Z,57.00,44.00
2025-08-08T19:16:00Z,57.00,45.00
2025-08-08T19:22:00Z,57.00,46.00
2025-08-08T19:26:00Z,54.00,46.00
2025-08-08T19:46:00Z,54.00,47.00
2025-08-08T20:00:00Z,53.00,47.00
2025-08-08T20:04:00Z,53.00,47.00
2025-08-08T20:28:00Z,54.01,47.00
2025-08-08T20:42:00Z,54.01,46.00
2025-08-08T20:47:00Z,55.00,46.00
2025-08-08T21:13:00Z,54.00,46.00
2025-08-08T21:18:00Z,54.00,46.00
2025-08-08T21:55:00Z,54.00,46.75
2025-08-08T22:04:00Z,55.00,46.75
2025-08-08T22:08:00Z,55.00,46.75
2025-08-08T22:15:00Z,55.00,47.00
2025-08-08T22:21:00Z,55.00,46.94
2025-08-08T22:25:00Z,55.90,46.94
2025-08-08T22:27:00Z,55.00,47.00
2025-08-08T22:28:00Z,55.00,47.00
2025-08-08T22:32:00Z,55.00,47.00
2025-08-08T22:37:00Z,55.00,47.00
2025-08-08T22:40:00Z,55.00,47.00
2025-08-08T23:03:00Z,56.00,47.00
2025-08-08T23:20:00Z,56.00,47.00
2025-08-08T23:28:00Z,56.00,47.00
2025-08-08T23:29:00Z,56.00,45.00
2025-08-08T23:30:00Z,56.00,46.00
2025-08-08T23:31:00Z,56.00,47.30
2025-08-08T23:32:00Z,56.00,47.00
2025-08-08T23:33:00Z,54.00,47.02
2025-08-08T23:35:00Z,59.84,47.02
2025-08-08T23:37:00Z,59.84,58.05
2025-08-08T23:38:00Z,59.84,57.95
2025-08-08T23:39:00Z,43.00,57.95
2025-08-08T23:40:00Z,43.00,57.00
2025-08-08T23:41:00Z,45.00,60.00
