# event_ticker=KXATPCHALLENGERMATCH-26FEB22LAJBER
# final_score=6-3 6-1
# score_resolution=3-6 1-6
# match_winner=Mark Lajal
# fav_player=Jacopo Berrettini
# dog_player=Mark Lajal
# kalshi_date=2026-02-22
timestamp,Jacopo Berrettini,Mark Lajal
2026-02-24T10:51:00Z,23.00,
2026-02-24T11:05:00Z,23.00,
2026-02-24T11:50:00Z,23.00,
2026-02-24T13:43:00Z,23.00,80.00
2026-02-24T15:31:00Z,22.00,80.00
2026-02-24T16:23:00Z,21.00,80.00
2026-02-24T16:54:00Z,21.00,75.08
2026-02-24T17:18:00Z,21.00,81.00
2026-02-24T17:28:00Z,22.00,81.00
2026-02-24T17:42:00Z,22.00,81.00
2026-02-24T17:56:00Z,22.00,81.00
2026-02-24T18:01:00Z,22.00,81.00
2026-02-24T18:02:00Z,22.00,81.00
2026-02-24T18:03:00Z,22.00,81.00
2026-02-24T18:18:00Z,23.00,81.00
2026-02-24T18:23:00Z,23.00,81.00
2026-02-24T18:25:00Z,23.00,81.00
2026-02-24T18:28:00Z,22.00,81.00
2026-02-24T18:51:00Z,22.00,81.00
2026-02-24T19:09:00Z,22.00,81.00
2026-02-24T19:26:00Z,22.00,81.00
2026-02-24T19:28:00Z,22.00,81.00
2026-02-24T19:30:00Z,22.00,81.00
2026-02-24T19:53:00Z,22.00,82.00
2026-02-24T19:59:00Z,22.00,82.00
2026-02-24T20:01:00Z,22.00,82.00
2026-02-24T20:03:00Z,22.00,82.00
2026-02-24T20:05:00Z,21.00,82.00
2026-02-24T20:06:00Z,21.00,82.00
2026-02-24T20:08:00Z,22.00,82.00
2026-02-24T20:09:00Z,22.00,83.00
2026-02-24T20:15:00Z,21.00,82.00
2026-02-24T20:16:00Z,19.74,82.00
2026-02-24T20:17:00Z,19.74,83.00
2026-02-24T20:23:00Z,20.00,83.00
2026-02-24T20:24:00Z,20.00,83.00
2026-02-24T20:25:00Z,20.00,83.00
2026-02-24T20:28:00Z,20.00,83.00
2026-02-24T20:32:00Z,20.00,83.00
2026-02-24T20:33:00Z,20.00,83.00
2026-02-24T20:34:00Z,20.00,83.00
2026-02-24T20:35:00Z,19.27,83.00
2026-02-24T20:37:00Z,19.00,83.00
2026-02-24T20:38:00Z,19.00,83.00
2026-02-24T20:39:00Z,19.00,83.51
2026-02-24T20:40:00Z,18.00,83.51
2026-02-24T20:41:00Z,17.31,83.00
2026-02-24T20:42:00Z,18.79,83.00
2026-02-24T20:43:00Z,18.79,81.00
2026-02-24T20:44:00Z,19.89,83.58
2026-02-24T20:45:00Z,17.59,85.59
2026-02-24T20:46:00Z,13.73,88.00
2026-02-24T20:47:00Z,11.00,89.00
2026-02-24T20:48:00Z,9.67,91.00
2026-02-24T20:49:00Z,8.80,91.04
2026-02-24T20:50:00Z,6.00,92.00
2026-02-24T20:51:00Z,9.24,92.00
2026-02-24T20:52:00Z,9.30,92.00
2026-02-24T20:53:00Z,7.06,92.00
2026-02-24T20:54:00Z,7.28,92.93
2026-02-24T20:55:00Z,9.53,92.93
2026-02-24T20:56:00Z,9.09,91.00
2026-02-24T20:57:00Z,10.29,90.00
2026-02-24T20:59:00Z,9.47,93.00
2026-02-24T21:00:00Z,9.00,92.00
2026-02-24T21:01:00Z,8.80,92.38
2026-02-24T21:02:00Z,9.00,92.38
2026-02-24T21:03:00Z,9.00,91.00
2026-02-24T21:04:00Z,8.00,93.68
2026-02-24T21:05:00Z,7.00,94.00
2026-02-24T21:06:00Z,7.00,94.00
2026-02-24T21:07:00Z,7.94,94.00
2026-02-24T21:08:00Z,8.00,94.00
2026-02-24T21:09:00Z,8.11,94.00
2026-02-24T21:10:00Z,8.00,94.00
2026-02-24T21:11:00Z,8.68,94.00
2026-02-24T21:12:00Z,9.57,92.51
2026-02-24T21:13:00Z,8.00,93.00
2026-02-24T21:14:00Z,7.00,93.00
2026-02-24T21:15:00Z,6.98,93.03
2026-02-24T21:16:00Z,7.00,95.00
2026-02-24T21:17:00Z,4.40,96.00
2026-02-24T21:18:00Z,3.60,97.91
2026-02-24T21:19:00Z,4.50,96.30
2026-02-24T21:20:00Z,3.83,97.00
2026-02-24T21:21:00Z,2.17,97.00
2026-02-24T21:22:00Z,3.89,97.10
2026-02-24T21:23:00Z,2.03,98.03
2026-02-24T21:24:00Z,2.17,98.11
2026-02-24T21:25:00Z,2.63,97.93
2026-02-24T21:26:00Z,3.60,97.00
2026-02-24T21:27:00Z,2.08,98.48
2026-02-24T21:28:00Z,3.00,99.00
2026-02-24T21:29:00Z,3.00,99.00
2026-02-24T21:30:00Z,2.92,99.00
2026-02-24T21:31:00Z,3.07,97.01
2026-02-24T21:32:00Z,3.40,98.00
2026-02-24T21:33:00Z,4.00,98.00
2026-02-24T21:34:00Z,3.00,97.24
2026-02-24T21:35:00Z,1.04,98.00
2026-02-24T21:36:00Z,2.00,98.99
2026-02-24T21:37:00Z,2.95,98.00
2026-02-24T21:38:00Z,2.43,99.00
2026-02-24T21:39:00Z,1.02,99.00
2026-02-24T21:40:00Z,1.80,99.00
2026-02-24T21:41:00Z,1.00,99.00
2026-02-24T21:42:00Z,1.30,99.00
2026-02-24T21:44:00Z,1.00,99.00
2026-02-24T21:47:00Z,1.00,99.00
