# event_ticker=KXATPMATCH-26APR25CERDAR
# final_score=6-1 6-3
# score_resolution=1-6 3-6
# match_winner=Luciano Darderi
# fav_player=Juan Manuel Cerundolo
# dog_player=Luciano Darderi
# kalshi_date=2026-04-25
timestamp,Juan Manuel Cerundolo,Luciano Darderi
2026-04-24T23:17:00Z,,63.00
2026-04-24T23:51:00Z,,63.00
2026-04-24T23:59:00Z,38.00,63.00
2026-04-25T00:12:00Z,38.00,63.00
2026-04-25T00:14:00Z,38.00,63.00
2026-04-25T00:19:00Z,38.00,63.00
2026-04-25T00:20:00Z,38.00,63.00
2026-04-25T00:22:00Z,38.00,63.00
2026-04-25T00:35:00Z,38.00,63.00
2026-04-25T00:48:00Z,38.00,63.72
2026-04-25T01:47:00Z,38.00,63.72
2026-04-25T02:27:00Z,38.00,63.00
2026-04-25T02:31:00Z,38.00,63.00
2026-04-25T02:50:00Z,38.00,63.00
2026-04-25T02:54:00Z,38.00,63.00
2026-04-25T02:59:00Z,38.00,63.00
2026-04-25T03:13:00Z,38.00,63.00
2026-04-25T03:15:00Z,38.00,63.00
2026-04-25T03:26:00Z,38.00,63.00
2026-04-25T03:35:00Z,38.00,63.00
2026-04-25T03:38:00Z,38.00,63.00
2026-04-25T03:47:00Z,38.00,63.00
2026-04-25T03:54:00Z,38.00,63.00
2026-04-25T04:02:00Z,38.00,63.00
2026-04-25T04:16:00Z,38.00,62.00
2026-04-25T04:18:00Z,38.00,62.00
2026-04-25T04:29:00Z,38.00,62.00
2026-04-25T04:42:00Z,38.00,63.00
2026-04-25T04:53:00Z,38.00,63.00
2026-04-25T04:54:00Z,38.00,63.00
2026-04-25T04:59:00Z,38.00,63.00
2026-04-25T05:02:00Z,38.00,63.00
2026-04-25T05:07:00Z,38.00,64.00
2026-04-25T05:13:00Z,38.00,64.00
2026-04-25T05:16:00Z,38.00,64.00
2026-04-25T05:17:00Z,37.00,64.00
2026-04-25T05:19:00Z,38.00,64.00
2026-04-25T05:20:00Z,38.57,62.17
2026-04-25T05:24:00Z,39.00,62.17
2026-04-25T05:29:00Z,39.00,63.00
2026-04-25T05:31:00Z,39.00,63.00
2026-04-25T05:36:00Z,39.00,63.00
2026-04-25T05:43:00Z,39.00,63.00
2026-04-25T05:45:00Z,39.00,63.00
2026-04-25T05:47:00Z,39.00,63.00
2026-04-25T05:49:00Z,39.00,63.00
2026-04-25T05:56:00Z,39.00,63.00
2026-04-25T05:58:00Z,39.00,63.00
