# event_ticker=KXATPCHALLENGERMATCH-26MAR12CUEGEA
# final_score=6-1 RET
# match_winner=Arthur Gea
# fav_player=Arthur Gea
# dog_player=Sean Cuenin
# kalshi_date=2026-03-12
timestamp,Arthur Gea,Sean Cuenin
2026-03-11T23:43:00Z,75.00,
2026-03-11T23:49:00Z,75.00,
2026-03-12T01:06:00Z,75.00,
2026-03-12T02:24:00Z,75.15,
2026-03-12T02:30:00Z,76.00,
2026-03-12T02:40:00Z,76.00,
2026-03-12T02:50:00Z,76.00,
2026-03-12T03:22:00Z,76.00,
2026-03-12T03:35:00Z,76.00,
2026-03-12T03:43:00Z,75.00,
2026-03-12T04:14:00Z,75.82,
2026-03-12T04:25:00Z,76.00,
2026-03-12T04:37:00Z,76.00,
2026-03-12T04:44:00Z,76.00,
2026-03-12T04:48:00Z,76.00,
2026-03-12T05:31:00Z,76.00,
2026-03-12T05:38:00Z,76.00,27.00
2026-03-12T05:42:00Z,76.00,27.00
2026-03-12T05:44:00Z,76.00,27.00
2026-03-12T05:48:00Z,73.00,27.00
2026-03-12T05:50:00Z,73.00,27.00
2026-03-12T06:20:00Z,76.00,26.00
2026-03-12T06:28:00Z,76.00,26.00
2026-03-12T06:29:00Z,76.00,26.00
2026-03-12T06:33:00Z,76.00,26.00
2026-03-12T06:40:00Z,76.00,26.00
2026-03-12T06:41:00Z,76.00,26.00
2026-03-12T06:42:00Z,76.00,26.00
2026-03-12T06:59:00Z,76.00,26.00
2026-03-12T09:01:00Z,76.00,27.00
2026-03-12T09:02:00Z,76.00,27.00
2026-03-12T09:04:00Z,76.00,27.00
2026-03-12T09:06:00Z,76.00,27.00
2026-03-12T09:09:00Z,76.53,27.00
2026-03-12T09:10:00Z,76.53,27.00
2026-03-12T09:12:00Z,76.53,27.00
2026-03-12T09:15:00Z,76.00,27.00
2026-03-12T09:22:00Z,76.00,27.00
2026-03-12T09:23:00Z,76.01,27.00
2026-03-12T09:24:00Z,76.01,24.59
2026-03-12T09:25:00Z,77.00,26.08
2026-03-12T09:27:00Z,77.06,24.16
2026-03-12T09:28:00Z,77.00,26.00
2026-03-12T09:29:00Z,77.00,23.67
2026-03-12T09:30:00Z,77.00,22.00
2026-03-12T09:31:00Z,82.00,23.61
2026-03-12T09:32:00Z,82.00,18.00
2026-03-12T09:33:00Z,83.02,17.00
2026-03-12T09:34:00Z,68.28,20.00
2026-03-12T09:35:00Z,76.31,25.00
2026-03-12T09:36:00Z,76.31,21.00
2026-03-12T09:37:00Z,83.59,18.08
2026-03-12T09:38:00Z,84.00,15.00
2026-03-12T09:39:00Z,87.00,16.00
2026-03-12T09:40:00Z,87.83,15.00
2026-03-12T09:41:00Z,87.00,16.47
2026-03-12T09:42:00Z,85.00,17.30
2026-03-12T09:43:00Z,85.00,16.00
2026-03-12T09:44:00Z,87.00,13.55
2026-03-12T09:45:00Z,88.00,14.00
2026-03-12T09:46:00Z,90.86,10.36
2026-03-12T09:47:00Z,92.34,12.00
2026-03-12T09:48:00Z,90.66,8.94
2026-03-12T09:49:00Z,87.00,9.55
2026-03-12T09:50:00Z,89.79,9.94
2026-03-12T09:51:00Z,91.09,8.98
2026-03-12T09:52:00Z,88.42,8.00
2026-03-12T09:53:00Z,93.00,8.82
2026-03-12T09:54:00Z,92.48,17.77
2026-03-12T09:55:00Z,91.09,8.22
2026-03-12T09:56:00Z,90.87,16.07
2026-03-12T09:59:00Z,96.27,2.31
2026-03-12T10:00:00Z,97.00,3.83
2026-03-12T10:01:00Z,98.21,1.04
2026-03-12T10:02:00Z,98.21,5.00
