# event_ticker=KXATPCHALLENGERMATCH-26MAY26HENVAN
# final_score=6-3 6-3
# match_winner=Philip Henning
# fav_player=Philip Henning
# dog_player=Connor Henry van Schalkwyk
# kalshi_date=2026-05-26
timestamp,Philip Henning,Connor Henry van Schalkwyk
2026-05-26T02:26:00Z,90.78,
2026-05-26T02:29:00Z,90.78,6.00
2026-05-26T03:04:00Z,90.78,6.00
2026-05-26T03:24:00Z,94.00,6.00
2026-05-26T05:20:00Z,94.00,5.00
2026-05-26T05:30:00Z,95.00,5.00
2026-05-26T07:47:00Z,95.00,5.00
2026-05-26T07:51:00Z,95.00,5.00
2026-05-26T08:21:00Z,95.00,5.00
2026-05-26T09:15:00Z,95.00,5.00
2026-05-26T09:23:00Z,95.00,5.00
2026-05-26T09:25:00Z,95.00,5.00
2026-05-26T09:31:00Z,95.00,5.00
2026-05-26T09:44:00Z,95.00,5.00
2026-05-26T10:02:00Z,96.00,5.00
2026-05-26T10:07:00Z,96.00,6.00
2026-05-26T11:32:00Z,96.00,7.00
2026-05-26T11:48:00Z,96.00,5.99
2026-05-26T11:50:00Z,95.00,6.78
2026-05-26T11:51:00Z,93.00,9.00
2026-05-26T11:52:00Z,95.00,5.00
2026-05-26T11:53:00Z,95.00,6.00
2026-05-26T11:54:00Z,94.00,6.00
2026-05-26T11:56:00Z,96.00,6.00
2026-05-26T11:58:00Z,96.00,6.00
2026-05-26T11:59:00Z,96.00,7.00
2026-05-26T12:01:00Z,96.00,7.00
2026-05-26T12:03:00Z,96.00,7.00
2026-05-26T12:04:00Z,94.00,7.00
2026-05-26T12:05:00Z,94.00,7.00
2026-05-26T12:07:00Z,94.00,7.00
2026-05-26T12:08:00Z,94.00,7.00
2026-05-26T12:09:00Z,95.08,4.00
2026-05-26T12:10:00Z,95.08,5.00
2026-05-26T12:11:00Z,97.00,5.00
2026-05-26T12:12:00Z,97.00,4.00
2026-05-26T12:13:00Z,97.00,4.00
2026-05-26T12:14:00Z,97.00,4.00
2026-05-26T12:15:00Z,97.00,4.00
2026-05-26T12:19:00Z,97.00,4.00
2026-05-26T12:21:00Z,97.00,4.00
2026-05-26T12:24:00Z,98.00,2.00
2026-05-26T12:25:00Z,98.00,2.00
2026-05-26T12:26:00Z,98.00,4.00
2026-05-26T12:27:00Z,98.00,5.00
2026-05-26T12:30:00Z,98.00,6.00
2026-05-26T12:31:00Z,97.00,6.00
2026-05-26T12:32:00Z,97.00,6.00
2026-05-26T12:34:00Z,98.00,6.00
2026-05-26T12:35:00Z,98.00,6.00
2026-05-26T12:36:00Z,99.00,6.00
2026-05-26T12:37:00Z,99.00,1.23
2026-05-26T12:38:00Z,99.00,1.00
2026-05-26T12:39:00Z,99.00,1.00
2026-05-26T12:40:00Z,99.00,1.00
2026-05-26T12:41:00Z,99.00,1.93
2026-05-26T12:43:00Z,99.00,1.93
2026-05-26T12:44:00Z,99.00,2.51
2026-05-26T12:45:00Z,99.00,2.51
2026-05-26T12:46:00Z,99.00,3.00
2026-05-26T12:47:00Z,99.00,3.00
2026-05-26T12:48:00Z,98.00,3.00
2026-05-26T12:49:00Z,97.69,1.08
2026-05-26T12:51:00Z,97.69,5.01
2026-05-26T12:52:00Z,97.69,5.00
2026-05-26T12:54:00Z,98.00,2.01
2026-05-26T12:55:00Z,98.00,2.01
2026-05-26T12:56:00Z,99.00,2.01
2026-05-26T12:57:00Z,99.00,2.01
2026-05-26T12:58:00Z,97.16,4.00
2026-05-26T12:59:00Z,99.00,4.00
2026-05-26T13:01:00Z,99.00,1.00
2026-05-26T13:02:00Z,99.00,1.00
