# event_ticker=KXATPCHALLENGERMATCH-26MAR17LOKDOD
# final_score=2-6 6-2 7-6(0)
# score_resolution=6-2 2-6 6-7
# match_winner=Matej Dodig
# fav_player=Laurent Lokoli
# dog_player=Matej Dodig
# kalshi_date=2026-03-17
timestamp,Laurent Lokoli,Matej Dodig
2026-03-17T00:02:00Z,34.00,
2026-03-17T01:52:00Z,34.00,
2026-03-17T02:57:00Z,34.00,68.00
2026-03-17T02:58:00Z,33.00,68.00
2026-03-17T03:04:00Z,32.00,67.00
2026-03-17T03:09:00Z,32.00,68.00
2026-03-17T03:57:00Z,33.00,68.00
2026-03-17T04:08:00Z,33.00,68.00
2026-03-17T04:32:00Z,33.00,66.60
2026-03-17T04:34:00Z,33.00,68.00
2026-03-17T04:58:00Z,33.00,68.00
2026-03-17T05:19:00Z,33.00,68.00
2026-03-17T06:00:00Z,33.00,67.94
2026-03-17T06:38:00Z,33.00,67.94
2026-03-17T07:00:00Z,33.00,68.00
2026-03-17T07:06:00Z,33.00,68.00
2026-03-17T07:39:00Z,33.00,68.74
2026-03-17T07:44:00Z,32.00,68.74
2026-03-17T08:36:00Z,32.00,69.00
2026-03-17T09:21:00Z,32.00,70.00
2026-03-17T10:00:00Z,32.00,70.00
2026-03-17T10:13:00Z,31.00,70.00
2026-03-17T10:21:00Z,31.00,70.00
2026-03-17T10:23:00Z,33.27,70.00
2026-03-17T10:30:00Z,32.00,70.00
2026-03-17T10:32:00Z,32.00,71.85
2026-03-17T10:33:00Z,32.00,72.00
2026-03-17T10:34:00Z,30.00,72.00
2026-03-17T10:35:00Z,31.00,72.00
2026-03-17T10:36:00Z,31.00,72.00
2026-03-17T10:37:00Z,32.00,72.00
2026-03-17T10:38:00Z,30.00,72.00
2026-03-17T10:39:00Z,30.19,71.00
2026-03-17T10:40:00Z,27.17,73.00
2026-03-17T10:41:00Z,27.00,74.89
2026-03-17T10:42:00Z,23.86,77.10
2026-03-17T10:43:00Z,21.46,78.42
2026-03-17T10:44:00Z,21.46,77.00
2026-03-17T10:45:00Z,28.68,71.98
2026-03-17T10:46:00Z,26.60,74.83
2026-03-17T10:47:00Z,29.05,72.52
2026-03-17T10:48:00Z,24.79,76.00
2026-03-17T10:49:00Z,25.00,77.00
2026-03-17T10:50:00Z,25.83,75.00
2026-03-17T10:51:00Z,24.00,75.02
2026-03-17T10:52:00Z,24.59,79.80
2026-03-17T10:53:00Z,22.28,77.05
2026-03-17T10:54:00Z,21.77,79.85
2026-03-17T10:55:00Z,24.23,76.90
2026-03-17T10:56:00Z,22.83,80.72
2026-03-17T10:57:00Z,24.00,80.72
2026-03-17T10:58:00Z,25.00,78.00
2026-03-17T10:59:00Z,31.70,69.02
2026-03-17T11:00:00Z,34.98,65.54
2026-03-17T11:01:00Z,30.40,69.54
2026-03-17T11:02:00Z,29.47,71.00
2026-03-17T11:03:00Z,37.96,66.05
2026-03-17T11:04:00Z,44.16,56.71
2026-03-17T11:05:00Z,44.63,57.00
2026-03-17T11:06:00Z,46.15,59.00
2026-03-17T11:07:00Z,50.55,49.20
2026-03-17T11:08:00Z,51.93,49.07
2026-03-17T11:09:00Z,55.43,45.23
2026-03-17T11:10:00Z,53.64,46.87
2026-03-17T11:11:00Z,51.59,47.93
2026-03-17T11:12:00Z,56.00,45.07
2026-03-17T11:13:00Z,63.26,37.09
2026-03-17T11:14:00Z,64.76,34.16
2026-03-17T11:15:00Z,66.69,33.38
2026-03-17T11:16:00Z,69.06,32.02
2026-03-17T11:17:00Z,68.95,32.44
2026-03-17T11:18:00Z,69.66,31.00
2026-03-17T11:19:00Z,69.59,31.00
2026-03-17T11:20:00Z,68.49,32.00
2026-03-17T11:21:00Z,64.77,35.23
2026-03-17T11:22:00Z,64.80,35.19
2026-03-17T11:23:00Z,62.30,39.96
2026-03-17T11:24:00Z,65.00,41.76
2026-03-17T11:25:00Z,54.76,46.44
2026-03-17T11:26:00Z,50.02,50.85
2026-03-17T11:27:00Z,56.73,46.99
2026-03-17T11:28:00Z,60.19,41.95
2026-03-17T11:29:00Z,61.33,44.32
2026-03-17T11:30:00Z,65.80,35.40
2026-03-17T11:31:00Z,67.82,31.80
2026-03-17T11:32:00Z,70.51,29.37
2026-03-17T11:33:00Z,66.35,35.90
2026-03-17T11:34:00Z,62.51,39.12
2026-03-17T11:35:00Z,62.00,39.19
2026-03-17T11:36:00Z,60.52,41.47
2026-03-17T11:37:00Z,63.56,41.46
2026-03-17T11:38:00Z,57.59,43.13
2026-03-17T11:39:00Z,53.50,50.38
2026-03-17T11:40:00Z,58.19,43.23
2026-03-17T11:41:00Z,63.66,40.29
2026-03-17T11:42:00Z,59.32,42.50
2026-03-17T11:43:00Z,53.60,52.26
2026-03-17T11:44:00Z,48.13,50.52
2026-03-17T11:45:00Z,41.97,57.71
2026-03-17T11:46:00Z,46.43,56.18
2026-03-17T11:47:00Z,44.97,58.32
2026-03-17T11:48:00Z,41.74,60.12
2026-03-17T11:49:00Z,40.45,60.00
2026-03-17T11:50:00Z,41.97,59.42
2026-03-17T11:51:00Z,42.33,57.82
2026-03-17T11:52:00Z,45.85,57.20
2026-03-17T11:53:00Z,50.14,53.50
2026-03-17T11:54:00Z,51.59,50.84
2026-03-17T11:55:00Z,46.67,56.22
2026-03-17T11:56:00Z,42.50,58.06
2026-03-17T11:57:00Z,43.62,57.51
2026-03-17T11:58:00Z,40.30,59.33
2026-03-17T11:59:00Z,34.41,66.99
2026-03-17T12:00:00Z,34.58,65.34
2026-03-17T12:01:00Z,34.99,65.21
2026-03-17T12:02:00Z,35.52,65.91
2026-03-17T12:03:00Z,35.99,64.82
2026-03-17T12:04:00Z,35.26,66.00
2026-03-17T12:05:00Z,33.56,66.00
2026-03-17T12:06:00Z,31.96,68.17
2026-03-17T12:07:00Z,31.19,70.56
2026-03-17T12:08:00Z,31.58,67.41
2026-03-17T12:09:00Z,30.07,70.27
2026-03-17T12:10:00Z,28.05,72.09
2026-03-17T12:11:00Z,32.18,70.33
2026-03-17T12:12:00Z,29.06,70.84
2026-03-17T12:13:00Z,34.47,65.08
2026-03-17T12:14:00Z,40.74,62.69
2026-03-17T12:15:00Z,33.90,67.37
2026-03-17T12:16:00Z,33.80,64.78
2026-03-17T12:17:00Z,50.58,51.93
2026-03-17T12:18:00Z,63.61,34.86
2026-03-17T12:19:00Z,64.50,39.11
2026-03-17T12:20:00Z,58.51,41.18
2026-03-17T12:21:00Z,66.83,32.55
2026-03-17T12:22:00Z,66.73,31.54
2026-03-17T12:23:00Z,65.58,38.05
2026-03-17T12:24:00Z,49.64,50.74
2026-03-17T12:25:00Z,50.69,46.36
2026-03-17T12:26:00Z,57.51,47.85
2026-03-17T12:27:00Z,60.76,41.54
2026-03-17T12:28:00Z,58.42,45.06
2026-03-17T12:29:00Z,49.10,51.91
2026-03-17T12:30:00Z,58.41,43.59
2026-03-17T12:31:00Z,65.03,36.39
2026-03-17T12:32:00Z,62.99,41.46
2026-03-17T12:33:00Z,59.21,44.00
2026-03-17T12:34:00Z,70.55,41.26
2026-03-17T12:35:00Z,68.51,33.52
2026-03-17T12:36:00Z,69.71,32.67
2026-03-17T12:37:00Z,65.55,38.37
2026-03-17T12:38:00Z,67.08,35.46
2026-03-17T12:39:00Z,66.35,35.07
2026-03-17T12:40:00Z,69.49,30.39
