# event_ticker=KXATPCHALLENGERMATCH-26MAR11MCDLAN
# final_score=3-6 6-2 7-5
# match_winner=Mackenzie McDonald
# fav_player=Mackenzie McDonald
# dog_player=Martin Landaluce
# kalshi_date=2026-03-11
timestamp,Mackenzie McDonald,Martin Landaluce
2026-03-11T11:10:00Z,88.00,39.00
2026-03-11T11:49:00Z,88.00,44.00
2026-03-11T12:54:00Z,54.00,44.00
2026-03-11T12:55:00Z,54.00,46.00
2026-03-11T13:05:00Z,54.00,46.00
2026-03-11T13:27:00Z,55.00,46.00
2026-03-11T13:43:00Z,55.00,46.00
2026-03-11T14:22:00Z,55.00,46.00
2026-03-11T14:49:00Z,56.00,46.00
2026-03-11T15:04:00Z,56.00,46.00
2026-03-11T15:05:00Z,56.74,46.00
2026-03-11T15:13:00Z,57.00,46.00
2026-03-11T17:11:00Z,56.00,46.00
2026-03-11T17:23:00Z,56.00,46.00
2026-03-11T17:27:00Z,56.00,45.00
2026-03-11T17:53:00Z,56.00,45.00
2026-03-11T18:17:00Z,56.00,45.00
2026-03-11T18:35:00Z,56.10,45.00
2026-03-11T19:51:00Z,56.10,44.00
2026-03-11T19:53:00Z,58.00,44.00
2026-03-11T19:54:00Z,58.00,44.00
2026-03-11T20:07:00Z,55.00,44.00
2026-03-11T20:08:00Z,55.00,44.00
2026-03-11T20:12:00Z,58.00,44.00
2026-03-11T20:20:00Z,58.00,44.00
2026-03-11T20:21:00Z,58.00,44.00
2026-03-11T20:28:00Z,55.00,44.00
2026-03-11T20:29:00Z,58.00,44.00
2026-03-11T20:32:00Z,58.00,44.00
2026-03-11T20:36:00Z,58.00,44.00
2026-03-11T20:38:00Z,58.00,44.00
2026-03-11T20:50:00Z,58.00,44.00
2026-03-11T20:52:00Z,58.00,44.00
2026-03-11T20:59:00Z,58.00,44.00
2026-03-11T21:02:00Z,58.00,44.00
2026-03-11T21:04:00Z,58.00,44.00
2026-03-11T21:07:00Z,58.00,44.95
2026-03-11T21:08:00Z,51.09,51.00
