# event_ticker=KXATPCHALLENGERMATCH-26MAY21LEOBAR
# final_score=6-2 5-7 6-3
# match_winner=Petr Bar Biryukov
# fav_player=Petr Bar Biryukov
# dog_player=Mitsuki Wei Kang Leong
# kalshi_date=2026-05-21
timestamp,Mitsuki Wei Kang Leong,Petr Bar Biryukov
2026-05-21T00:06:00Z,,60.44
2026-05-21T02:44:00Z,40.00,60.44
2026-05-21T03:06:00Z,40.00,61.00
2026-05-21T03:07:00Z,40.00,61.00
2026-05-21T03:14:00Z,40.00,61.00
2026-05-21T03:39:00Z,40.00,61.00
2026-05-21T03:44:00Z,40.00,61.00
2026-05-21T03:54:00Z,40.00,61.00
2026-05-21T04:14:00Z,40.00,60.00
2026-05-21T04:17:00Z,40.00,61.00
2026-05-21T04:28:00Z,40.00,61.00
2026-05-21T04:31:00Z,40.00,61.00
2026-05-21T04:40:00Z,40.00,61.00
2026-05-21T04:43:00Z,40.00,61.00
2026-05-21T04:49:00Z,40.00,61.00
2026-05-21T05:04:00Z,40.00,61.00
2026-05-21T05:08:00Z,40.00,61.00
2026-05-21T05:20:00Z,40.00,61.00
2026-05-21T05:23:00Z,40.00,61.00
2026-05-21T05:28:00Z,40.00,61.00
2026-05-21T05:36:00Z,40.00,61.00
2026-05-21T05:44:00Z,40.00,61.00
2026-05-21T05:45:00Z,40.00,61.00
2026-05-21T05:56:00Z,40.00,61.00
2026-05-21T06:11:00Z,40.00,61.00
2026-05-21T06:18:00Z,40.00,61.00
2026-05-21T06:29:00Z,40.00,61.00
2026-05-21T06:38:00Z,40.00,61.00
2026-05-21T06:39:00Z,40.00,61.00
2026-05-21T06:44:00Z,40.00,61.00
2026-05-21T06:49:00Z,40.00,61.00
2026-05-21T06:53:00Z,40.00,61.00
2026-05-21T06:54:00Z,40.00,61.00
2026-05-21T06:56:00Z,40.00,61.00
2026-05-21T07:00:00Z,40.00,61.00
2026-05-21T07:05:00Z,40.00,61.00
2026-05-21T07:42:00Z,40.00,63.00
2026-05-21T07:52:00Z,40.00,61.00
2026-05-21T07:53:00Z,40.00,59.51
2026-05-21T07:55:00Z,40.00,61.00
2026-05-21T07:58:00Z,40.00,61.00
2026-05-21T09:01:00Z,40.00,61.00
2026-05-21T09:04:00Z,40.00,61.00
2026-05-21T09:06:00Z,40.00,61.00
2026-05-21T09:07:00Z,40.00,61.00
2026-05-21T09:08:00Z,40.00,61.00
2026-05-21T09:10:00Z,41.00,61.00
2026-05-21T09:12:00Z,41.00,61.00
