# event_ticker=KXATPMATCH-25JUL17UGOVAN
# final_score=7-6(3) 5-7 6-3
# score_resolution=6-7 7-5 3-6
# match_winner=Camilo Ugo Carabelli
# fav_player=Botic Van de Zandschulp
# dog_player=Camilo Ugo Carabelli
# kalshi_date=2025-07-17
timestamp,Botic Van de Zandschulp,Camilo Ugo Carabelli
2025-07-17T00:19:00Z,54.00,
2025-07-17T03:17:00Z,54.00,52.00
2025-07-17T03:31:00Z,54.00,53.00
2025-07-17T03:53:00Z,54.00,52.00
2025-07-17T04:17:00Z,53.00,52.00
2025-07-17T04:34:00Z,53.00,52.00
2025-07-17T04:44:00Z,53.00,52.00
2025-07-17T04:55:00Z,53.00,52.00
2025-07-17T05:07:00Z,53.00,52.00
2025-07-17T05:12:00Z,53.00,52.00
2025-07-17T06:22:00Z,53.00,53.00
2025-07-17T06:36:00Z,53.00,53.00
2025-07-17T06:38:00Z,54.10,53.00
2025-07-17T06:42:00Z,54.10,54.00
2025-07-17T06:46:00Z,65.00,51.00
2025-07-17T06:48:00Z,63.00,51.00
2025-07-17T06:58:00Z,63.00,55.00
2025-07-17T12:01:00Z,63.00,75.32
