# event_ticker=KXATPCHALLENGERMATCH-26MAY21STEMIL
# final_score=6-2 6-1
# match_winner=Hamish Stewart
# fav_player=Hamish Stewart
# dog_player=Ognjen Milic
# kalshi_date=2026-05-21
timestamp,Hamish Stewart,Ognjen Milic
2026-05-20T21:58:00Z,,63.00
2026-05-20T22:00:00Z,,64.00
2026-05-20T22:04:00Z,,64.00
2026-05-20T22:11:00Z,38.00,64.00
2026-05-20T22:13:00Z,38.00,64.00
2026-05-20T22:14:00Z,38.00,64.00
2026-05-20T22:20:00Z,38.00,64.00
2026-05-20T22:37:00Z,38.00,64.00
2026-05-20T22:40:00Z,38.00,64.00
2026-05-20T22:42:00Z,38.00,64.00
2026-05-20T23:02:00Z,38.00,64.00
2026-05-20T23:09:00Z,38.00,64.00
2026-05-20T23:16:00Z,38.00,64.00
2026-05-20T23:30:00Z,38.00,64.00
2026-05-20T23:31:00Z,38.00,64.00
2026-05-20T23:53:00Z,38.00,64.00
2026-05-20T23:55:00Z,38.00,62.00
2026-05-20T23:59:00Z,38.00,62.00
2026-05-21T00:10:00Z,38.00,64.00
2026-05-21T00:14:00Z,38.00,64.00
2026-05-21T00:19:00Z,38.00,64.00
2026-05-21T00:35:00Z,38.00,64.00
2026-05-21T00:45:00Z,38.00,64.00
2026-05-21T01:10:00Z,38.00,63.00
2026-05-21T01:15:00Z,38.00,63.00
2026-05-21T01:21:00Z,38.00,63.00
2026-05-21T01:30:00Z,38.00,63.00
2026-05-21T01:42:00Z,38.00,64.00
2026-05-21T01:43:00Z,38.00,64.00
2026-05-21T01:48:00Z,38.00,64.00
2026-05-21T01:57:00Z,38.00,64.00
2026-05-21T01:58:00Z,38.00,64.00
2026-05-21T02:18:00Z,38.00,64.00
2026-05-21T02:20:00Z,38.00,64.00
2026-05-21T02:23:00Z,38.00,64.00
2026-05-21T02:38:00Z,38.00,64.00
2026-05-21T02:39:00Z,39.09,64.00
2026-05-21T02:55:00Z,39.09,59.00
2026-05-21T03:01:00Z,39.09,59.00
2026-05-21T03:04:00Z,39.09,59.00
2026-05-21T03:05:00Z,39.09,59.00
2026-05-21T03:06:00Z,41.00,59.00
2026-05-21T03:07:00Z,41.00,59.00
2026-05-21T03:10:00Z,41.00,59.00
2026-05-21T03:11:00Z,41.00,59.26
2026-05-21T03:13:00Z,41.00,60.00
2026-05-21T03:18:00Z,41.00,60.00
2026-05-21T03:19:00Z,42.00,60.00
2026-05-21T03:25:00Z,42.00,60.00
2026-05-21T03:31:00Z,42.00,60.00
