# event_ticker=KXATPCHALLENGERMATCH-26MAR18HAYMAR
# final_score=5-7 6-2 6-3
# match_winner=Andres Martin
# fav_player=Andres Martin
# dog_player=Alejandro Hayen
# kalshi_date=2026-03-18
timestamp,Andres Martin,Alejandro Hayen
2026-03-18T06:26:00Z,85.00,
2026-03-18T07:31:00Z,85.00,
2026-03-18T07:42:00Z,85.00,17.00
2026-03-18T08:41:00Z,85.00,13.99
2026-03-18T09:56:00Z,85.00,16.00
2026-03-18T10:04:00Z,86.00,16.00
2026-03-18T10:13:00Z,86.00,15.00
2026-03-18T10:23:00Z,86.00,15.00
2026-03-18T10:42:00Z,86.00,15.00
2026-03-18T10:44:00Z,86.00,15.00
2026-03-18T11:20:00Z,86.00,15.00
2026-03-18T11:39:00Z,86.00,16.00
2026-03-18T11:41:00Z,86.00,16.00
2026-03-18T12:47:00Z,86.00,15.00
2026-03-18T12:49:00Z,86.00,15.00
2026-03-18T13:06:00Z,86.00,15.00
2026-03-18T13:23:00Z,86.91,14.00
2026-03-18T13:24:00Z,88.00,14.00
2026-03-18T13:29:00Z,88.00,14.00
2026-03-18T14:12:00Z,88.00,16.00
2026-03-18T14:48:00Z,88.00,16.00
2026-03-18T14:54:00Z,88.00,16.00
2026-03-18T15:01:00Z,88.00,16.00
2026-03-18T15:02:00Z,88.00,16.00
2026-03-18T15:09:00Z,88.00,13.00
2026-03-18T15:23:00Z,88.00,14.00
2026-03-18T15:43:00Z,88.00,14.00
2026-03-18T16:00:00Z,88.00,14.00
2026-03-18T16:01:00Z,88.00,14.00
2026-03-18T16:02:00Z,88.00,14.00
2026-03-18T16:17:00Z,87.00,14.00
2026-03-18T16:34:00Z,86.00,14.00
2026-03-18T16:36:00Z,87.00,14.00
2026-03-18T16:38:00Z,87.00,14.00
2026-03-18T16:45:00Z,87.00,15.00
2026-03-18T16:51:00Z,87.00,15.00
2026-03-18T16:56:00Z,87.00,15.00
2026-03-18T17:27:00Z,87.00,15.00
2026-03-18T17:29:00Z,87.00,15.00
2026-03-18T17:39:00Z,87.00,15.00
2026-03-18T17:41:00Z,87.00,15.00
2026-03-18T17:46:00Z,87.00,15.00
2026-03-18T17:54:00Z,87.00,15.00
2026-03-18T17:58:00Z,87.00,15.00
2026-03-18T18:00:00Z,87.00,15.77
2026-03-18T18:01:00Z,87.00,15.00
2026-03-18T18:03:00Z,87.00,15.00
2026-03-18T18:04:00Z,87.00,15.00
2026-03-18T18:06:00Z,87.00,15.00
2026-03-18T18:08:00Z,87.00,15.00
2026-03-18T18:09:00Z,86.00,12.99
2026-03-18T18:10:00Z,89.00,12.00
2026-03-18T18:11:00Z,89.00,12.00
2026-03-18T18:12:00Z,86.58,14.51
2026-03-18T18:13:00Z,86.00,14.00
2026-03-18T18:14:00Z,87.00,13.00
2026-03-18T18:15:00Z,84.00,16.76
2026-03-18T18:16:00Z,85.97,18.75
2026-03-18T18:17:00Z,81.71,21.95
2026-03-18T18:18:00Z,81.79,18.83
2026-03-18T18:19:00Z,81.79,20.69
2026-03-18T18:20:00Z,85.00,13.73
2026-03-18T18:21:00Z,86.46,14.78
2026-03-18T18:22:00Z,86.46,15.37
2026-03-18T18:23:00Z,85.00,16.11
2026-03-18T18:24:00Z,85.00,18.07
2026-03-18T18:25:00Z,79.60,19.36
2026-03-18T18:26:00Z,77.97,21.73
2026-03-18T18:27:00Z,79.08,20.01
2026-03-18T18:28:00Z,83.00,17.92
2026-03-18T18:29:00Z,83.00,17.89
2026-03-18T18:30:00Z,79.71,21.98
2026-03-18T18:31:00Z,79.71,20.90
2026-03-18T18:32:00Z,79.71,20.70
2026-03-18T18:33:00Z,79.71,19.00
2026-03-18T18:34:00Z,79.71,19.90
2026-03-18T18:35:00Z,78.00,23.59
2026-03-18T18:36:00Z,76.00,24.65
2026-03-18T18:37:00Z,77.01,20.30
2026-03-18T18:38:00Z,77.01,21.33
2026-03-18T18:39:00Z,77.00,22.02
2026-03-18T18:40:00Z,79.00,22.61
2026-03-18T18:41:00Z,80.00,19.92
2026-03-18T18:42:00Z,78.46,20.99
2026-03-18T18:43:00Z,77.00,21.83
2026-03-18T18:44:00Z,84.92,21.22
2026-03-18T18:45:00Z,75.61,23.75
2026-03-18T18:46:00Z,71.54,25.50
2026-03-18T18:47:00Z,69.98,33.26
2026-03-18T18:48:00Z,63.63,41.95
2026-03-18T18:49:00Z,57.63,40.22
2026-03-18T18:50:00Z,60.19,39.58
2026-03-18T18:51:00Z,51.00,49.30
2026-03-18T18:52:00Z,51.00,49.82
2026-03-18T18:53:00Z,51.99,44.99
2026-03-18T18:54:00Z,52.98,51.89
2026-03-18T18:55:00Z,46.01,53.31
2026-03-18T18:56:00Z,46.00,54.38
2026-03-18T18:57:00Z,45.04,56.80
2026-03-18T18:58:00Z,48.29,52.80
2026-03-18T18:59:00Z,52.00,48.43
2026-03-18T19:00:00Z,52.92,49.71
2026-03-18T19:01:00Z,47.94,50.80
2026-03-18T19:02:00Z,46.30,52.70
2026-03-18T19:03:00Z,45.34,53.92
2026-03-18T19:04:00Z,49.31,52.00
2026-03-18T19:05:00Z,48.97,49.94
2026-03-18T19:06:00Z,49.48,50.63
2026-03-18T19:07:00Z,49.60,51.90
2026-03-18T19:08:00Z,54.64,47.36
2026-03-18T19:09:00Z,48.35,48.74
2026-03-18T19:10:00Z,45.80,55.06
2026-03-18T19:11:00Z,46.68,50.39
2026-03-18T19:12:00Z,47.14,51.14
2026-03-18T19:13:00Z,49.41,54.90
2026-03-18T19:14:00Z,50.98,50.97
2026-03-18T19:15:00Z,51.19,50.56
2026-03-18T19:16:00Z,51.23,48.77
2026-03-18T19:17:00Z,63.16,31.06
2026-03-18T19:18:00Z,69.81,34.17
2026-03-18T19:19:00Z,57.84,42.91
2026-03-18T19:20:00Z,55.84,46.49
2026-03-18T19:21:00Z,63.93,33.00
2026-03-18T19:22:00Z,63.29,43.18
2026-03-18T19:23:00Z,64.94,36.37
2026-03-18T19:24:00Z,69.85,30.67
2026-03-18T19:25:00Z,70.32,30.11
2026-03-18T19:26:00Z,70.91,29.71
2026-03-18T19:27:00Z,70.78,30.00
2026-03-18T19:28:00Z,71.92,29.81
2026-03-18T19:29:00Z,71.70,29.43
2026-03-18T19:30:00Z,73.32,28.01
2026-03-18T19:31:00Z,73.15,25.08
2026-03-18T19:32:00Z,81.67,21.81
2026-03-18T19:33:00Z,77.66,22.30
2026-03-18T19:34:00Z,77.04,23.00
2026-03-18T19:35:00Z,77.48,23.00
2026-03-18T19:36:00Z,78.00,23.00
2026-03-18T19:37:00Z,77.97,23.00
2026-03-18T19:38:00Z,77.85,23.00
2026-03-18T19:39:00Z,77.76,23.44
2026-03-18T19:40:00Z,77.15,23.95
2026-03-18T19:41:00Z,69.32,31.46
2026-03-18T19:42:00Z,55.16,40.89
2026-03-18T19:43:00Z,70.74,33.08
2026-03-18T19:44:00Z,79.82,22.00
2026-03-18T19:45:00Z,82.20,17.82
2026-03-18T19:46:00Z,83.62,19.73
2026-03-18T19:47:00Z,83.48,17.00
2026-03-18T19:48:00Z,82.99,18.99
2026-03-18T19:49:00Z,85.91,16.38
2026-03-18T19:50:00Z,79.68,20.24
2026-03-18T19:51:00Z,79.55,20.59
2026-03-18T19:52:00Z,76.23,24.35
2026-03-18T19:53:00Z,79.69,22.03
2026-03-18T19:54:00Z,79.78,20.98
2026-03-18T19:55:00Z,80.89,20.55
2026-03-18T19:56:00Z,83.61,15.28
2026-03-18T19:57:00Z,81.32,22.25
2026-03-18T19:58:00Z,81.35,17.37
2026-03-18T19:59:00Z,77.35,25.15
2026-03-18T20:00:00Z,74.02,27.43
2026-03-18T20:01:00Z,74.74,28.92
2026-03-18T20:02:00Z,75.44,27.81
2026-03-18T20:03:00Z,72.34,28.44
2026-03-18T20:04:00Z,76.84,23.50
2026-03-18T20:05:00Z,77.00,23.66
