# event_ticker=KXATPCHALLENGERMATCH-26MAY12CARCOM
# final_score=6-4 6-3
# match_winner=Pablo Carreno Busta
# fav_player=Pablo Carreno Busta
# dog_player=Francisco Comesana
# kalshi_date=2026-05-12
timestamp,Pablo Carreno Busta,Francisco Comesana
2026-05-12T02:29:00Z,54.00,
2026-05-12T02:33:00Z,51.00,
2026-05-12T02:38:00Z,52.00,
2026-05-12T02:43:00Z,52.00,
2026-05-12T03:00:00Z,55.00,
2026-05-12T04:16:00Z,54.99,
2026-05-12T04:20:00Z,54.12,
2026-05-12T04:22:00Z,55.00,
2026-05-12T04:36:00Z,55.00,
2026-05-12T04:41:00Z,55.00,
2026-05-12T04:42:00Z,56.00,
2026-05-12T04:44:00Z,56.00,
2026-05-12T05:09:00Z,56.00,
2026-05-12T05:19:00Z,56.00,47.00
2026-05-12T05:31:00Z,56.00,47.00
2026-05-12T05:34:00Z,56.00,47.00
2026-05-12T05:44:00Z,56.17,47.00
2026-05-12T06:00:00Z,56.71,47.00
2026-05-12T06:13:00Z,56.00,47.00
2026-05-12T06:31:00Z,56.00,45.46
2026-05-12T06:32:00Z,56.00,46.97
2026-05-12T06:33:00Z,56.00,47.92
2026-05-12T07:38:00Z,55.00,47.92
2026-05-12T07:41:00Z,54.00,47.92
2026-05-12T08:44:00Z,54.00,46.00
2026-05-12T08:56:00Z,54.00,47.00
2026-05-12T09:13:00Z,54.00,46.00
2026-05-12T09:14:00Z,55.00,46.00
2026-05-12T09:43:00Z,55.00,46.00
2026-05-12T10:35:00Z,55.00,46.00
2026-05-12T10:45:00Z,55.00,46.00
2026-05-12T11:01:00Z,55.00,46.00
2026-05-12T11:05:00Z,55.00,46.00
2026-05-12T11:06:00Z,55.00,46.00
2026-05-12T11:08:00Z,55.00,45.00
2026-05-12T11:11:00Z,54.00,45.00
2026-05-12T11:23:00Z,54.00,45.00
2026-05-12T11:50:00Z,55.00,45.00
2026-05-12T12:04:00Z,54.00,45.00
2026-05-12T12:06:00Z,55.00,45.00
2026-05-12T12:17:00Z,55.00,45.00
2026-05-12T12:26:00Z,55.00,45.00
2026-05-12T12:39:00Z,55.00,45.00
2026-05-12T12:46:00Z,55.00,45.00
2026-05-12T13:13:00Z,55.00,45.00
2026-05-12T13:24:00Z,55.00,45.00
2026-05-12T13:29:00Z,55.00,45.00
2026-05-12T13:38:00Z,55.00,45.00
2026-05-12T13:42:00Z,55.00,45.00
2026-05-12T13:52:00Z,55.00,45.00
2026-05-12T13:56:00Z,55.00,45.00
2026-05-12T13:58:00Z,55.00,45.00
2026-05-12T14:00:00Z,55.00,46.00
2026-05-12T14:05:00Z,56.00,46.00
2026-05-12T14:07:00Z,56.00,46.00
2026-05-12T14:11:00Z,56.64,44.00
2026-05-12T14:12:00Z,62.52,40.34
2026-05-12T14:13:00Z,61.00,36.01
2026-05-12T14:14:00Z,67.00,36.01
2026-05-12T14:15:00Z,67.00,34.00
2026-05-12T14:16:00Z,69.00,34.00
2026-05-12T14:17:00Z,70.00,30.00
2026-05-12T14:18:00Z,70.00,30.00
2026-05-12T14:19:00Z,70.20,30.00
2026-05-12T14:20:00Z,73.93,26.17
2026-05-12T14:22:00Z,69.00,26.17
2026-05-12T14:24:00Z,71.96,26.17
2026-05-12T14:25:00Z,71.98,26.17
2026-05-12T14:26:00Z,72.00,29.00
2026-05-12T14:27:00Z,66.01,34.20
2026-05-12T14:28:00Z,64.66,35.13
2026-05-12T14:31:00Z,64.66,32.00
2026-05-12T14:32:00Z,70.00,32.00
2026-05-12T14:33:00Z,70.03,31.00
2026-05-12T14:34:00Z,70.00,32.00
2026-05-12T14:35:00Z,67.94,33.90
2026-05-12T14:36:00Z,63.10,37.73
2026-05-12T14:37:00Z,57.59,43.27
2026-05-12T14:38:00Z,56.77,44.80
2026-05-12T14:39:00Z,50.27,48.47
2026-05-12T14:40:00Z,47.82,53.00
2026-05-12T14:41:00Z,46.09,54.43
2026-05-12T14:42:00Z,44.75,56.00
2026-05-12T14:43:00Z,42.62,59.94
2026-05-12T14:44:00Z,46.95,53.66
2026-05-12T14:45:00Z,50.39,50.14
2026-05-12T14:46:00Z,54.90,46.36
2026-05-12T14:47:00Z,58.88,41.14
2026-05-12T14:48:00Z,60.46,36.84
2026-05-12T14:49:00Z,55.14,46.39
2026-05-12T14:50:00Z,56.34,42.57
2026-05-12T14:51:00Z,58.00,42.00
2026-05-12T14:52:00Z,57.45,41.39
2026-05-12T14:53:00Z,65.44,30.79
2026-05-12T14:54:00Z,72.00,28.63
2026-05-12T14:55:00Z,71.07,26.22
2026-05-12T14:56:00Z,66.32,34.27
2026-05-12T14:57:00Z,70.08,33.34
2026-05-12T14:58:00Z,73.69,29.21
2026-05-12T14:59:00Z,73.28,29.26
2026-05-12T15:00:00Z,76.23,23.89
2026-05-12T15:01:00Z,77.57,23.83
2026-05-12T15:02:00Z,78.00,23.91
2026-05-12T15:03:00Z,77.95,24.00
2026-05-12T15:04:00Z,76.28,23.77
2026-05-12T15:05:00Z,77.46,24.01
2026-05-12T15:06:00Z,74.92,25.69
2026-05-12T15:07:00Z,72.95,28.00
2026-05-12T15:08:00Z,74.73,27.00
2026-05-12T15:09:00Z,74.46,26.00
2026-05-12T15:10:00Z,75.89,25.00
2026-05-12T15:11:00Z,75.09,25.90
2026-05-12T15:12:00Z,75.81,25.17
2026-05-12T15:13:00Z,78.19,23.02
2026-05-12T15:14:00Z,88.61,12.01
2026-05-12T15:15:00Z,88.16,11.45
2026-05-12T15:16:00Z,87.79,13.96
2026-05-12T15:17:00Z,81.07,20.22
2026-05-12T15:18:00Z,73.98,26.40
2026-05-12T15:19:00Z,74.11,27.26
2026-05-12T15:20:00Z,79.01,22.90
2026-05-12T15:21:00Z,84.69,17.61
2026-05-12T15:22:00Z,77.48,23.21
2026-05-12T15:23:00Z,74.58,27.12
2026-05-12T15:24:00Z,77.90,19.34
2026-05-12T15:25:00Z,87.62,12.04
2026-05-12T15:26:00Z,89.00,12.00
2026-05-12T15:27:00Z,90.63,10.14
2026-05-12T15:28:00Z,89.30,9.36
2026-05-12T15:29:00Z,91.32,8.76
2026-05-12T15:30:00Z,91.01,9.90
2026-05-12T15:31:00Z,93.39,7.86
2026-05-12T15:32:00Z,94.85,5.84
2026-05-12T15:33:00Z,93.50,6.31
2026-05-12T15:34:00Z,96.71,3.64
2026-05-12T15:35:00Z,97.79,2.25
2026-05-12T15:36:00Z,95.04,5.00
2026-05-12T15:37:00Z,98.76,1.01
2026-05-12T15:38:00Z,99.00,1.00
2026-05-12T15:39:00Z,99.00,1.00
2026-05-12T15:40:00Z,97.81,1.47
2026-05-12T15:41:00Z,97.26,2.93
2026-05-12T15:42:00Z,96.96,3.18
2026-05-12T15:43:00Z,96.00,3.94
2026-05-12T15:44:00Z,96.70,3.31
2026-05-12T15:45:00Z,96.01,4.50
2026-05-12T15:46:00Z,97.50,2.83
2026-05-12T15:47:00Z,97.18,3.10
2026-05-12T15:48:00Z,98.69,2.17
2026-05-12T15:49:00Z,99.00,1.00
2026-05-12T15:50:00Z,99.00,1.00
2026-05-12T15:51:00Z,99.00,1.00
2026-05-12T15:52:00Z,99.00,1.00
