# event_ticker=KXATPMATCH-26FEB08UGOCOM
# final_score=6-4 7-6(3)
# score_resolution=6-4 7-6
# match_winner=Camilo Ugo Carabelli
# fav_player=Camilo Ugo Carabelli
# dog_player=Francisco Comesana
# kalshi_date=2026-02-08
timestamp,Camilo Ugo Carabelli,Francisco Comesana
2026-02-10T12:23:00Z,53.00,
2026-02-10T13:46:00Z,51.94,
2026-02-10T13:55:00Z,51.94,49.00
2026-02-10T14:09:00Z,51.94,49.00
2026-02-10T14:11:00Z,53.00,49.00
2026-02-10T14:30:00Z,53.00,48.00
2026-02-10T14:45:00Z,53.00,48.00
2026-02-10T14:57:00Z,53.00,49.00
2026-02-10T15:06:00Z,53.00,49.00
2026-02-10T15:23:00Z,52.00,49.00
2026-02-10T15:37:00Z,53.00,49.00
2026-02-10T15:40:00Z,53.00,48.80
2026-02-10T15:45:00Z,53.00,48.80
2026-02-10T15:53:00Z,53.00,48.80
2026-02-10T15:57:00Z,53.00,48.80
2026-02-10T16:15:00Z,53.00,48.00
2026-02-10T16:20:00Z,53.00,48.00
2026-02-10T16:36:00Z,53.00,48.00
2026-02-10T16:37:00Z,53.00,48.00
2026-02-10T16:49:00Z,55.00,48.00
2026-02-10T16:58:00Z,55.00,46.00
2026-02-10T17:18:00Z,55.00,46.00
2026-02-10T17:25:00Z,55.00,46.00
2026-02-10T17:31:00Z,55.00,46.00
2026-02-10T17:43:00Z,54.00,46.00
2026-02-10T17:57:00Z,55.00,46.00
2026-02-10T18:11:00Z,57.00,46.00
2026-02-10T18:13:00Z,57.00,46.00
2026-02-10T18:15:00Z,57.00,46.00
2026-02-10T18:24:00Z,57.00,46.00
2026-02-10T18:29:00Z,57.00,46.00
2026-02-10T18:31:00Z,57.00,46.00
2026-02-10T18:37:00Z,57.00,46.00
2026-02-10T18:48:00Z,57.00,46.00
2026-02-10T18:52:00Z,57.00,46.00
2026-02-10T19:05:00Z,57.00,46.00
2026-02-10T19:17:00Z,57.00,46.00
2026-02-10T19:24:00Z,56.00,46.00
2026-02-10T19:26:00Z,57.00,46.00
2026-02-10T19:29:00Z,57.00,46.00
2026-02-10T19:31:00Z,58.00,46.00
2026-02-10T19:34:00Z,58.00,46.00
2026-02-10T19:56:00Z,58.00,46.00
2026-02-10T19:57:00Z,58.00,46.00
