# event_ticker=KXATPCHALLENGERMATCH-26APR21BAXSIN
# final_score=6-3 7-6(2)
# score_resolution=6-3 7-6
# match_winner=Florent Bax
# fav_player=Florent Bax
# dog_player=Karan (IND) Singh
# kalshi_date=2026-04-21
timestamp,Florent Bax,Karan (IND) Singh
2026-04-21T12:30:00Z,,34.00
2026-04-21T13:43:00Z,69.00,34.00
2026-04-21T14:02:00Z,69.00,34.00
2026-04-21T14:26:00Z,69.00,34.00
2026-04-21T16:08:00Z,69.00,34.00
2026-04-21T16:55:00Z,69.00,34.00
2026-04-21T17:07:00Z,69.00,34.00
2026-04-21T17:50:00Z,69.00,34.00
2026-04-21T17:51:00Z,67.00,34.00
2026-04-21T18:20:00Z,67.00,34.00
2026-04-21T18:23:00Z,67.00,34.00
2026-04-21T18:26:00Z,66.00,34.00
2026-04-21T18:32:00Z,67.00,34.00
2026-04-21T18:41:00Z,67.00,34.00
2026-04-21T18:43:00Z,66.00,34.00
2026-04-21T18:51:00Z,67.00,34.00
2026-04-21T18:56:00Z,66.00,34.00
2026-04-21T19:05:00Z,66.00,33.00
2026-04-21T19:07:00Z,67.00,33.00
2026-04-21T19:10:00Z,66.00,33.00
2026-04-21T19:17:00Z,67.00,33.00
2026-04-21T19:22:00Z,67.00,31.00
2026-04-21T19:23:00Z,67.00,31.00
2026-04-21T19:24:00Z,67.00,31.00
2026-04-21T19:26:00Z,66.00,31.00
2026-04-21T19:33:00Z,67.00,31.00
2026-04-21T19:37:00Z,67.00,31.00
2026-04-21T19:41:00Z,67.00,31.00
2026-04-21T19:43:00Z,66.00,31.00
2026-04-21T19:53:00Z,67.00,31.00
2026-04-21T19:57:00Z,67.00,31.00
2026-04-21T19:58:00Z,67.00,33.00
2026-04-21T20:00:00Z,67.00,33.00
2026-04-21T20:03:00Z,69.00,33.00
2026-04-21T20:08:00Z,69.00,33.00
2026-04-21T20:14:00Z,69.00,33.00
2026-04-21T20:16:00Z,66.00,33.00
2026-04-21T20:18:00Z,66.00,33.00
2026-04-21T20:55:00Z,69.00,33.00
2026-04-21T21:05:00Z,68.33,33.00
2026-04-21T21:06:00Z,68.33,33.00
2026-04-21T21:09:00Z,69.00,33.00
2026-04-21T21:30:00Z,69.00,33.00
2026-04-21T21:34:00Z,69.00,33.00
