# event_ticker=KXATPCHALLENGERMATCH-26MAR12VASJIA
# final_score=6-3 7-6(5)
# score_resolution=3-6 6-7
# match_winner=Filip Cristian Jianu
# fav_player=Eero Vasa
# dog_player=Filip Cristian Jianu
# kalshi_date=2026-03-12
timestamp,Eero Vasa,Filip Cristian Jianu
2026-03-12T02:19:00Z,24.00,
2026-03-12T02:50:00Z,24.00,78.00
2026-03-12T03:09:00Z,24.00,78.00
2026-03-12T03:16:00Z,24.00,78.00
2026-03-12T03:21:00Z,24.00,78.04
2026-03-12T03:22:00Z,24.00,79.00
2026-03-12T03:34:00Z,24.00,78.00
2026-03-12T03:43:00Z,24.00,78.00
2026-03-12T04:07:00Z,24.00,78.00
2026-03-12T04:24:00Z,24.00,78.00
2026-03-12T04:47:00Z,24.00,78.00
2026-03-12T05:22:00Z,24.00,78.00
2026-03-12T05:39:00Z,24.83,78.00
2026-03-12T05:40:00Z,25.00,78.00
2026-03-12T05:43:00Z,25.00,78.00
2026-03-12T06:06:00Z,25.00,78.00
2026-03-12T06:07:00Z,25.00,78.00
2026-03-12T06:16:00Z,25.00,78.00
2026-03-12T06:17:00Z,25.00,78.00
2026-03-12T06:27:00Z,25.00,78.00
2026-03-12T06:28:00Z,25.00,78.00
2026-03-12T06:29:00Z,25.00,78.00
2026-03-12T06:30:00Z,27.82,75.69
2026-03-12T06:33:00Z,25.00,75.69
2026-03-12T06:34:00Z,26.00,75.69
2026-03-12T06:35:00Z,25.92,75.69
2026-03-12T06:36:00Z,26.00,76.00
2026-03-12T06:37:00Z,25.69,76.00
2026-03-12T06:39:00Z,26.00,76.00
2026-03-12T06:42:00Z,26.00,76.00
2026-03-12T06:47:00Z,26.00,76.00
2026-03-12T06:55:00Z,26.00,76.00
2026-03-12T06:56:00Z,26.00,76.00
2026-03-12T09:01:00Z,15.74,86.75
2026-03-12T09:02:00Z,13.00,89.00
2026-03-12T09:03:00Z,12.75,89.00
2026-03-12T09:04:00Z,12.34,89.00
2026-03-12T09:05:00Z,11.00,89.00
2026-03-12T09:06:00Z,13.52,88.00
2026-03-12T09:07:00Z,15.44,87.26
2026-03-12T09:08:00Z,14.99,86.00
2026-03-12T09:09:00Z,12.87,87.00
2026-03-12T09:10:00Z,14.48,88.83
2026-03-12T09:11:00Z,13.40,86.00
2026-03-12T09:12:00Z,16.56,85.00
2026-03-12T09:13:00Z,17.56,85.00
2026-03-12T09:14:00Z,17.83,83.00
2026-03-12T09:15:00Z,26.23,80.00
2026-03-12T09:16:00Z,25.45,76.92
2026-03-12T09:17:00Z,22.00,79.37
2026-03-12T09:18:00Z,22.73,81.68
2026-03-12T09:19:00Z,19.50,81.68
2026-03-12T09:20:00Z,16.23,85.12
2026-03-12T09:21:00Z,16.23,84.39
2026-03-12T09:22:00Z,13.96,86.78
2026-03-12T09:23:00Z,18.95,84.00
2026-03-12T09:24:00Z,19.79,80.95
2026-03-12T09:25:00Z,20.99,84.00
2026-03-12T09:26:00Z,21.00,84.00
2026-03-12T09:27:00Z,16.00,85.90
2026-03-12T09:28:00Z,19.76,86.38
2026-03-12T09:29:00Z,23.73,76.75
2026-03-12T09:30:00Z,16.74,88.01
2026-03-12T09:31:00Z,11.68,90.01
2026-03-12T09:32:00Z,15.03,84.02
2026-03-12T09:33:00Z,5.44,95.00
2026-03-12T09:34:00Z,6.04,93.37
2026-03-12T09:35:00Z,3.98,98.14
2026-03-12T09:36:00Z,2.44,94.68
2026-03-12T09:37:00Z,2.44,99.00
2026-03-12T09:38:00Z,2.44,99.00
2026-03-12T09:39:00Z,2.44,99.00
2026-03-12T09:40:00Z,1.00,99.00
2026-03-12T09:42:00Z,1.00,99.00
