# event_ticker=KXATPCHALLENGERMATCH-26MAR08COLBAR
# final_score=6-0 5-2 RET
# match_winner=Andrea Collarini
# fav_player=Alex Barrena
# dog_player=Andrea Collarini
# kalshi_date=2026-03-08
timestamp,Alex Barrena,Andrea Collarini
2026-03-09T07:14:00Z,,44.00
2026-03-09T09:41:00Z,63.00,39.00
2026-03-09T11:29:00Z,63.00,39.00
2026-03-09T11:48:00Z,63.00,39.00
2026-03-09T14:10:00Z,63.00,43.00
2026-03-09T14:11:00Z,60.00,43.00
2026-03-09T14:25:00Z,75.67,36.59
2026-03-09T14:26:00Z,62.55,36.59
2026-03-09T14:33:00Z,62.13,40.00
2026-03-09T14:34:00Z,60.00,40.00
2026-03-09T14:43:00Z,60.00,40.00
2026-03-09T14:46:00Z,60.00,41.00
2026-03-09T14:49:00Z,60.00,41.00
2026-03-09T14:53:00Z,60.00,41.00
2026-03-09T15:07:00Z,60.00,41.00
2026-03-09T15:17:00Z,60.00,41.00
2026-03-09T15:20:00Z,60.00,41.00
2026-03-09T15:33:00Z,63.00,41.00
2026-03-09T15:36:00Z,63.34,41.00
2026-03-09T15:53:00Z,65.00,41.00
2026-03-09T15:54:00Z,65.00,40.82
2026-03-09T15:59:00Z,64.00,40.82
2026-03-09T16:00:00Z,66.00,40.82
2026-03-09T16:02:00Z,59.00,40.82
2026-03-09T16:05:00Z,59.00,40.82
2026-03-09T16:11:00Z,65.00,40.82
2026-03-09T16:12:00Z,66.80,36.00
2026-03-09T16:13:00Z,65.00,36.00
2026-03-09T16:14:00Z,65.00,36.00
2026-03-09T16:23:00Z,65.00,36.00
2026-03-09T16:31:00Z,65.50,36.14
2026-03-09T16:52:00Z,65.00,36.14
2026-03-09T16:53:00Z,65.00,39.00
2026-03-09T16:54:00Z,63.00,39.00
2026-03-09T16:55:00Z,63.00,39.88
2026-03-09T16:59:00Z,65.00,39.88
2026-03-09T17:00:00Z,65.85,36.01
2026-03-09T17:01:00Z,65.59,36.01
2026-03-09T17:03:00Z,66.00,36.01
2026-03-09T17:05:00Z,66.00,36.01
2026-03-09T17:08:00Z,66.00,36.67
2026-03-09T17:11:00Z,68.38,36.67
2026-03-09T17:12:00Z,69.82,35.00
2026-03-09T17:13:00Z,67.00,36.00
2026-03-09T17:14:00Z,67.76,35.14
2026-03-09T17:15:00Z,69.59,34.67
2026-03-09T17:16:00Z,69.41,34.33
2026-03-09T17:17:00Z,67.00,34.28
2026-03-09T17:18:00Z,63.91,38.73
2026-03-09T17:19:00Z,52.87,52.82
2026-03-09T17:20:00Z,49.96,50.25
2026-03-09T17:21:00Z,50.06,51.02
2026-03-09T17:22:00Z,51.97,50.43
2026-03-09T17:23:00Z,50.91,51.17
2026-03-09T17:24:00Z,49.68,53.03
2026-03-09T17:25:00Z,48.24,57.49
2026-03-09T17:26:00Z,36.53,64.91
2026-03-09T17:27:00Z,35.63,67.00
2026-03-09T17:28:00Z,35.54,66.94
2026-03-09T17:29:00Z,35.15,64.26
2026-03-09T17:30:00Z,36.37,64.34
2026-03-09T17:31:00Z,37.31,62.31
2026-03-09T17:32:00Z,34.88,66.62
2026-03-09T17:33:00Z,30.97,68.86
2026-03-09T17:34:00Z,27.57,77.97
2026-03-09T17:35:00Z,28.07,77.14
2026-03-09T17:36:00Z,24.05,79.02
