# event_ticker=KXATPCHALLENGERMATCH-26JUN03BOSMRV
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Maxim Mrva
# fav_player=Pedro Boscardin Dias
# dog_player=Maxim Mrva
# kalshi_date=2026-06-03
timestamp,Pedro Boscardin Dias,Maxim Mrva
2026-06-03T02:04:00Z,,58.00
2026-06-03T02:10:00Z,,55.00
2026-06-03T02:34:00Z,44.00,55.00
2026-06-03T02:50:00Z,44.00,57.00
2026-06-03T02:53:00Z,44.00,57.54
2026-06-03T03:51:00Z,44.00,58.00
2026-06-03T03:55:00Z,44.00,58.00
2026-06-03T03:56:00Z,44.00,56.00
2026-06-03T04:04:00Z,44.00,57.00
2026-06-03T04:14:00Z,44.00,56.00
2026-06-03T04:19:00Z,44.00,57.00
2026-06-03T04:47:00Z,44.00,57.00
2026-06-03T04:48:00Z,44.00,57.00
2026-06-03T04:54:00Z,44.00,57.00
2026-06-03T05:02:00Z,44.00,56.00
2026-06-03T05:06:00Z,44.00,56.00
2026-06-03T05:34:00Z,44.00,56.00
2026-06-03T06:19:00Z,44.00,56.00
2026-06-03T07:00:00Z,44.00,56.00
2026-06-03T07:17:00Z,44.00,56.00
2026-06-03T09:08:00Z,44.00,56.00
2026-06-03T09:24:00Z,42.09,56.00
2026-06-03T09:33:00Z,42.09,60.12
2026-06-03T11:23:00Z,42.09,60.00
2026-06-03T11:26:00Z,41.00,60.00
2026-06-03T11:27:00Z,41.00,60.00
2026-06-03T11:42:00Z,41.00,60.00
2026-06-03T11:49:00Z,41.00,60.00
2026-06-03T12:04:00Z,39.00,60.00
2026-06-03T12:06:00Z,39.00,60.00
2026-06-03T12:11:00Z,39.00,61.00
2026-06-03T12:22:00Z,40.00,61.00
2026-06-03T12:36:00Z,40.00,61.00
2026-06-03T12:40:00Z,40.00,61.00
2026-06-03T12:42:00Z,40.00,61.00
2026-06-03T12:43:00Z,40.09,61.00
2026-06-03T12:46:00Z,38.00,61.36
2026-06-03T12:47:00Z,37.06,63.98
2026-06-03T12:48:00Z,34.12,63.98
2026-06-03T12:49:00Z,39.45,62.98
2026-06-03T12:50:00Z,35.11,64.31
2026-06-03T12:51:00Z,39.99,64.90
2026-06-03T12:52:00Z,39.99,61.00
2026-06-03T12:53:00Z,35.93,66.09
2026-06-03T12:54:00Z,37.00,63.00
2026-06-03T12:55:00Z,36.98,63.40
2026-06-03T12:56:00Z,36.05,64.07
2026-06-03T12:57:00Z,35.91,64.74
2026-06-03T12:58:00Z,36.26,64.04
2026-06-03T12:59:00Z,31.57,67.35
2026-06-03T13:00:00Z,24.72,76.62
