# event_ticker=KXATPCHALLENGERMATCH-26MAR03TORVAR
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Juan Pablo Varillas
# fav_player=Benjamin Torrealba
# dog_player=Juan Pablo Varillas
# kalshi_date=2026-03-03
timestamp,Benjamin Torrealba,Juan Pablo Varillas
2026-03-03T01:55:00Z,,91.00
2026-03-03T01:56:00Z,,91.00
2026-03-03T02:13:00Z,13.00,91.00
2026-03-03T03:12:00Z,13.00,91.00
2026-03-03T03:57:00Z,13.00,91.00
2026-03-03T03:59:00Z,13.00,91.00
2026-03-03T04:26:00Z,12.00,91.00
2026-03-03T04:37:00Z,12.00,87.00
2026-03-03T04:42:00Z,12.00,87.00
2026-03-03T04:45:00Z,12.00,87.00
2026-03-03T04:51:00Z,12.00,87.00
2026-03-03T05:17:00Z,13.00,87.00
2026-03-03T05:20:00Z,13.00,88.00
2026-03-03T05:23:00Z,13.00,88.00
2026-03-03T05:29:00Z,13.00,88.00
2026-03-03T05:33:00Z,13.00,88.00
2026-03-03T05:34:00Z,13.00,88.00
2026-03-03T05:45:00Z,10.03,88.00
2026-03-03T05:49:00Z,12.00,88.00
2026-03-03T06:04:00Z,12.00,88.00
2026-03-03T06:21:00Z,12.82,88.00
2026-03-03T06:27:00Z,13.00,88.00
2026-03-03T06:31:00Z,13.00,88.00
2026-03-03T06:37:00Z,13.00,88.00
2026-03-03T06:40:00Z,13.00,88.00
2026-03-03T07:52:00Z,13.00,89.00
2026-03-03T08:09:00Z,13.00,89.00
2026-03-03T08:39:00Z,14.00,89.00
2026-03-03T08:55:00Z,14.00,89.00
2026-03-03T09:22:00Z,14.00,89.00
2026-03-03T09:45:00Z,14.00,87.00
2026-03-03T10:06:00Z,14.00,89.00
2026-03-03T10:08:00Z,12.44,89.00
2026-03-03T10:31:00Z,12.44,90.00
2026-03-03T10:33:00Z,12.44,90.00
2026-03-03T11:09:00Z,12.00,90.00
2026-03-03T11:22:00Z,12.00,90.00
2026-03-03T11:36:00Z,12.00,90.00
2026-03-03T12:10:00Z,12.00,90.00
2026-03-03T12:21:00Z,12.00,90.00
2026-03-03T12:56:00Z,12.00,92.00
2026-03-03T13:24:00Z,12.00,92.00
2026-03-03T13:37:00Z,12.00,91.55
2026-03-03T13:38:00Z,11.48,90.00
2026-03-03T13:39:00Z,11.00,91.00
2026-03-03T13:40:00Z,11.00,91.00
2026-03-03T13:41:00Z,11.00,91.00
2026-03-03T13:42:00Z,10.14,90.04
2026-03-03T13:43:00Z,9.00,90.04
2026-03-03T13:44:00Z,10.69,90.04
2026-03-03T13:45:00Z,10.00,90.04
2026-03-03T13:46:00Z,11.02,89.52
2026-03-03T13:47:00Z,12.00,89.04
2026-03-03T13:48:00Z,13.85,86.91
2026-03-03T13:49:00Z,14.38,86.00
2026-03-03T13:50:00Z,15.24,85.12
2026-03-03T13:51:00Z,12.72,86.01
2026-03-03T13:52:00Z,12.00,86.01
2026-03-03T13:53:00Z,12.65,89.00
2026-03-03T13:54:00Z,12.00,89.11
2026-03-03T13:55:00Z,13.20,87.02
2026-03-03T13:56:00Z,13.26,87.27
2026-03-03T13:57:00Z,14.00,87.78
2026-03-03T13:58:00Z,12.02,88.00
2026-03-03T13:59:00Z,12.00,88.00
2026-03-03T14:00:00Z,11.00,88.00
2026-03-03T14:01:00Z,11.41,92.00
2026-03-03T14:02:00Z,8.82,90.00
2026-03-03T14:03:00Z,7.52,93.08
2026-03-03T14:04:00Z,3.95,95.00
2026-03-03T14:05:00Z,6.54,95.00
2026-03-03T14:06:00Z,5.91,95.01
2026-03-03T14:07:00Z,4.75,96.00
2026-03-03T14:08:00Z,4.03,95.30
2026-03-03T14:09:00Z,6.00,95.30
2026-03-03T14:10:00Z,5.95,97.00
2026-03-03T14:11:00Z,5.00,97.00
2026-03-03T14:12:00Z,4.01,97.00
2026-03-03T14:13:00Z,3.99,97.70
2026-03-03T14:14:00Z,4.00,97.00
2026-03-03T14:15:00Z,3.87,97.00
2026-03-03T14:16:00Z,3.98,96.00
2026-03-03T14:18:00Z,3.69,97.46
2026-03-03T14:19:00Z,3.87,97.46
2026-03-03T14:20:00Z,3.11,96.45
2026-03-03T14:21:00Z,3.77,96.45
2026-03-03T14:22:00Z,4.29,96.45
2026-03-03T14:23:00Z,4.00,97.01
2026-03-03T14:25:00Z,2.10,98.00
2026-03-03T14:26:00Z,2.48,99.00
2026-03-03T14:27:00Z,1.74,99.00
2026-03-03T14:28:00Z,1.00,99.00
2026-03-03T14:29:00Z,1.07,99.00
2026-03-03T14:30:00Z,1.18,99.00
2026-03-03T14:31:00Z,1.00,99.00
2026-03-03T14:32:00Z,1.00,99.00
2026-03-03T14:33:00Z,1.98,99.00
2026-03-03T14:34:00Z,1.98,99.00
2026-03-03T14:35:00Z,3.00,99.00
2026-03-03T14:37:00Z,1.82,99.00
2026-03-03T14:38:00Z,1.00,99.00
2026-03-03T14:39:00Z,1.00,99.00
2026-03-03T14:40:00Z,1.00,99.00
2026-03-03T14:43:00Z,1.00,99.00
2026-03-03T14:45:00Z,1.00,99.00
2026-03-03T14:51:00Z,1.00,99.00
