# event_ticker=KXATPCHALLENGERMATCH-26APR07HERPOL
# final_score=7-5 6-4
# match_winner=Alex Hernandez
# fav_player=Alex Hernandez
# dog_player=Karl Poling
# kalshi_date=2026-04-07
timestamp,Alex Hernandez,Karl Poling
2026-04-07T13:28:00Z,59.00,
2026-04-07T14:45:00Z,59.00,
2026-04-07T15:13:00Z,59.00,41.77
2026-04-07T15:27:00Z,59.00,44.00
2026-04-07T15:36:00Z,59.00,44.00
2026-04-07T16:27:00Z,59.00,43.00
2026-04-07T16:49:00Z,59.00,44.00
2026-04-07T16:50:00Z,59.00,44.00
2026-04-07T17:02:00Z,59.00,44.00
2026-04-07T17:04:00Z,58.00,44.00
2026-04-07T17:14:00Z,58.00,44.00
2026-04-07T17:19:00Z,58.67,44.00
2026-04-07T17:21:00Z,58.67,43.00
2026-04-07T17:30:00Z,59.00,43.00
2026-04-07T17:31:00Z,59.00,43.00
2026-04-07T17:42:00Z,59.00,43.00
2026-04-07T17:54:00Z,59.00,43.00
2026-04-07T17:57:00Z,59.00,43.00
2026-04-07T18:11:00Z,59.00,41.00
2026-04-07T18:14:00Z,61.00,41.00
2026-04-07T18:18:00Z,61.00,41.00
2026-04-07T18:20:00Z,61.00,41.00
2026-04-07T18:21:00Z,61.00,41.90
2026-04-07T18:22:00Z,61.00,41.95
2026-04-07T18:28:00Z,60.00,41.95
2026-04-07T18:32:00Z,60.57,41.95
2026-04-07T18:34:00Z,60.00,41.95
2026-04-07T18:39:00Z,60.60,41.95
2026-04-07T18:40:00Z,60.10,41.95
2026-04-07T18:44:00Z,59.93,41.95
2026-04-07T18:48:00Z,60.83,41.95
2026-04-07T18:52:00Z,60.07,41.95
2026-04-07T18:56:00Z,60.87,38.90
2026-04-07T18:57:00Z,60.79,38.90
2026-04-07T18:58:00Z,61.00,41.00
2026-04-07T18:59:00Z,61.00,41.00
2026-04-07T19:00:00Z,61.00,41.00
2026-04-07T19:01:00Z,66.14,34.00
2026-04-07T19:02:00Z,71.78,29.61
2026-04-07T19:03:00Z,74.00,28.00
2026-04-07T19:04:00Z,77.00,23.42
2026-04-07T19:05:00Z,77.00,22.00
2026-04-07T19:06:00Z,78.00,21.06
2026-04-07T19:07:00Z,78.00,20.00
2026-04-07T19:08:00Z,82.92,17.68
2026-04-07T19:09:00Z,80.00,20.00
2026-04-07T19:10:00Z,85.00,20.00
2026-04-07T19:11:00Z,85.08,15.00
2026-04-07T19:12:00Z,85.70,15.00
2026-04-07T19:13:00Z,81.50,18.01
2026-04-07T19:14:00Z,84.00,15.75
2026-04-07T19:15:00Z,84.00,16.62
2026-04-07T19:16:00Z,77.89,21.09
2026-04-07T19:17:00Z,79.00,20.50
2026-04-07T19:18:00Z,79.00,20.00
2026-04-07T19:19:00Z,85.00,17.85
2026-04-07T19:20:00Z,85.00,15.00
2026-04-07T19:21:00Z,84.15,15.60
2026-04-07T19:22:00Z,85.38,15.60
2026-04-07T19:23:00Z,85.38,17.00
2026-04-07T19:24:00Z,80.75,22.31
2026-04-07T19:25:00Z,77.00,24.00
2026-04-07T19:26:00Z,76.97,23.61
2026-04-07T19:27:00Z,73.00,27.00
2026-04-07T19:28:00Z,74.67,27.00
2026-04-07T19:29:00Z,66.88,29.98
2026-04-07T19:30:00Z,58.78,42.73
2026-04-07T19:31:00Z,54.80,50.44
2026-04-07T19:32:00Z,50.00,51.86
2026-04-07T19:33:00Z,49.27,51.36
2026-04-07T19:34:00Z,47.08,54.30
2026-04-07T19:35:00Z,49.47,52.62
2026-04-07T19:36:00Z,57.29,49.45
2026-04-07T19:37:00Z,49.72,51.83
2026-04-07T19:38:00Z,59.48,40.65
2026-04-07T19:39:00Z,59.89,39.21
2026-04-07T19:40:00Z,60.21,33.95
2026-04-07T19:41:00Z,59.29,44.30
2026-04-07T19:42:00Z,57.11,40.87
2026-04-07T19:43:00Z,61.82,41.00
2026-04-07T19:44:00Z,67.21,37.20
2026-04-07T19:45:00Z,73.76,24.51
2026-04-07T19:46:00Z,76.65,24.00
2026-04-07T19:47:00Z,76.00,24.00
2026-04-07T19:48:00Z,77.28,23.79
2026-04-07T19:49:00Z,75.51,21.52
2026-04-07T19:50:00Z,76.48,17.75
2026-04-07T19:51:00Z,81.61,17.96
2026-04-07T19:52:00Z,82.41,17.84
2026-04-07T19:53:00Z,83.94,18.44
2026-04-07T19:54:00Z,85.00,17.68
2026-04-07T19:55:00Z,84.59,17.68
2026-04-07T19:56:00Z,85.68,10.99
2026-04-07T19:57:00Z,90.00,10.20
2026-04-07T19:58:00Z,91.36,7.30
2026-04-07T19:59:00Z,91.17,6.97
2026-04-07T20:00:00Z,92.99,7.06
2026-04-07T20:01:00Z,91.65,9.00
