# event_ticker=KXATPCHALLENGERMATCH-26MAY26TRAMOR
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Stefano Travaglia
# fav_player=Alejandro Moro Canas
# dog_player=Stefano Travaglia
# kalshi_date=2026-05-26
timestamp,Stefano Travaglia,Alejandro Moro Canas
2026-05-26T02:33:00Z,,46.00
2026-05-26T06:05:00Z,55.00,46.00
2026-05-26T07:25:00Z,55.00,46.00
2026-05-26T07:31:00Z,55.00,46.00
2026-05-26T07:39:00Z,55.00,46.00
2026-05-26T08:05:00Z,55.00,46.00
2026-05-26T09:11:00Z,55.00,46.00
2026-05-26T09:39:00Z,55.00,47.00
2026-05-26T09:41:00Z,55.00,47.00
2026-05-26T10:16:00Z,55.98,47.00
2026-05-26T10:24:00Z,56.00,47.00
2026-05-26T10:26:00Z,58.00,47.00
2026-05-26T10:27:00Z,58.15,38.50
2026-05-26T10:28:00Z,64.66,37.00
2026-05-26T10:29:00Z,68.00,37.00
2026-05-26T10:30:00Z,70.50,29.50
2026-05-26T10:31:00Z,72.00,27.00
2026-05-26T10:32:00Z,72.55,30.00
2026-05-26T10:35:00Z,70.80,30.00
2026-05-26T10:37:00Z,72.98,30.00
2026-05-26T10:38:00Z,74.00,30.00
2026-05-26T10:39:00Z,75.00,26.00
2026-05-26T10:40:00Z,79.41,24.00
2026-05-26T10:42:00Z,76.28,24.00
2026-05-26T10:43:00Z,80.34,17.00
2026-05-26T10:44:00Z,83.00,17.00
2026-05-26T10:46:00Z,84.48,16.00
2026-05-26T10:47:00Z,85.92,16.00
2026-05-26T10:49:00Z,85.92,14.00
2026-05-26T10:50:00Z,85.00,14.00
2026-05-26T10:51:00Z,84.00,14.00
2026-05-26T10:52:00Z,84.00,14.00
2026-05-26T10:56:00Z,78.00,22.00
2026-05-26T10:57:00Z,80.00,23.00
2026-05-26T10:58:00Z,80.00,23.00
2026-05-26T10:59:00Z,81.93,23.00
2026-05-26T11:00:00Z,83.67,23.00
2026-05-26T11:01:00Z,84.00,23.00
2026-05-26T11:02:00Z,84.00,23.00
2026-05-26T11:03:00Z,84.00,23.00
2026-05-26T11:04:00Z,85.00,23.00
2026-05-26T11:05:00Z,84.00,23.00
2026-05-26T11:07:00Z,84.84,17.00
2026-05-26T11:09:00Z,86.00,17.00
2026-05-26T11:10:00Z,86.00,14.00
2026-05-26T11:12:00Z,84.66,16.00
2026-05-26T11:13:00Z,87.84,16.00
2026-05-26T11:14:00Z,93.18,9.00
2026-05-26T11:16:00Z,93.00,8.00
2026-05-26T11:17:00Z,92.00,8.00
2026-05-26T11:18:00Z,96.00,5.00
2026-05-26T11:19:00Z,96.00,4.11
2026-05-26T11:20:00Z,96.00,4.11
2026-05-26T11:21:00Z,96.00,6.00
2026-05-26T11:22:00Z,94.00,6.00
2026-05-26T11:23:00Z,95.82,6.00
2026-05-26T11:25:00Z,97.00,4.00
2026-05-26T11:26:00Z,97.00,3.47
2026-05-26T11:27:00Z,97.00,3.00
2026-05-26T11:28:00Z,97.17,3.00
2026-05-26T11:29:00Z,96.00,4.00
2026-05-26T11:30:00Z,96.00,4.00
2026-05-26T11:31:00Z,96.00,5.00
2026-05-26T11:32:00Z,97.68,4.00
2026-05-26T11:33:00Z,96.00,3.00
2026-05-26T11:34:00Z,95.13,4.00
2026-05-26T11:35:00Z,94.32,8.01
2026-05-26T11:36:00Z,97.00,8.01
2026-05-26T11:37:00Z,97.34,3.00
2026-05-26T11:38:00Z,98.00,3.00
2026-05-26T11:39:00Z,97.98,2.00
2026-05-26T11:40:00Z,98.00,2.00
2026-05-26T11:41:00Z,98.00,3.00
2026-05-26T11:43:00Z,98.00,3.00
2026-05-26T11:44:00Z,97.07,3.00
2026-05-26T11:45:00Z,98.00,3.00
2026-05-26T11:46:00Z,98.82,1.40
2026-05-26T11:47:00Z,99.00,1.40
2026-05-26T11:48:00Z,99.00,1.00
2026-05-26T11:49:00Z,99.00,1.00
