# event_ticker=KXATPCHALLENGERMATCH-26APR30LAJSHA
# final_score=6-4 6-4
# match_winner=Mark Lajal
# fav_player=Mark Lajal
# dog_player=Marat Sharipov
# kalshi_date=2026-04-30
timestamp,Mark Lajal,Marat Sharipov
2026-04-29T16:26:00Z,53.00,
2026-04-29T18:46:00Z,53.00,46.00
2026-04-29T20:13:00Z,53.00,46.00
2026-04-29T20:49:00Z,53.00,46.00
2026-04-29T20:54:00Z,55.00,46.00
2026-04-29T21:15:00Z,55.00,46.00
2026-04-29T21:18:00Z,55.00,46.00
2026-04-29T21:28:00Z,55.00,45.00
2026-04-29T21:51:00Z,55.00,45.00
2026-04-29T22:49:00Z,55.00,45.00
2026-04-29T22:57:00Z,55.00,46.00
2026-04-29T23:00:00Z,55.00,46.00
2026-04-29T23:15:00Z,55.00,46.00
2026-04-29T23:48:00Z,54.00,46.00
2026-04-30T00:00:00Z,54.00,46.00
2026-04-30T00:18:00Z,55.00,46.00
2026-04-30T00:19:00Z,55.00,46.00
2026-04-30T00:26:00Z,55.00,46.00
2026-04-30T00:30:00Z,55.00,46.00
2026-04-30T00:34:00Z,55.00,46.00
2026-04-30T00:36:00Z,55.00,46.00
2026-04-30T00:40:00Z,55.00,46.00
2026-04-30T01:11:00Z,55.00,45.01
2026-04-30T01:37:00Z,55.00,45.01
2026-04-30T01:55:00Z,55.00,45.01
2026-04-30T01:56:00Z,55.00,45.01
2026-04-30T01:59:00Z,55.00,46.00
2026-04-30T02:04:00Z,55.00,46.00
2026-04-30T02:05:00Z,55.00,45.00
2026-04-30T02:19:00Z,55.00,45.00
2026-04-30T02:23:00Z,55.00,45.00
2026-04-30T02:46:00Z,55.00,45.00
2026-04-30T02:48:00Z,55.00,45.00
2026-04-30T02:53:00Z,55.00,46.00
2026-04-30T02:56:00Z,55.00,46.00
2026-04-30T02:58:00Z,55.00,46.00
2026-04-30T02:59:00Z,55.00,46.00
2026-04-30T03:04:00Z,55.00,46.00
2026-04-30T03:10:00Z,55.00,46.00
2026-04-30T03:16:00Z,55.00,46.00
2026-04-30T03:17:00Z,54.00,46.00
2026-04-30T03:18:00Z,55.00,46.00
2026-04-30T03:24:00Z,55.00,46.00
2026-04-30T03:25:00Z,55.00,46.00
2026-04-30T03:26:00Z,55.00,46.00
2026-04-30T03:28:00Z,55.00,46.00
2026-04-30T03:30:00Z,55.00,46.00
2026-04-30T03:32:00Z,55.00,45.00
2026-04-30T03:37:00Z,56.00,45.00
2026-04-30T03:43:00Z,56.00,45.00
2026-04-30T03:47:00Z,56.00,45.00
2026-04-30T03:49:00Z,56.00,45.00
2026-04-30T03:58:00Z,56.00,45.00
2026-04-30T04:00:00Z,56.00,45.00
2026-04-30T04:01:00Z,56.00,45.00
2026-04-30T04:02:00Z,56.00,45.54
2026-04-30T04:03:00Z,56.00,46.00
2026-04-30T04:04:00Z,56.00,46.00
2026-04-30T04:05:00Z,58.35,44.00
2026-04-30T04:06:00Z,57.00,44.84
2026-04-30T04:07:00Z,57.88,45.00
2026-04-30T04:08:00Z,57.88,45.00
2026-04-30T04:09:00Z,57.87,45.00
2026-04-30T04:10:00Z,58.05,43.75
2026-04-30T04:11:00Z,62.16,40.95
2026-04-30T04:12:00Z,60.24,41.95
2026-04-30T04:13:00Z,58.25,44.87
2026-04-30T04:14:00Z,54.06,48.17
2026-04-30T04:15:00Z,53.50,47.00
