# event_ticker=KXATPCHALLENGERMATCH-26MAY11DIADEL
# final_score=6-2 7-6(6)
# score_resolution=6-2 7-6
# match_winner=Hugo Dellien
# fav_player=Hugo Dellien
# dog_player=Facundo Diaz Acosta
# kalshi_date=2026-05-11
timestamp,Facundo Diaz Acosta,Hugo Dellien
2026-05-12T04:42:00Z,,45.00
2026-05-12T04:44:00Z,,45.00
2026-05-12T04:45:00Z,,45.00
2026-05-12T04:57:00Z,,45.00
2026-05-12T05:09:00Z,,45.00
2026-05-12T05:25:00Z,56.00,45.00
2026-05-12T05:38:00Z,56.00,45.00
2026-05-12T05:44:00Z,56.00,45.00
2026-05-12T05:52:00Z,56.00,45.00
2026-05-12T06:10:00Z,56.00,45.00
2026-05-12T06:26:00Z,56.00,45.00
2026-05-12T07:28:00Z,56.00,45.00
2026-05-12T07:59:00Z,56.00,45.00
2026-05-12T08:12:00Z,56.00,45.00
2026-05-12T09:45:00Z,57.00,45.00
2026-05-12T10:02:00Z,58.00,45.00
2026-05-12T10:34:00Z,57.00,45.00
2026-05-12T11:07:00Z,57.00,45.00
2026-05-12T11:55:00Z,58.00,45.00
2026-05-12T12:07:00Z,58.00,44.00
2026-05-12T12:20:00Z,58.00,45.00
2026-05-12T12:23:00Z,58.00,43.00
2026-05-12T12:46:00Z,58.00,43.00
2026-05-12T13:23:00Z,58.00,43.00
2026-05-12T13:32:00Z,58.00,43.00
2026-05-12T13:42:00Z,58.00,43.00
2026-05-12T13:46:00Z,57.00,43.00
2026-05-12T14:13:00Z,57.00,43.00
2026-05-12T14:21:00Z,58.00,43.00
2026-05-12T14:47:00Z,59.00,43.00
2026-05-12T15:02:00Z,59.00,43.00
2026-05-12T15:05:00Z,57.00,43.00
2026-05-12T15:24:00Z,58.00,43.00
2026-05-12T15:25:00Z,59.00,43.00
2026-05-12T15:31:00Z,59.00,43.00
2026-05-12T15:44:00Z,59.00,44.00
2026-05-12T15:45:00Z,59.00,42.00
2026-05-12T15:55:00Z,59.00,42.00
2026-05-12T15:57:00Z,59.00,44.00
2026-05-12T15:58:00Z,59.00,44.00
2026-05-12T16:00:00Z,59.00,44.00
2026-05-12T16:06:00Z,59.00,41.00
2026-05-12T16:16:00Z,59.00,44.00
2026-05-12T16:20:00Z,59.00,44.00
2026-05-12T16:22:00Z,59.00,44.35
2026-05-12T16:27:00Z,57.00,44.12
2026-05-12T16:28:00Z,57.00,44.00
2026-05-12T16:29:00Z,57.00,45.33
2026-05-12T16:30:00Z,57.00,44.00
2026-05-12T16:31:00Z,57.00,45.00
2026-05-12T16:32:00Z,59.00,45.11
2026-05-12T16:33:00Z,58.95,41.58
2026-05-12T16:34:00Z,60.00,43.00
2026-05-12T16:35:00Z,60.64,40.99
2026-05-12T16:36:00Z,61.00,40.00
2026-05-12T16:37:00Z,62.11,37.94
2026-05-12T16:38:00Z,60.00,40.04
2026-05-12T16:39:00Z,59.56,41.14
2026-05-12T16:40:00Z,61.00,39.00
2026-05-12T16:41:00Z,61.00,42.69
2026-05-12T16:42:00Z,56.34,44.00
2026-05-12T16:43:00Z,59.00,41.00
2026-05-12T16:44:00Z,57.94,48.40
2026-05-12T16:45:00Z,52.99,46.72
2026-05-12T16:46:00Z,51.25,46.60
2026-05-12T16:47:00Z,55.00,49.65
2026-05-12T16:48:00Z,51.48,47.70
2026-05-12T16:49:00Z,52.11,48.09
2026-05-12T16:50:00Z,42.10,55.46
2026-05-12T16:51:00Z,43.34,58.68
2026-05-12T16:52:00Z,43.34,59.77
2026-05-12T16:53:00Z,41.74,60.97
2026-05-12T16:54:00Z,38.70,60.81
2026-05-12T16:55:00Z,38.70,62.95
2026-05-12T16:56:00Z,39.36,62.95
2026-05-12T16:57:00Z,39.28,61.93
2026-05-12T16:58:00Z,40.30,60.43
2026-05-12T16:59:00Z,41.00,59.92
2026-05-12T17:00:00Z,43.52,57.64
2026-05-12T17:01:00Z,42.43,57.50
2026-05-12T17:02:00Z,40.00,59.00
2026-05-12T17:03:00Z,39.01,62.02
2026-05-12T17:04:00Z,37.00,62.00
2026-05-12T17:05:00Z,37.44,64.57
2026-05-12T17:06:00Z,34.00,64.55
2026-05-12T17:07:00Z,36.21,66.41
2026-05-12T17:08:00Z,36.66,63.00
2026-05-12T17:09:00Z,34.00,65.41
2026-05-12T17:10:00Z,33.12,65.99
2026-05-12T17:11:00Z,31.93,70.23
2026-05-12T17:12:00Z,28.00,72.00
2026-05-12T17:13:00Z,29.00,71.08
2026-05-12T17:14:00Z,28.64,72.00
2026-05-12T17:15:00Z,27.02,73.09
2026-05-12T17:16:00Z,27.00,73.67
2026-05-12T17:17:00Z,27.00,73.99
2026-05-12T17:18:00Z,26.00,73.23
2026-05-12T17:19:00Z,27.29,72.07
2026-05-12T17:20:00Z,28.83,71.56
2026-05-12T17:21:00Z,29.08,72.22
2026-05-12T17:22:00Z,26.64,73.63
2026-05-12T17:23:00Z,29.22,71.74
2026-05-12T17:24:00Z,29.92,71.67
2026-05-12T17:25:00Z,28.00,73.86
2026-05-12T17:26:00Z,26.46,73.83
2026-05-12T17:27:00Z,25.55,74.81
2026-05-12T17:28:00Z,25.87,75.80
2026-05-12T17:29:00Z,25.69,75.24
2026-05-12T17:30:00Z,25.98,75.77
2026-05-12T17:31:00Z,20.89,78.60
2026-05-12T17:32:00Z,24.84,74.16
2026-05-12T17:33:00Z,25.47,73.63
2026-05-12T17:34:00Z,26.56,72.99
2026-05-12T17:35:00Z,23.21,78.54
2026-05-12T17:36:00Z,20.61,78.64
2026-05-12T17:37:00Z,29.61,71.08
2026-05-12T17:38:00Z,30.00,70.83
2026-05-12T17:39:00Z,29.91,71.00
2026-05-12T17:40:00Z,27.26,74.23
2026-05-12T17:41:00Z,24.24,75.80
2026-05-12T17:42:00Z,23.13,78.79
2026-05-12T17:43:00Z,21.02,78.02
2026-05-12T17:44:00Z,20.31,78.99
2026-05-12T17:45:00Z,10.64,86.31
2026-05-12T17:46:00Z,10.77,89.91
2026-05-12T17:47:00Z,12.62,88.72
2026-05-12T17:48:00Z,19.98,80.69
2026-05-12T17:49:00Z,23.00,78.55
2026-05-12T17:50:00Z,27.21,74.58
2026-05-12T17:51:00Z,30.57,69.20
2026-05-12T17:52:00Z,33.37,66.50
2026-05-12T17:53:00Z,33.50,66.66
2026-05-12T17:54:00Z,31.52,68.60
2026-05-12T17:55:00Z,31.32,69.61
2026-05-12T17:56:00Z,33.56,66.23
2026-05-12T17:57:00Z,31.08,69.10
2026-05-12T17:58:00Z,29.84,70.52
2026-05-12T17:59:00Z,30.37,70.33
2026-05-12T18:00:00Z,30.13,71.55
2026-05-12T18:01:00Z,31.05,75.18
2026-05-12T18:02:00Z,24.73,78.45
2026-05-12T18:03:00Z,25.14,76.17
2026-05-12T18:04:00Z,32.82,68.00
2026-05-12T18:05:00Z,36.06,64.25
2026-05-12T18:06:00Z,39.03,59.36
2026-05-12T18:07:00Z,46.55,52.00
2026-05-12T18:08:00Z,51.60,44.10
