# event_ticker=KXATPMATCH-26FEB10SHIKEC
# final_score=6-7(3) 6-3 7-6(3)
# score_resolution=6-7 6-3 7-6
# match_winner=Miomir Kecmanovic
# fav_player=Miomir Kecmanovic
# dog_player=Sho Shimabukuro
# kalshi_date=2026-02-10
timestamp,Miomir Kecmanovic,Sho Shimabukuro
2026-02-10T07:43:00Z,63.00,
2026-02-10T07:53:00Z,63.00,
2026-02-10T08:33:00Z,63.00,
2026-02-10T10:11:00Z,63.00,
2026-02-10T11:37:00Z,63.00,
2026-02-10T11:54:00Z,63.00,38.00
2026-02-10T12:20:00Z,63.00,38.00
2026-02-10T13:38:00Z,63.00,38.00
2026-02-10T13:56:00Z,63.00,37.00
2026-02-10T14:08:00Z,63.00,38.00
2026-02-10T14:10:00Z,63.00,38.00
2026-02-10T14:15:00Z,63.00,38.00
2026-02-10T14:48:00Z,63.00,38.00
2026-02-10T14:50:00Z,63.00,38.00
2026-02-10T15:56:00Z,63.00,38.00
2026-02-10T16:12:00Z,63.00,38.00
2026-02-10T16:24:00Z,63.00,37.00
2026-02-10T16:40:00Z,63.00,37.00
2026-02-10T16:42:00Z,63.00,38.00
2026-02-10T16:45:00Z,63.00,37.00
2026-02-10T16:47:00Z,63.00,37.00
2026-02-10T16:51:00Z,63.00,38.00
2026-02-10T17:03:00Z,63.00,38.00
2026-02-10T17:04:00Z,63.00,38.00
2026-02-10T17:28:00Z,63.00,38.00
2026-02-10T17:29:00Z,63.00,38.00
2026-02-10T17:30:00Z,63.00,38.00
2026-02-10T17:32:00Z,63.00,38.00
2026-02-10T17:34:00Z,63.00,38.00
2026-02-10T17:36:00Z,63.00,38.00
2026-02-10T17:38:00Z,63.00,38.00
2026-02-10T17:39:00Z,62.00,38.00
2026-02-10T17:40:00Z,62.00,38.00
2026-02-10T17:41:00Z,62.00,40.00
2026-02-10T17:49:00Z,61.00,40.00
2026-02-10T18:01:00Z,61.00,40.00
2026-02-10T18:03:00Z,61.00,40.00
2026-02-10T18:07:00Z,61.00,40.00
2026-02-10T18:12:00Z,61.00,40.00
2026-02-10T18:16:00Z,61.00,40.00
2026-02-10T18:18:00Z,61.00,40.00
2026-02-10T18:22:00Z,61.00,39.00
2026-02-10T18:27:00Z,61.00,39.00
2026-02-10T18:29:00Z,61.00,40.00
2026-02-10T18:31:00Z,61.00,40.00
2026-02-10T18:35:00Z,61.00,40.00
2026-02-10T18:36:00Z,61.00,40.00
2026-02-10T18:47:00Z,61.00,40.00
2026-02-10T18:52:00Z,61.00,40.00
2026-02-10T18:55:00Z,61.00,40.00
2026-02-10T19:00:00Z,61.00,40.00
2026-02-10T19:02:00Z,61.00,40.00
2026-02-10T19:03:00Z,61.00,40.00
2026-02-10T19:04:00Z,61.00,40.00
2026-02-10T19:06:00Z,61.00,40.00
2026-02-10T19:07:00Z,61.00,40.00
2026-02-10T19:13:00Z,61.00,40.00
2026-02-10T19:15:00Z,61.00,40.00
2026-02-10T19:18:00Z,61.00,40.00
2026-02-10T19:21:00Z,61.00,40.00
2026-02-10T19:22:00Z,59.00,42.25
2026-02-10T19:23:00Z,59.96,42.20
2026-02-10T19:24:00Z,59.00,43.91
2026-02-10T19:25:00Z,59.00,44.00
2026-02-10T19:26:00Z,58.84,43.00
2026-02-10T19:27:00Z,63.81,40.22
2026-02-10T19:28:00Z,63.41,35.55
2026-02-10T19:29:00Z,61.93,39.21
2026-02-10T19:30:00Z,67.21,30.94
2026-02-10T19:31:00Z,75.72,26.10
2026-02-10T19:32:00Z,77.68,23.63
2026-02-10T19:33:00Z,77.11,23.44
2026-02-10T19:34:00Z,76.00,25.01
2026-02-10T19:35:00Z,75.00,26.36
2026-02-10T19:36:00Z,69.85,31.09
2026-02-10T19:37:00Z,60.20,42.31
2026-02-10T19:38:00Z,57.43,44.23
2026-02-10T19:39:00Z,53.35,48.36
2026-02-10T19:40:00Z,51.65,49.59
2026-02-10T19:41:00Z,48.13,51.48
2026-02-10T19:42:00Z,48.97,52.12
