# event_ticker=KXATPMATCH-25AUG17NISCAR
# final_score=6-0 6-3
# match_winner=Pablo Carreno Busta
# fav_player=Pablo Carreno Busta
# dog_player=Yoshihito Nishioka
# kalshi_date=2025-08-17
timestamp,Pablo Carreno Busta,Yoshihito Nishioka
2025-08-17T17:10:00Z,60.00,
2025-08-17T19:45:00Z,58.00,
2025-08-17T19:47:00Z,58.00,
2025-08-17T20:48:00Z,58.00,
2025-08-17T21:30:00Z,58.00,
2025-08-17T21:35:00Z,58.00,
2025-08-17T21:47:00Z,58.00,
2025-08-17T21:51:00Z,58.00,
2025-08-17T22:05:00Z,59.25,
2025-08-17T22:06:00Z,59.68,
2025-08-17T22:07:00Z,59.68,41.00
2025-08-17T22:09:00Z,60.00,41.00
2025-08-17T22:17:00Z,60.00,41.00
2025-08-17T22:18:00Z,61.63,41.00
2025-08-17T22:19:00Z,62.60,41.00
2025-08-17T22:22:00Z,62.00,41.00
2025-08-17T22:24:00Z,63.55,41.00
2025-08-17T22:25:00Z,63.00,37.00
2025-08-17T22:26:00Z,64.00,37.00
2025-08-17T22:27:00Z,64.00,37.00
2025-08-17T22:28:00Z,64.00,37.00
2025-08-17T22:30:00Z,63.00,37.00
2025-08-17T22:35:00Z,65.00,37.00
2025-08-17T22:36:00Z,65.00,37.00
2025-08-17T22:38:00Z,68.00,36.77
2025-08-17T22:39:00Z,67.50,36.77
2025-08-17T22:40:00Z,70.00,36.77
2025-08-17T22:41:00Z,74.00,36.77
2025-08-17T22:43:00Z,72.00,30.00
2025-08-17T22:44:00Z,73.00,29.46
2025-08-17T22:45:00Z,75.70,24.38
2025-08-17T22:46:00Z,78.85,24.38
2025-08-17T22:48:00Z,79.00,34.00
2025-08-17T22:49:00Z,80.46,34.00
2025-08-17T22:50:00Z,81.00,34.00
2025-08-17T22:51:00Z,81.00,17.14
2025-08-17T22:52:00Z,87.00,17.14
2025-08-17T22:53:00Z,88.85,11.00
2025-08-17T22:54:00Z,88.85,13.00
2025-08-17T22:56:00Z,90.91,13.00
2025-08-17T22:58:00Z,89.00,13.00
2025-08-17T23:00:00Z,91.12,11.00
2025-08-17T23:01:00Z,92.00,11.00
2025-08-17T23:02:00Z,91.00,11.00
2025-08-17T23:03:00Z,91.00,11.00
2025-08-17T23:04:00Z,92.31,11.00
2025-08-17T23:05:00Z,96.44,7.00
2025-08-17T23:06:00Z,97.00,4.50
2025-08-17T23:07:00Z,97.00,5.00
2025-08-17T23:08:00Z,91.00,7.38
2025-08-17T23:09:00Z,91.00,7.49
2025-08-17T23:10:00Z,96.00,7.00
2025-08-17T23:11:00Z,96.00,7.00
2025-08-17T23:13:00Z,96.00,6.00
2025-08-17T23:14:00Z,96.32,7.00
2025-08-17T23:15:00Z,96.32,10.09
2025-08-17T23:16:00Z,96.32,9.00
2025-08-17T23:17:00Z,94.05,6.00
2025-08-17T23:18:00Z,94.00,6.00
2025-08-17T23:19:00Z,94.00,8.00
2025-08-17T23:20:00Z,90.46,9.92
2025-08-17T23:21:00Z,97.02,10.04
2025-08-17T23:22:00Z,97.21,7.48
2025-08-17T23:23:00Z,97.62,3.33
2025-08-17T23:24:00Z,99.00,2.03
2025-08-17T23:29:00Z,99.00,2.03
2025-08-17T23:30:00Z,99.00,2.90
2025-08-17T23:31:00Z,99.00,3.00
2025-08-17T23:32:00Z,99.00,3.00
2025-08-17T23:33:00Z,99.00,4.40
2025-08-17T23:34:00Z,99.00,6.00
2025-08-17T23:35:00Z,99.00,5.00
2025-08-17T23:36:00Z,99.00,1.00
