# event_ticker=KXATPCHALLENGERMATCH-26MAR10GHIARN
# final_score=6-3 3-6 6-3
# match_winner=Antoine Ghibaudo
# fav_player=Antoine Ghibaudo
# dog_player=Gilles Arnaud Bailly
# kalshi_date=2026-03-10
timestamp,Antoine Ghibaudo,Gilles Arnaud Bailly
2026-03-10T03:21:00Z,52.00,
2026-03-10T03:34:00Z,52.00,
2026-03-10T03:37:00Z,52.08,
2026-03-10T03:58:00Z,53.00,
2026-03-10T04:05:00Z,53.00,50.00
2026-03-10T04:07:00Z,54.00,50.00
2026-03-10T04:17:00Z,54.00,50.00
2026-03-10T04:20:00Z,50.00,50.00
2026-03-10T04:40:00Z,53.00,50.00
2026-03-10T04:49:00Z,53.00,50.00
2026-03-10T05:01:00Z,53.00,50.00
2026-03-10T05:12:00Z,50.00,50.00
2026-03-10T05:31:00Z,53.00,50.00
2026-03-10T05:38:00Z,53.00,50.00
2026-03-10T05:43:00Z,53.74,50.00
2026-03-10T06:02:00Z,53.00,50.00
2026-03-10T06:16:00Z,53.00,50.00
2026-03-10T06:22:00Z,53.00,50.00
2026-03-10T06:23:00Z,53.00,50.00
2026-03-10T06:27:00Z,53.00,50.00
2026-03-10T07:23:00Z,53.00,50.00
2026-03-10T07:57:00Z,53.00,50.00
2026-03-10T08:53:00Z,53.00,50.00
2026-03-10T08:55:00Z,53.00,50.00
2026-03-10T08:57:00Z,53.00,50.00
2026-03-10T09:43:00Z,53.00,50.00
2026-03-10T10:04:00Z,53.00,50.97
2026-03-10T10:07:00Z,52.00,50.97
2026-03-10T10:50:00Z,52.00,51.28
2026-03-10T11:19:00Z,52.00,51.00
2026-03-10T11:21:00Z,52.00,53.00
2026-03-10T11:26:00Z,52.00,52.00
2026-03-10T11:29:00Z,52.00,52.00
2026-03-10T11:39:00Z,51.00,52.00
2026-03-10T11:41:00Z,51.00,52.00
2026-03-10T11:51:00Z,51.00,52.00
2026-03-10T12:03:00Z,51.00,51.00
2026-03-10T12:06:00Z,51.00,51.00
2026-03-10T12:20:00Z,51.00,51.99
2026-03-10T12:22:00Z,51.00,51.92
2026-03-10T12:25:00Z,49.00,51.92
2026-03-10T12:29:00Z,51.00,51.00
2026-03-10T12:30:00Z,51.00,51.78
2026-03-10T12:32:00Z,52.39,51.78
2026-03-10T12:33:00Z,52.39,49.00
2026-03-10T12:42:00Z,52.39,50.00
2026-03-10T12:49:00Z,52.39,50.31
2026-03-10T12:51:00Z,52.39,52.00
2026-03-10T12:52:00Z,52.39,51.61
2026-03-10T12:54:00Z,52.39,52.00
2026-03-10T12:55:00Z,51.00,52.00
2026-03-10T12:59:00Z,50.00,52.00
2026-03-10T13:00:00Z,49.00,52.00
2026-03-10T13:02:00Z,49.84,53.00
2026-03-10T13:03:00Z,49.84,54.00
2026-03-10T13:04:00Z,48.00,54.00
2026-03-10T13:07:00Z,46.67,54.00
2026-03-10T13:10:00Z,46.67,51.00
2026-03-10T13:15:00Z,46.67,54.00
2026-03-10T13:24:00Z,46.67,54.00
2026-03-10T13:27:00Z,46.67,54.00
2026-03-10T13:30:00Z,46.67,54.00
2026-03-10T13:31:00Z,50.00,54.00
2026-03-10T13:38:00Z,50.00,54.00
2026-03-10T13:45:00Z,50.00,54.00
2026-03-10T13:48:00Z,50.00,54.00
2026-03-10T13:49:00Z,50.00,54.00
2026-03-10T13:56:00Z,50.82,54.00
2026-03-10T13:57:00Z,52.00,54.00
2026-03-10T13:58:00Z,51.42,54.00
2026-03-10T13:59:00Z,51.42,51.00
2026-03-10T14:04:00Z,51.42,51.00
2026-03-10T14:08:00Z,51.42,49.00
2026-03-10T14:10:00Z,51.42,51.00
2026-03-10T14:12:00Z,51.65,51.00
2026-03-10T14:13:00Z,51.02,51.00
2026-03-10T14:14:00Z,51.02,51.57
2026-03-10T14:15:00Z,51.00,52.00
2026-03-10T14:16:00Z,51.00,52.00
2026-03-10T14:17:00Z,51.00,52.00
2026-03-10T14:18:00Z,51.00,52.59
2026-03-10T14:19:00Z,51.00,53.00
2026-03-10T14:20:00Z,51.00,53.00
2026-03-10T14:21:00Z,51.00,53.00
2026-03-10T14:22:00Z,50.84,53.00
2026-03-10T14:23:00Z,51.00,52.26
2026-03-10T14:24:00Z,47.00,54.47
