# event_ticker=KXATPCHALLENGERMATCH-26MAY15FARNAV
# final_score=6-2 6-7(7) 7-6(5)
# score_resolution=2-6 7-6 6-7
# match_winner=Emilio Nava
# fav_player=Jaime Faria
# dog_player=Emilio Nava
# kalshi_date=2026-05-15
timestamp,Jaime Faria,Emilio Nava
2026-05-15T00:04:00Z,,47.45
2026-05-15T01:48:00Z,,47.00
2026-05-15T01:52:00Z,,47.00
2026-05-15T02:10:00Z,,47.00
2026-05-15T02:28:00Z,55.00,47.00
2026-05-15T02:31:00Z,55.00,47.00
2026-05-15T02:41:00Z,55.00,47.00
2026-05-15T02:48:00Z,55.00,47.00
2026-05-15T02:54:00Z,55.00,47.00
2026-05-15T03:01:00Z,55.00,47.00
2026-05-15T03:21:00Z,55.00,47.00
2026-05-15T03:23:00Z,55.00,46.00
2026-05-15T03:25:00Z,55.00,46.00
2026-05-15T03:26:00Z,55.00,46.00
2026-05-15T03:42:00Z,55.00,45.00
2026-05-15T03:48:00Z,55.00,45.00
2026-05-15T03:54:00Z,55.00,46.00
2026-05-15T03:57:00Z,55.00,46.00
2026-05-15T04:02:00Z,55.00,46.00
2026-05-15T04:09:00Z,55.00,46.00
2026-05-15T04:20:00Z,55.00,46.00
2026-05-15T04:25:00Z,55.00,46.00
2026-05-15T04:31:00Z,55.00,46.00
2026-05-15T04:34:00Z,55.00,46.00
2026-05-15T04:42:00Z,56.29,46.00
2026-05-15T04:47:00Z,56.29,46.00
2026-05-15T04:56:00Z,56.00,46.00
2026-05-15T05:02:00Z,56.00,46.00
2026-05-15T05:04:00Z,55.00,46.00
2026-05-15T05:05:00Z,56.00,46.00
2026-05-15T05:08:00Z,56.00,46.00
2026-05-15T05:11:00Z,56.00,46.00
2026-05-15T05:16:00Z,56.00,46.00
2026-05-15T05:19:00Z,56.00,46.00
2026-05-15T05:22:00Z,56.00,46.00
2026-05-15T05:23:00Z,56.00,46.00
2026-05-15T05:26:00Z,56.00,46.00
2026-05-15T05:29:00Z,56.00,46.00
2026-05-15T05:31:00Z,56.00,46.00
2026-05-15T05:40:00Z,56.00,46.00
2026-05-15T05:41:00Z,55.83,46.00
2026-05-15T05:42:00Z,56.00,46.00
2026-05-15T05:45:00Z,56.00,46.00
2026-05-15T05:46:00Z,56.00,46.00
2026-05-15T05:52:00Z,56.00,46.00
2026-05-15T06:04:00Z,56.00,46.00
2026-05-15T06:17:00Z,56.00,46.00
