# event_ticker=KXATPCHALLENGERMATCH-26MAR02RINDUR
# final_score=6-3 6-1
# match_winner=Daniel Rincon
# fav_player=Daniel Rincon
# dog_player=Viktor Durasovic
# kalshi_date=2026-03-02
timestamp,Daniel Rincon,Viktor Durasovic
2026-03-02T01:45:00Z,63.00,
2026-03-02T01:48:00Z,63.00,
2026-03-02T02:15:00Z,63.00,
2026-03-02T02:16:00Z,63.00,38.00
2026-03-02T02:41:00Z,63.00,38.00
2026-03-02T03:20:00Z,63.00,38.00
2026-03-02T04:44:00Z,63.00,38.00
2026-03-02T05:13:00Z,63.32,38.00
2026-03-02T05:22:00Z,64.00,38.00
2026-03-02T05:47:00Z,64.42,38.00
2026-03-02T06:32:00Z,64.00,38.00
2026-03-02T08:21:00Z,64.00,38.00
2026-03-02T09:29:00Z,64.00,38.00
2026-03-02T11:25:00Z,63.72,38.00
2026-03-02T11:27:00Z,64.00,38.00
2026-03-02T11:28:00Z,64.00,38.00
2026-03-02T11:30:00Z,64.00,38.00
2026-03-02T11:31:00Z,65.00,38.00
2026-03-02T11:33:00Z,66.00,38.00
2026-03-02T11:34:00Z,66.00,38.00
2026-03-02T11:35:00Z,66.00,26.00
2026-03-02T11:36:00Z,72.00,29.00
2026-03-02T11:37:00Z,70.00,29.00
2026-03-02T11:39:00Z,73.00,35.00
2026-03-02T11:40:00Z,76.36,25.31
2026-03-02T11:41:00Z,78.98,25.31
2026-03-02T11:42:00Z,78.00,25.31
2026-03-02T11:43:00Z,78.00,26.00
2026-03-02T11:44:00Z,80.70,22.00
2026-03-02T11:45:00Z,81.00,22.00
2026-03-02T11:46:00Z,82.26,19.00
2026-03-02T11:47:00Z,83.00,18.00
2026-03-02T11:48:00Z,83.00,15.87
2026-03-02T11:49:00Z,85.00,18.00
2026-03-02T11:51:00Z,87.00,13.90
2026-03-02T11:52:00Z,86.00,14.36
2026-03-02T11:54:00Z,87.43,14.36
2026-03-02T11:55:00Z,88.00,12.00
2026-03-02T11:56:00Z,87.96,12.00
2026-03-02T11:57:00Z,87.00,12.00
2026-03-02T11:58:00Z,88.00,12.00
2026-03-02T11:59:00Z,88.00,14.00
2026-03-02T12:00:00Z,84.51,16.29
2026-03-02T12:01:00Z,84.03,18.00
2026-03-02T12:02:00Z,85.89,18.00
2026-03-02T12:03:00Z,86.00,18.00
2026-03-02T12:04:00Z,85.00,18.00
2026-03-02T12:05:00Z,85.86,16.00
2026-03-02T12:06:00Z,82.53,18.29
2026-03-02T12:07:00Z,82.00,18.53
2026-03-02T12:08:00Z,82.00,18.86
2026-03-02T12:09:00Z,84.00,19.00
2026-03-02T12:10:00Z,83.00,18.00
2026-03-02T12:11:00Z,80.00,20.00
2026-03-02T12:12:00Z,76.00,23.36
2026-03-02T12:13:00Z,72.57,33.14
2026-03-02T12:14:00Z,78.00,20.36
2026-03-02T12:15:00Z,78.93,21.00
2026-03-02T12:16:00Z,81.93,18.00
2026-03-02T12:17:00Z,82.43,18.00
2026-03-02T12:18:00Z,83.00,18.00
2026-03-02T12:19:00Z,83.00,18.00
2026-03-02T12:20:00Z,83.00,18.00
2026-03-02T12:21:00Z,84.41,18.00
2026-03-02T12:22:00Z,88.08,13.00
2026-03-02T12:23:00Z,90.14,9.69
2026-03-02T12:24:00Z,90.00,10.91
2026-03-02T12:25:00Z,92.02,8.28
2026-03-02T12:26:00Z,93.92,5.42
2026-03-02T12:27:00Z,94.94,4.43
2026-03-02T12:28:00Z,96.00,5.10
2026-03-02T12:29:00Z,96.95,3.99
2026-03-02T12:30:00Z,97.00,3.77
2026-03-02T12:31:00Z,95.00,6.52
2026-03-02T12:32:00Z,93.41,8.00
2026-03-02T12:33:00Z,94.00,8.00
2026-03-02T12:34:00Z,94.50,6.00
2026-03-02T12:35:00Z,96.00,5.00
2026-03-02T12:36:00Z,96.00,5.00
2026-03-02T12:37:00Z,95.80,5.00
2026-03-02T12:38:00Z,97.00,5.00
2026-03-02T12:39:00Z,97.00,5.00
2026-03-02T12:40:00Z,97.50,3.72
2026-03-02T12:41:00Z,97.82,3.00
2026-03-02T12:42:00Z,98.28,2.66
2026-03-02T12:43:00Z,97.00,5.00
2026-03-02T12:44:00Z,98.98,1.09
2026-03-02T12:45:00Z,99.00,1.00
2026-03-02T12:46:00Z,99.00,3.00
2026-03-02T12:47:00Z,99.00,1.18
2026-03-02T12:48:00Z,99.00,1.18
2026-03-02T12:50:00Z,99.00,1.00
2026-03-02T12:52:00Z,99.00,1.00
2026-03-02T12:53:00Z,99.00,1.00
2026-03-02T12:56:00Z,99.00,1.00
2026-03-02T13:01:00Z,99.00,1.00
2026-03-02T13:02:00Z,99.00,1.00
