# event_ticker=KXATPCHALLENGERMATCH-26JUN03TSESKA
# final_score=6-7(2) 7-6(7) 7-6(4)
# score_resolution=6-7 7-6 7-6
# match_winner=Timofey Skatov
# fav_player=Timofey Skatov
# dog_player=Chun Hsin Tseng
# kalshi_date=2026-06-03
timestamp,Chun Hsin Tseng,Timofey Skatov
2026-06-03T05:04:00Z,57.00,46.00
2026-06-03T05:22:00Z,56.00,46.00
2026-06-03T06:10:00Z,56.00,46.00
2026-06-03T06:41:00Z,55.00,46.00
2026-06-03T06:45:00Z,56.00,46.00
2026-06-03T07:54:00Z,56.00,46.00
2026-06-03T10:33:00Z,56.00,46.00
2026-06-03T10:36:00Z,56.00,45.00
2026-06-03T11:19:00Z,56.00,45.00
2026-06-03T11:24:00Z,56.00,45.00
2026-06-03T11:40:00Z,56.00,45.00
2026-06-03T11:53:00Z,56.00,44.00
2026-06-03T11:54:00Z,56.00,44.00
2026-06-03T11:55:00Z,56.00,45.00
2026-06-03T12:00:00Z,56.00,45.00
2026-06-03T12:14:00Z,56.00,45.00
2026-06-03T12:23:00Z,56.00,44.00
2026-06-03T12:44:00Z,56.00,44.00
2026-06-03T12:47:00Z,56.00,44.00
2026-06-03T12:56:00Z,56.00,44.00
2026-06-03T13:04:00Z,56.26,44.00
2026-06-03T13:07:00Z,56.26,44.00
2026-06-03T13:09:00Z,57.00,44.00
2026-06-03T13:19:00Z,57.00,44.00
2026-06-03T13:30:00Z,57.00,44.00
2026-06-03T13:43:00Z,57.00,44.00
2026-06-03T13:46:00Z,57.00,44.00
2026-06-03T14:04:00Z,57.00,44.00
2026-06-03T14:10:00Z,57.00,44.00
2026-06-03T14:14:00Z,57.00,44.00
2026-06-03T14:21:00Z,57.00,44.00
2026-06-03T14:22:00Z,57.00,44.00
2026-06-03T14:51:00Z,57.00,44.00
2026-06-03T15:01:00Z,56.00,44.00
2026-06-03T15:02:00Z,56.00,44.00
2026-06-03T15:04:00Z,56.00,44.00
2026-06-03T15:14:00Z,56.00,44.00
2026-06-03T15:15:00Z,57.00,44.00
2026-06-03T15:21:00Z,57.00,44.00
2026-06-03T15:27:00Z,57.00,44.00
2026-06-03T15:31:00Z,57.00,44.00
2026-06-03T15:37:00Z,57.00,44.00
2026-06-03T15:38:00Z,57.00,44.00
2026-06-03T15:39:00Z,57.00,44.00
2026-06-03T15:44:00Z,57.00,44.00
2026-06-03T15:51:00Z,57.00,44.00
2026-06-03T15:59:00Z,57.00,44.00
2026-06-03T16:01:00Z,57.00,44.00
2026-06-03T16:02:00Z,57.00,44.00
2026-06-03T16:03:00Z,57.00,44.00
2026-06-03T16:05:00Z,57.00,44.00
2026-06-03T16:08:00Z,57.00,45.00
2026-06-03T16:10:00Z,57.00,45.00
2026-06-03T16:18:00Z,57.00,45.00
2026-06-03T16:19:00Z,57.00,45.00
2026-06-03T16:22:00Z,57.00,45.00
2026-06-03T16:33:00Z,55.00,45.00
2026-06-03T16:40:00Z,55.00,45.00
2026-06-03T16:44:00Z,57.00,45.00
2026-06-03T16:45:00Z,57.00,45.00
2026-06-03T16:47:00Z,54.65,45.31
2026-06-03T16:48:00Z,47.56,51.64
