# event_ticker=KXATPMATCH-25JUL15MEJBAS
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Nishesh Basavareddy
# fav_player=Nicolas Mejia
# dog_player=Nishesh Basavareddy
# kalshi_date=2025-07-15
timestamp,Nicolas Mejia,Nishesh Basavareddy
2025-07-15T17:02:00Z,28.00,73.00
2025-07-15T18:29:00Z,28.00,73.00
2025-07-15T19:21:00Z,28.00,73.00
2025-07-15T19:36:00Z,29.00,73.00
2025-07-15T20:29:00Z,29.00,72.00
2025-07-15T20:39:00Z,29.00,72.00
2025-07-15T22:05:00Z,28.00,72.00
2025-07-15T22:30:00Z,28.00,72.00
2025-07-15T22:36:00Z,28.00,72.00
2025-07-15T22:37:00Z,28.00,72.00
2025-07-15T23:19:00Z,28.00,72.00
2025-07-15T23:20:00Z,28.00,72.00
2025-07-15T23:51:00Z,28.00,72.00
2025-07-16T00:57:00Z,28.00,72.00
2025-07-16T01:51:00Z,28.00,72.00
2025-07-16T02:14:00Z,28.00,72.00
2025-07-16T02:17:00Z,28.00,72.00
2025-07-16T02:20:00Z,28.00,72.00
2025-07-16T02:36:00Z,28.00,74.00
2025-07-16T02:45:00Z,27.00,74.00
2025-07-16T02:50:00Z,27.00,76.02
2025-07-16T02:52:00Z,28.00,76.02
2025-07-16T02:53:00Z,28.00,74.00
2025-07-16T02:54:00Z,27.00,74.00
2025-07-16T02:55:00Z,28.85,74.00
2025-07-16T02:56:00Z,30.13,70.01
2025-07-16T02:57:00Z,29.97,70.01
2025-07-16T02:58:00Z,31.80,70.01
2025-07-16T02:59:00Z,31.80,59.37
2025-07-16T03:00:00Z,32.52,59.37
2025-07-16T03:01:00Z,32.52,74.06
2025-07-16T03:02:00Z,37.85,74.06
2025-07-16T03:03:00Z,34.11,66.07
2025-07-16T03:04:00Z,31.91,70.00
2025-07-16T03:06:00Z,29.00,70.00
2025-07-16T03:07:00Z,33.00,70.00
2025-07-16T03:08:00Z,37.96,70.00
2025-07-16T03:09:00Z,35.00,70.00
2025-07-16T03:10:00Z,34.86,70.00
2025-07-16T03:11:00Z,32.88,70.00
2025-07-16T03:12:00Z,36.00,70.00
2025-07-16T03:13:00Z,32.72,70.00
2025-07-16T03:14:00Z,32.79,68.00
2025-07-16T03:15:00Z,33.36,68.00
2025-07-16T03:16:00Z,31.27,68.00
2025-07-16T03:17:00Z,40.00,68.00
2025-07-16T03:18:00Z,41.20,68.00
2025-07-16T03:20:00Z,28.00,68.00
2025-07-16T03:21:00Z,28.00,72.00
2025-07-16T03:23:00Z,33.92,72.00
2025-07-16T03:24:00Z,33.92,68.00
2025-07-16T03:25:00Z,33.00,68.00
2025-07-16T03:28:00Z,34.00,68.00
2025-07-16T03:29:00Z,29.26,68.00
2025-07-16T03:30:00Z,31.00,68.00
2025-07-16T03:32:00Z,25.42,71.00
2025-07-16T03:33:00Z,21.11,77.00
2025-07-16T03:34:00Z,23.00,77.00
2025-07-16T03:35:00Z,25.27,75.92
2025-07-16T03:36:00Z,16.92,84.35
2025-07-16T03:37:00Z,15.00,87.98
2025-07-16T03:38:00Z,13.00,88.00
2025-07-16T03:39:00Z,10.74,88.00
2025-07-16T03:41:00Z,10.67,89.55
2025-07-16T03:44:00Z,10.67,94.96
2025-07-16T03:45:00Z,3.00,94.96
2025-07-16T03:46:00Z,3.00,96.00
2025-07-16T03:47:00Z,6.00,96.00
2025-07-16T03:48:00Z,6.00,95.00
2025-07-16T03:49:00Z,5.00,95.00
2025-07-16T03:51:00Z,6.00,96.00
2025-07-16T03:52:00Z,6.00,98.00
2025-07-16T03:53:00Z,4.00,96.00
2025-07-16T03:54:00Z,2.00,96.00
2025-07-16T03:55:00Z,2.19,98.00
2025-07-16T03:57:00Z,3.87,98.00
2025-07-16T04:00:00Z,3.00,99.00
2025-07-16T04:01:00Z,3.00,99.00
2025-07-16T04:02:00Z,2.00,99.00
2025-07-16T04:05:00Z,2.00,95.91
2025-07-16T04:06:00Z,3.18,83.54
2025-07-16T04:07:00Z,3.18,97.00
2025-07-16T04:08:00Z,3.18,99.00
2025-07-16T04:09:00Z,1.11,97.68
2025-07-16T04:10:00Z,1.00,99.00
2025-07-16T04:11:00Z,1.00,98.99
2025-07-16T04:12:00Z,3.33,98.00
2025-07-16T04:13:00Z,1.00,98.00
2025-07-16T04:14:00Z,1.00,98.00
