# event_ticker=KXATPCHALLENGERMATCH-26MAR10PERROM
# final_score=6-3 4-6 6-3
# match_winner=Filippo Romano
# fav_player=Filippo Romano
# dog_player=Raphael Perot
# kalshi_date=2026-03-10
timestamp,Filippo Romano,Raphael Perot
2026-03-10T06:23:00Z,38.00,64.00
2026-03-10T06:39:00Z,43.00,64.00
2026-03-10T06:43:00Z,43.00,64.00
2026-03-10T06:44:00Z,43.00,64.00
2026-03-10T06:48:00Z,44.00,58.00
2026-03-10T06:59:00Z,46.00,58.00
2026-03-10T07:17:00Z,48.00,58.00
2026-03-10T07:21:00Z,38.00,67.00
2026-03-10T08:59:00Z,38.00,64.00
2026-03-10T09:44:00Z,38.00,59.00
2026-03-10T12:12:00Z,34.71,68.93
2026-03-10T12:13:00Z,38.00,68.93
2026-03-10T12:21:00Z,38.00,65.00
2026-03-10T12:34:00Z,38.00,65.00
2026-03-10T13:26:00Z,36.00,65.00
2026-03-10T13:45:00Z,36.00,64.00
2026-03-10T13:48:00Z,36.00,64.00
2026-03-10T14:03:00Z,36.00,64.00
2026-03-10T14:18:00Z,38.00,64.00
2026-03-10T14:24:00Z,38.00,64.00
2026-03-10T14:27:00Z,38.00,64.00
2026-03-10T14:33:00Z,38.00,63.00
2026-03-10T14:36:00Z,38.00,63.00
2026-03-10T14:37:00Z,38.00,63.00
2026-03-10T14:38:00Z,38.00,63.00
2026-03-10T14:46:00Z,38.00,64.00
2026-03-10T14:50:00Z,37.90,64.00
2026-03-10T15:13:00Z,37.90,63.00
2026-03-10T15:19:00Z,37.00,63.00
2026-03-10T15:25:00Z,37.00,64.00
2026-03-10T15:26:00Z,37.00,64.00
2026-03-10T15:33:00Z,39.50,63.00
2026-03-10T15:37:00Z,42.00,60.00
2026-03-10T15:47:00Z,42.00,60.00
2026-03-10T15:48:00Z,34.35,70.14
2026-03-10T15:50:00Z,34.35,67.00
2026-03-10T15:51:00Z,39.00,64.00
2026-03-10T15:53:00Z,39.00,66.52
2026-03-10T15:56:00Z,35.00,67.00
2026-03-10T15:58:00Z,39.00,67.00
2026-03-10T15:59:00Z,39.00,67.00
2026-03-10T16:01:00Z,39.59,67.00
2026-03-10T16:03:00Z,39.59,62.00
2026-03-10T16:05:00Z,40.00,62.00
2026-03-10T16:06:00Z,40.00,59.49
2026-03-10T16:07:00Z,40.00,62.00
2026-03-10T16:14:00Z,40.00,62.00
2026-03-10T16:16:00Z,40.00,62.00
2026-03-10T16:17:00Z,40.96,62.00
2026-03-10T16:18:00Z,38.40,62.00
2026-03-10T16:20:00Z,40.99,62.00
2026-03-10T16:21:00Z,40.00,62.00
2026-03-10T16:23:00Z,41.00,62.00
2026-03-10T16:24:00Z,41.00,62.00
2026-03-10T16:28:00Z,36.67,66.82
2026-03-10T16:29:00Z,36.67,63.00
2026-03-10T16:30:00Z,36.67,64.00
2026-03-10T16:32:00Z,38.00,64.00
2026-03-10T16:36:00Z,38.67,64.00
2026-03-10T16:39:00Z,43.99,58.00
2026-03-10T16:40:00Z,45.00,58.88
2026-03-10T16:41:00Z,42.00,59.14
2026-03-10T16:42:00Z,43.00,60.52
2026-03-10T16:43:00Z,39.00,62.90
2026-03-10T16:44:00Z,41.21,58.03
2026-03-10T16:45:00Z,40.00,61.27
2026-03-10T16:46:00Z,40.00,60.00
2026-03-10T16:47:00Z,39.85,63.00
2026-03-10T16:48:00Z,38.63,60.42
2026-03-10T16:49:00Z,44.00,58.00
2026-03-10T16:50:00Z,40.36,59.77
2026-03-10T16:51:00Z,40.78,59.77
2026-03-10T16:52:00Z,40.78,62.00
2026-03-10T16:53:00Z,42.96,60.49
2026-03-10T16:54:00Z,45.88,57.97
2026-03-10T16:55:00Z,45.24,55.75
2026-03-10T16:56:00Z,54.97,48.00
2026-03-10T16:57:00Z,53.67,46.95
2026-03-10T16:58:00Z,59.68,44.92
2026-03-10T16:59:00Z,63.52,36.00
2026-03-10T17:00:00Z,70.24,32.33
2026-03-10T17:01:00Z,68.19,33.36
