# event_ticker=KXATPCHALLENGERMATCH-26MAR24DODLAN
# final_score=3-6 7-5 6-2
# score_resolution=6-3 5-7 2-6
# match_winner=Matej Dodig
# fav_player=Christian Langmo
# dog_player=Matej Dodig
# kalshi_date=2026-03-24
timestamp,Christian Langmo,Matej Dodig
2026-03-24T00:31:00Z,,84.00
2026-03-24T01:26:00Z,,84.00
2026-03-24T01:41:00Z,,83.00
2026-03-24T02:48:00Z,,84.00
2026-03-24T03:14:00Z,,84.00
2026-03-24T03:52:00Z,17.00,84.00
2026-03-24T04:03:00Z,17.00,84.00
2026-03-24T04:36:00Z,18.00,84.00
2026-03-24T04:56:00Z,18.00,84.00
2026-03-24T04:57:00Z,18.00,84.00
2026-03-24T04:59:00Z,18.00,84.00
2026-03-24T05:11:00Z,16.00,84.00
2026-03-24T05:37:00Z,16.00,82.00
2026-03-24T06:12:00Z,16.00,83.00
2026-03-24T06:17:00Z,18.00,83.00
2026-03-24T06:54:00Z,18.00,83.00
2026-03-24T07:07:00Z,18.00,83.00
2026-03-24T08:21:00Z,18.00,83.00
2026-03-24T09:48:00Z,17.00,83.00
2026-03-24T10:01:00Z,17.00,85.00
2026-03-24T10:15:00Z,17.00,85.00
2026-03-24T10:44:00Z,16.00,85.00
2026-03-24T10:58:00Z,17.00,85.00
2026-03-24T11:16:00Z,16.00,85.99
2026-03-24T11:17:00Z,16.00,85.99
2026-03-24T11:19:00Z,16.00,85.99
2026-03-24T11:20:00Z,16.00,85.99
2026-03-24T11:21:00Z,17.00,85.99
2026-03-24T11:22:00Z,17.76,84.03
2026-03-24T11:23:00Z,18.00,82.15
2026-03-24T11:25:00Z,19.38,82.15
2026-03-24T11:27:00Z,16.00,82.15
2026-03-24T11:30:00Z,20.80,82.15
2026-03-24T11:31:00Z,20.80,82.00
2026-03-24T11:32:00Z,27.72,74.17
2026-03-24T11:33:00Z,26.00,73.00
2026-03-24T11:34:00Z,24.00,76.85
2026-03-24T11:35:00Z,20.24,76.85
2026-03-24T11:36:00Z,19.00,76.85
2026-03-24T11:37:00Z,23.00,76.85
2026-03-24T11:38:00Z,23.23,78.60
2026-03-24T11:39:00Z,21.04,79.00
2026-03-24T11:40:00Z,23.11,78.00
2026-03-24T11:41:00Z,25.00,78.00
2026-03-24T11:42:00Z,25.00,79.00
2026-03-24T11:43:00Z,20.07,80.00
2026-03-24T11:44:00Z,23.96,77.00
2026-03-24T11:45:00Z,23.00,78.80
2026-03-24T11:46:00Z,24.16,78.80
2026-03-24T11:47:00Z,21.40,80.00
2026-03-24T11:48:00Z,21.40,80.14
2026-03-24T11:49:00Z,19.73,80.18
2026-03-24T11:50:00Z,19.73,82.00
2026-03-24T11:51:00Z,21.16,78.00
2026-03-24T11:52:00Z,23.06,78.00
2026-03-24T11:53:00Z,21.00,81.00
2026-03-24T11:54:00Z,22.08,80.00
2026-03-24T11:55:00Z,27.84,71.00
2026-03-24T11:56:00Z,30.79,69.71
2026-03-24T11:57:00Z,38.19,59.85
2026-03-24T11:58:00Z,48.00,53.33
2026-03-24T11:59:00Z,52.92,49.20
2026-03-24T12:00:00Z,51.62,47.19
2026-03-24T12:01:00Z,51.87,49.00
2026-03-24T12:02:00Z,50.79,49.00
2026-03-24T12:03:00Z,50.21,50.00
2026-03-24T12:04:00Z,50.45,50.34
2026-03-24T12:05:00Z,50.34,50.12
2026-03-24T12:06:00Z,48.48,54.36
2026-03-24T12:07:00Z,45.50,54.74
2026-03-24T12:08:00Z,43.74,58.55
2026-03-24T12:09:00Z,45.32,61.28
2026-03-24T12:10:00Z,44.51,58.71
2026-03-24T12:11:00Z,43.18,64.51
2026-03-24T12:12:00Z,36.65,68.26
2026-03-24T12:13:00Z,40.84,69.17
2026-03-24T12:14:00Z,41.08,61.29
2026-03-24T12:15:00Z,46.70,54.91
