# event_ticker=KXATPCHALLENGERMATCH-26MAR17TOBFIC
# final_score=6-2 2-6 7-6(5)
# score_resolution=2-6 6-2 6-7
# match_winner=Miguel Tobon
# fav_player=Juan Pablo Ficovich
# dog_player=Miguel Tobon
# kalshi_date=2026-03-17
timestamp,Juan Pablo Ficovich,Miguel Tobon
2026-03-17T06:35:00Z,66.00,
2026-03-17T07:38:00Z,63.00,
2026-03-17T07:59:00Z,64.00,
2026-03-17T13:21:00Z,65.00,
2026-03-17T15:24:00Z,66.22,
2026-03-17T15:25:00Z,66.22,37.00
2026-03-17T17:08:00Z,66.22,34.00
2026-03-17T17:09:00Z,66.00,36.00
2026-03-17T17:29:00Z,66.00,36.00
2026-03-17T17:31:00Z,67.00,36.00
2026-03-17T17:32:00Z,67.00,36.00
2026-03-17T17:35:00Z,67.00,36.00
2026-03-17T17:36:00Z,66.00,34.00
2026-03-17T17:37:00Z,65.00,36.06
2026-03-17T17:38:00Z,59.00,41.00
2026-03-17T17:39:00Z,60.00,41.00
2026-03-17T17:40:00Z,64.96,41.00
2026-03-17T17:41:00Z,68.00,32.00
2026-03-17T17:42:00Z,68.00,34.11
2026-03-17T17:43:00Z,63.00,39.14
2026-03-17T17:44:00Z,59.51,40.00
2026-03-17T17:45:00Z,58.91,41.08
2026-03-17T17:46:00Z,54.18,46.27
2026-03-17T17:47:00Z,60.17,42.03
2026-03-17T17:48:00Z,62.06,39.83
2026-03-17T17:49:00Z,64.80,40.37
2026-03-17T17:50:00Z,70.27,30.55
2026-03-17T17:51:00Z,70.61,32.35
2026-03-17T17:52:00Z,67.27,36.66
2026-03-17T17:53:00Z,59.79,41.00
2026-03-17T17:54:00Z,58.12,43.00
2026-03-17T17:55:00Z,56.37,44.11
2026-03-17T17:56:00Z,49.48,50.92
2026-03-17T17:57:00Z,44.62,56.48
2026-03-17T17:58:00Z,37.02,61.99
2026-03-17T17:59:00Z,35.25,66.25
2026-03-17T18:00:00Z,34.13,66.08
2026-03-17T18:01:00Z,34.94,64.43
2026-03-17T18:02:00Z,34.00,66.94
2026-03-17T18:03:00Z,31.44,68.00
2026-03-17T18:04:00Z,31.98,69.93
2026-03-17T18:05:00Z,31.37,71.30
2026-03-17T18:06:00Z,29.53,71.15
2026-03-17T18:07:00Z,27.58,74.49
2026-03-17T18:08:00Z,26.00,74.91
2026-03-17T18:09:00Z,26.65,74.51
2026-03-17T18:10:00Z,31.30,73.80
2026-03-17T18:11:00Z,25.41,76.75
2026-03-17T18:12:00Z,22.89,77.24
2026-03-17T18:13:00Z,23.29,77.52
2026-03-17T18:14:00Z,24.94,78.00
2026-03-17T18:15:00Z,24.05,76.15
