# event_ticker=KXATPCHALLENGERMATCH-26MAR31MANTOB
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Miguel Tobon
# fav_player=Nicolas Moreno de Alboran
# dog_player=Miguel Tobon
# kalshi_date=2026-03-31
timestamp,Nicolas Moreno de Alboran,Miguel Tobon
2026-03-31T09:10:00Z,,26.00
2026-03-31T11:08:00Z,75.00,26.00
2026-03-31T13:54:00Z,75.00,26.00
2026-03-31T16:14:00Z,75.00,26.00
2026-03-31T16:15:00Z,75.00,24.00
2026-03-31T17:23:00Z,75.00,24.00
2026-03-31T18:28:00Z,75.00,24.00
2026-03-31T18:37:00Z,75.00,27.00
2026-03-31T19:04:00Z,75.00,27.00
2026-03-31T19:17:00Z,75.00,27.00
2026-03-31T19:18:00Z,75.00,27.00
2026-03-31T19:23:00Z,75.00,24.00
2026-03-31T19:31:00Z,75.00,27.00
2026-03-31T20:06:00Z,75.00,27.00
2026-03-31T20:09:00Z,75.00,27.00
2026-03-31T20:13:00Z,75.00,27.00
2026-03-31T20:14:00Z,75.00,27.00
2026-03-31T20:16:00Z,75.81,27.00
2026-03-31T20:36:00Z,75.00,27.00
2026-03-31T20:40:00Z,75.00,27.00
2026-03-31T20:41:00Z,75.00,27.00
2026-03-31T20:44:00Z,75.00,27.00
2026-03-31T20:45:00Z,75.00,27.00
2026-03-31T20:47:00Z,75.00,26.72
2026-03-31T20:48:00Z,72.63,26.98
2026-03-31T20:49:00Z,72.63,27.84
2026-03-31T20:50:00Z,72.63,28.00
2026-03-31T20:51:00Z,72.63,32.00
2026-03-31T20:52:00Z,71.00,32.00
2026-03-31T20:53:00Z,72.00,32.00
2026-03-31T20:54:00Z,66.27,36.67
2026-03-31T20:55:00Z,52.08,50.49
2026-03-31T20:56:00Z,48.98,51.38
2026-03-31T20:57:00Z,48.98,49.11
2026-03-31T20:58:00Z,48.98,51.00
2026-03-31T20:59:00Z,49.00,48.53
2026-03-31T21:00:00Z,52.22,50.20
2026-03-31T21:01:00Z,50.15,50.84
2026-03-31T21:02:00Z,48.00,52.95
2026-03-31T21:03:00Z,47.08,56.00
2026-03-31T21:04:00Z,52.79,48.82
2026-03-31T21:05:00Z,51.52,47.47
2026-03-31T21:06:00Z,48.17,49.72
2026-03-31T21:07:00Z,47.89,53.00
2026-03-31T21:08:00Z,46.00,53.36
2026-03-31T21:09:00Z,48.38,51.65
2026-03-31T21:10:00Z,44.27,56.89
2026-03-31T21:11:00Z,41.68,59.25
2026-03-31T21:12:00Z,39.38,64.87
2026-03-31T21:13:00Z,33.62,66.68
2026-03-31T21:14:00Z,32.99,67.83
2026-03-31T21:15:00Z,33.00,67.09
2026-03-31T21:16:00Z,34.00,68.00
2026-03-31T21:17:00Z,34.00,66.36
2026-03-31T21:18:00Z,28.56,68.81
2026-03-31T21:19:00Z,23.03,76.60
2026-03-31T21:20:00Z,24.97,73.51
2026-03-31T21:21:00Z,37.85,64.83
2026-03-31T21:22:00Z,39.08,62.95
2026-03-31T21:23:00Z,39.83,60.85
2026-03-31T21:24:00Z,30.28,67.30
2026-03-31T21:25:00Z,26.59,75.31
2026-03-31T21:26:00Z,29.66,75.37
2026-03-31T21:27:00Z,20.04,82.44
2026-03-31T21:28:00Z,16.09,85.20
2026-03-31T21:29:00Z,18.19,83.03
2026-03-31T21:30:00Z,24.04,75.60
2026-03-31T21:31:00Z,16.49,82.66
2026-03-31T21:32:00Z,11.18,89.29
2026-03-31T21:33:00Z,11.83,88.57
2026-03-31T21:34:00Z,9.75,96.15
2026-03-31T21:35:00Z,4.01,96.46
2026-03-31T21:36:00Z,2.99,97.98
2026-03-31T21:37:00Z,2.75,97.96
2026-03-31T21:38:00Z,2.77,96.38
2026-03-31T21:39:00Z,1.58,99.00
2026-03-31T21:40:00Z,1.33,98.52
2026-03-31T21:41:00Z,1.95,99.00
2026-03-31T21:42:00Z,1.10,99.00
2026-03-31T21:43:00Z,1.00,99.00
2026-03-31T21:44:00Z,1.00,99.00
2026-03-31T21:45:00Z,1.00,99.00
2026-03-31T21:46:00Z,1.00,99.00
