# event_ticker=KXATPCHALLENGERMATCH-26APR29POTKOV
# final_score=6-3 7-6(6)
# score_resolution=6-3 7-6
# match_winner=Aleksandar Kovacevic
# fav_player=Aleksandar Kovacevic
# dog_player=Luca Potenza
# kalshi_date=2026-04-29
timestamp,Luca Potenza,Aleksandar Kovacevic
2026-04-28T22:44:00Z,,84.00
2026-04-28T22:57:00Z,18.00,84.00
2026-04-28T23:15:00Z,18.00,84.00
2026-04-28T23:38:00Z,18.00,83.00
2026-04-29T01:48:00Z,18.00,83.00
2026-04-29T01:52:00Z,18.00,83.00
2026-04-29T02:49:00Z,18.00,83.00
2026-04-29T03:12:00Z,18.00,83.00
2026-04-29T03:20:00Z,18.00,83.00
2026-04-29T03:41:00Z,18.00,83.00
2026-04-29T04:57:00Z,18.00,83.00
2026-04-29T05:02:00Z,17.00,83.00
2026-04-29T05:12:00Z,17.00,83.00
2026-04-29T05:33:00Z,17.00,83.00
2026-04-29T05:50:00Z,17.00,83.00
2026-04-29T06:05:00Z,18.00,83.00
2026-04-29T06:26:00Z,18.00,83.00
2026-04-29T07:15:00Z,18.00,83.00
2026-04-29T07:34:00Z,18.00,83.00
2026-04-29T07:39:00Z,18.00,83.00
2026-04-29T07:40:00Z,18.00,83.00
2026-04-29T08:01:00Z,18.00,82.00
2026-04-29T08:15:00Z,18.00,82.00
2026-04-29T08:22:00Z,19.00,82.00
2026-04-29T08:31:00Z,19.00,82.00
2026-04-29T09:03:00Z,19.00,83.00
2026-04-29T09:04:00Z,19.00,83.00
2026-04-29T09:07:00Z,19.00,83.00
2026-04-29T09:08:00Z,17.15,83.00
2026-04-29T09:09:00Z,17.62,83.00
2026-04-29T09:10:00Z,17.62,84.39
2026-04-29T09:11:00Z,16.00,84.39
2026-04-29T09:14:00Z,16.00,84.39
2026-04-29T09:16:00Z,12.00,90.00
2026-04-29T09:17:00Z,9.00,91.25
2026-04-29T09:18:00Z,9.00,91.25
2026-04-29T09:19:00Z,9.01,92.00
2026-04-29T09:20:00Z,10.00,92.00
2026-04-29T09:22:00Z,10.00,91.00
2026-04-29T09:26:00Z,11.17,91.00
2026-04-29T09:27:00Z,14.38,84.00
2026-04-29T09:28:00Z,20.96,84.00
2026-04-29T09:29:00Z,21.00,79.00
2026-04-29T09:30:00Z,18.50,81.00
2026-04-29T09:31:00Z,14.57,87.31
2026-04-29T09:32:00Z,13.00,88.00
2026-04-29T09:33:00Z,12.00,88.00
2026-04-29T09:34:00Z,10.00,89.00
2026-04-29T09:35:00Z,9.78,89.00
2026-04-29T09:38:00Z,9.00,92.00
2026-04-29T09:39:00Z,10.00,91.00
2026-04-29T09:40:00Z,10.00,91.00
