# event_ticker=KXATPCHALLENGERMATCH-26JUN02GALREH
# final_score=6-3 7-5
# score_resolution=3-6 5-7
# match_winner=Max Hans Rehberg
# fav_player=Daniel Elahi Galan
# dog_player=Max Hans Rehberg
# kalshi_date=2026-06-02
timestamp,Daniel Elahi Galan,Max Hans Rehberg
2026-06-02T04:31:00Z,55.00,
2026-06-02T06:00:00Z,54.00,
2026-06-02T06:24:00Z,55.00,
2026-06-02T06:32:00Z,55.00,45.00
2026-06-02T06:52:00Z,55.00,45.00
2026-06-02T07:02:00Z,55.00,45.00
2026-06-02T07:30:00Z,55.00,45.00
2026-06-02T07:31:00Z,55.00,45.00
2026-06-02T08:06:00Z,55.00,45.00
2026-06-02T09:02:00Z,55.00,45.00
2026-06-02T10:55:00Z,55.00,45.00
2026-06-02T11:39:00Z,55.00,45.00
2026-06-02T12:11:00Z,58.96,45.00
2026-06-02T12:25:00Z,56.00,45.00
2026-06-02T12:26:00Z,57.00,45.00
2026-06-02T12:37:00Z,57.00,45.00
2026-06-02T12:38:00Z,57.00,45.00
2026-06-02T12:40:00Z,57.00,45.00
2026-06-02T12:42:00Z,53.00,45.00
2026-06-02T12:44:00Z,48.00,52.00
2026-06-02T12:45:00Z,49.15,51.20
2026-06-02T12:46:00Z,49.15,57.67
2026-06-02T12:47:00Z,41.21,62.21
2026-06-02T12:48:00Z,36.00,65.05
2026-06-02T12:49:00Z,37.00,66.00
2026-06-02T12:50:00Z,33.59,68.00
2026-06-02T12:51:00Z,32.53,68.38
2026-06-02T12:52:00Z,33.00,68.38
2026-06-02T12:53:00Z,33.00,67.86
2026-06-02T12:54:00Z,35.01,66.00
2026-06-02T12:55:00Z,35.01,68.00
2026-06-02T12:56:00Z,37.00,61.49
2026-06-02T12:57:00Z,40.59,61.49
2026-06-02T12:58:00Z,39.85,59.98
2026-06-02T12:59:00Z,35.85,64.00
2026-06-02T13:00:00Z,38.97,64.00
2026-06-02T13:01:00Z,41.42,59.07
2026-06-02T13:02:00Z,36.07,64.88
2026-06-02T13:03:00Z,36.07,66.00
2026-06-02T13:04:00Z,36.07,67.00
2026-06-02T13:05:00Z,34.00,67.00
2026-06-02T13:06:00Z,34.00,65.00
2026-06-02T13:07:00Z,35.00,65.00
2026-06-02T13:08:00Z,37.00,65.00
2026-06-02T13:09:00Z,39.34,59.67
2026-06-02T13:10:00Z,44.09,55.33
2026-06-02T13:11:00Z,40.39,59.09
2026-06-02T13:12:00Z,35.13,65.52
2026-06-02T13:13:00Z,35.13,67.68
2026-06-02T13:14:00Z,32.00,67.68
2026-06-02T13:15:00Z,33.00,67.68
2026-06-02T13:16:00Z,33.98,67.00
2026-06-02T13:17:00Z,33.00,67.02
2026-06-02T13:18:00Z,34.39,65.76
2026-06-02T13:19:00Z,30.48,71.00
2026-06-02T13:20:00Z,30.00,71.00
2026-06-02T13:21:00Z,30.00,71.00
2026-06-02T13:22:00Z,29.50,70.75
2026-06-02T13:23:00Z,29.36,71.00
2026-06-02T13:24:00Z,29.98,72.55
2026-06-02T13:25:00Z,32.00,70.82
2026-06-02T13:26:00Z,34.99,65.19
2026-06-02T13:27:00Z,31.37,68.00
2026-06-02T13:28:00Z,30.00,70.08
2026-06-02T13:29:00Z,29.33,70.40
2026-06-02T13:30:00Z,25.15,73.87
2026-06-02T13:31:00Z,25.34,75.39
2026-06-02T13:32:00Z,24.09,77.06
2026-06-02T13:33:00Z,28.38,73.00
2026-06-02T13:34:00Z,32.00,68.00
2026-06-02T13:35:00Z,33.16,68.00
2026-06-02T13:36:00Z,38.70,64.36
2026-06-02T13:37:00Z,35.85,66.00
2026-06-02T13:38:00Z,29.87,73.94
2026-06-02T13:39:00Z,28.84,72.00
2026-06-02T13:40:00Z,32.00,70.92
2026-06-02T13:41:00Z,32.91,67.01
2026-06-02T13:43:00Z,33.01,67.00
2026-06-02T13:44:00Z,33.72,67.94
2026-06-02T13:45:00Z,33.50,66.00
2026-06-02T13:46:00Z,39.07,61.50
2026-06-02T13:47:00Z,38.98,61.30
2026-06-02T13:48:00Z,34.65,68.86
2026-06-02T13:49:00Z,33.00,68.85
2026-06-02T13:50:00Z,35.00,65.14
2026-06-02T13:51:00Z,35.00,65.97
2026-06-02T13:52:00Z,31.79,69.00
2026-06-02T13:53:00Z,21.77,76.71
2026-06-02T13:54:00Z,11.47,88.09
2026-06-02T13:55:00Z,9.81,91.00
2026-06-02T13:56:00Z,6.19,93.63
2026-06-02T13:57:00Z,7.30,94.99
2026-06-02T13:58:00Z,4.41,95.60
2026-06-02T13:59:00Z,4.38,97.33
2026-06-02T14:00:00Z,3.00,96.00
2026-06-02T14:01:00Z,4.84,95.00
2026-06-02T14:02:00Z,6.00,95.00
2026-06-02T14:03:00Z,4.00,95.00
2026-06-02T14:04:00Z,6.55,94.25
2026-06-02T14:05:00Z,8.42,94.73
2026-06-02T14:06:00Z,8.45,92.29
2026-06-02T14:07:00Z,5.93,96.62
2026-06-02T14:08:00Z,11.92,88.52
2026-06-02T14:09:00Z,18.93,83.44
2026-06-02T14:10:00Z,23.21,79.15
2026-06-02T14:11:00Z,10.19,90.64
2026-06-02T14:12:00Z,6.00,94.98
2026-06-02T14:13:00Z,3.55,97.50
2026-06-02T14:14:00Z,1.10,99.00
2026-06-02T14:15:00Z,1.02,99.00
2026-06-02T14:16:00Z,1.02,99.00
2026-06-02T14:19:00Z,1.02,99.00
2026-06-02T14:20:00Z,1.02,99.00
2026-06-02T14:22:00Z,1.02,99.00
