# event_ticker=KXATPCHALLENGERMATCH-26FEB24CASNES
# final_score=7-6(3) 4-6 6-4
# score_resolution=6-7 6-4 4-6
# match_winner=Petr Nesterov
# fav_player=Murphy Cassone
# dog_player=Pyotr Nesterov
# kalshi_date=2026-02-24
timestamp,Murphy Cassone,Pyotr Nesterov
2026-02-23T21:19:00Z,78.00,
2026-02-23T21:25:00Z,78.00,
2026-02-23T23:14:00Z,73.00,
2026-02-24T02:52:00Z,73.00,27.35
2026-02-24T03:11:00Z,73.00,28.00
2026-02-24T03:14:00Z,76.00,28.00
2026-02-24T03:20:00Z,76.00,28.00
2026-02-24T03:54:00Z,74.63,28.00
2026-02-24T03:55:00Z,75.88,28.00
2026-02-24T04:12:00Z,75.00,28.00
2026-02-24T04:25:00Z,75.19,24.93
2026-02-24T04:26:00Z,75.00,24.93
2026-02-24T04:27:00Z,75.00,24.93
2026-02-24T04:28:00Z,75.99,24.88
2026-02-24T04:29:00Z,76.23,23.78
2026-02-24T04:30:00Z,76.00,23.78
2026-02-24T04:53:00Z,77.00,26.00
2026-02-24T04:55:00Z,77.00,26.00
2026-02-24T05:22:00Z,77.00,26.00
2026-02-24T05:29:00Z,77.00,26.00
2026-02-24T05:31:00Z,76.51,26.00
2026-02-24T05:38:00Z,76.51,26.00
2026-02-24T05:51:00Z,76.51,26.00
2026-02-24T06:02:00Z,76.00,26.00
2026-02-24T06:12:00Z,76.00,26.00
2026-02-24T06:14:00Z,76.00,24.00
2026-02-24T06:17:00Z,76.00,24.00
2026-02-24T06:18:00Z,76.00,24.00
2026-02-24T06:19:00Z,76.00,24.00
2026-02-24T07:22:00Z,76.00,24.00
2026-02-24T07:24:00Z,76.00,26.00
2026-02-24T07:29:00Z,76.00,26.00
2026-02-24T08:11:00Z,76.00,26.00
2026-02-24T08:15:00Z,76.00,26.00
2026-02-24T08:20:00Z,76.00,26.00
2026-02-24T08:23:00Z,76.00,26.00
2026-02-24T08:54:00Z,76.00,25.00
2026-02-24T08:58:00Z,76.00,26.00
2026-02-24T08:59:00Z,76.00,26.00
2026-02-24T09:03:00Z,76.00,26.00
2026-02-24T09:05:00Z,76.00,26.00
2026-02-24T09:06:00Z,76.00,26.00
2026-02-24T09:07:00Z,76.00,26.00
2026-02-24T09:08:00Z,76.00,26.00
2026-02-24T09:09:00Z,80.83,24.27
2026-02-24T09:10:00Z,78.67,21.32
2026-02-24T09:11:00Z,79.00,21.32
2026-02-24T09:12:00Z,79.00,18.42
2026-02-24T09:13:00Z,83.63,18.46
2026-02-24T09:14:00Z,83.00,17.45
2026-02-24T09:15:00Z,80.00,19.56
2026-02-24T09:16:00Z,78.80,22.06
2026-02-24T09:17:00Z,84.00,20.59
2026-02-24T09:18:00Z,74.80,23.99
2026-02-24T09:19:00Z,76.51,25.50
2026-02-24T09:20:00Z,80.00,23.07
2026-02-24T09:21:00Z,79.87,21.88
2026-02-24T09:22:00Z,79.87,22.00
2026-02-24T09:23:00Z,77.02,25.10
2026-02-24T09:24:00Z,72.47,26.92
2026-02-24T09:25:00Z,70.37,29.19
2026-02-24T09:26:00Z,56.26,46.19
2026-02-24T09:27:00Z,55.00,45.01
2026-02-24T09:28:00Z,61.37,41.20
2026-02-24T09:29:00Z,62.06,39.85
2026-02-24T09:30:00Z,67.28,35.32
2026-02-24T09:31:00Z,70.42,31.31
2026-02-24T09:32:00Z,71.82,29.67
2026-02-24T09:33:00Z,71.90,30.90
2026-02-24T09:34:00Z,71.90,32.13
2026-02-24T09:35:00Z,65.80,38.73
2026-02-24T09:36:00Z,67.21,32.23
2026-02-24T09:37:00Z,73.00,27.48
2026-02-24T09:38:00Z,73.26,26.95
2026-02-24T09:39:00Z,74.00,25.64
2026-02-24T09:40:00Z,67.00,33.77
2026-02-24T09:41:00Z,68.31,31.32
2026-02-24T09:42:00Z,72.00,26.12
2026-02-24T09:43:00Z,73.04,27.00
2026-02-24T09:44:00Z,73.04,31.66
2026-02-24T09:45:00Z,66.80,29.18
2026-02-24T09:46:00Z,68.98,29.32
2026-02-24T09:47:00Z,70.56,30.82
2026-02-24T09:48:00Z,70.56,29.96
2026-02-24T09:49:00Z,72.85,27.24
2026-02-24T09:50:00Z,72.00,30.74
2026-02-24T09:51:00Z,68.78,34.09
2026-02-24T09:52:00Z,70.74,35.31
2026-02-24T09:53:00Z,65.66,34.00
2026-02-24T09:54:00Z,60.54,36.10
2026-02-24T09:55:00Z,64.46,39.00
2026-02-24T09:56:00Z,68.05,34.49
2026-02-24T09:57:00Z,67.79,35.31
2026-02-24T09:58:00Z,60.87,48.63
2026-02-24T09:59:00Z,43.44,54.59
2026-02-24T10:00:00Z,43.29,59.18
2026-02-24T10:01:00Z,42.32,58.41
2026-02-24T10:02:00Z,44.44,56.43
2026-02-24T10:03:00Z,50.43,49.64
