# event_ticker=KXATPCHALLENGERMATCH-26MAY19IANMAR
# final_score=6-4 2-6 6-4
# score_resolution=4-6 6-2 4-6
# match_winner=Juan Cruz Martin Manzano
# fav_player=Federico Iannaccone
# dog_player=Juan Cruz Martin Manzano
# kalshi_date=2026-05-19
timestamp,Federico Iannaccone,Juan Cruz Martin Manzano
2026-05-19T01:06:00Z,,49.00
2026-05-19T02:48:00Z,53.00,49.00
2026-05-19T04:39:00Z,53.00,49.00
2026-05-19T04:40:00Z,53.00,49.00
2026-05-19T04:52:00Z,53.00,49.00
2026-05-19T04:59:00Z,53.00,48.00
2026-05-19T05:13:00Z,54.00,48.00
2026-05-19T05:16:00Z,54.00,48.00
2026-05-19T05:29:00Z,55.00,48.00
2026-05-19T07:14:00Z,55.00,48.00
2026-05-19T07:19:00Z,55.00,46.00
2026-05-19T07:25:00Z,55.00,46.00
2026-05-19T07:40:00Z,55.00,46.00
2026-05-19T08:10:00Z,57.52,49.90
2026-05-19T08:16:00Z,56.00,45.00
2026-05-19T08:17:00Z,58.00,49.82
2026-05-19T08:18:00Z,58.00,44.00
2026-05-19T08:20:00Z,58.00,47.00
2026-05-19T08:22:00Z,48.00,52.70
2026-05-19T08:24:00Z,48.00,58.65
2026-05-19T08:25:00Z,38.00,63.00
2026-05-19T08:26:00Z,38.00,59.99
2026-05-19T08:27:00Z,37.12,66.73
2026-05-19T08:30:00Z,33.00,68.56
2026-05-19T08:32:00Z,32.00,68.56
2026-05-19T08:34:00Z,32.00,70.00
2026-05-19T08:35:00Z,36.00,70.00
2026-05-19T08:42:00Z,46.00,54.00
2026-05-19T08:43:00Z,46.33,54.00
2026-05-19T08:44:00Z,42.00,54.00
2026-05-19T08:45:00Z,44.00,54.00
2026-05-19T08:46:00Z,39.00,61.00
2026-05-19T08:47:00Z,37.00,61.00
2026-05-19T08:48:00Z,39.00,66.00
2026-05-19T08:50:00Z,38.00,64.00
2026-05-19T08:52:00Z,37.82,64.00
2026-05-19T08:53:00Z,41.00,59.80
2026-05-19T08:54:00Z,36.00,64.95
2026-05-19T08:55:00Z,36.00,68.94
2026-05-19T09:04:00Z,30.00,72.00
2026-05-19T09:05:00Z,28.00,72.00
2026-05-19T09:09:00Z,29.35,72.00
2026-05-19T09:10:00Z,29.00,74.00
2026-05-19T09:11:00Z,29.00,74.00
2026-05-19T09:12:00Z,33.67,68.00
2026-05-19T09:13:00Z,34.00,68.00
2026-05-19T09:15:00Z,43.26,53.00
2026-05-19T09:18:00Z,49.00,50.97
2026-05-19T09:19:00Z,50.90,50.97
2026-05-19T09:20:00Z,52.77,50.97
2026-05-19T09:22:00Z,54.86,50.97
2026-05-19T09:23:00Z,58.63,50.97
2026-05-19T09:25:00Z,60.39,39.46
2026-05-19T09:26:00Z,59.00,39.46
2026-05-19T09:27:00Z,59.00,44.00
2026-05-19T09:30:00Z,55.00,44.00
2026-05-19T09:31:00Z,55.00,46.67
2026-05-19T09:35:00Z,55.00,45.00
2026-05-19T09:36:00Z,53.87,50.00
2026-05-19T09:38:00Z,53.87,50.00
2026-05-19T09:39:00Z,53.87,47.00
2026-05-19T09:41:00Z,54.00,47.00
2026-05-19T09:43:00Z,60.00,47.00
2026-05-19T09:45:00Z,57.00,43.00
2026-05-19T09:46:00Z,62.49,43.00
2026-05-19T09:48:00Z,56.00,43.00
2026-05-19T09:49:00Z,64.00,35.00
2026-05-19T09:53:00Z,65.26,34.36
2026-05-19T09:54:00Z,65.26,32.00
2026-05-19T09:55:00Z,65.10,34.93
2026-05-19T09:56:00Z,65.10,40.34
2026-05-19T09:58:00Z,68.00,40.34
2026-05-19T09:59:00Z,73.95,19.28
2026-05-19T10:00:00Z,79.66,25.92
2026-05-19T10:01:00Z,74.00,25.88
2026-05-19T10:02:00Z,69.60,31.22
2026-05-19T10:03:00Z,63.17,37.69
2026-05-19T10:05:00Z,69.07,31.39
2026-05-19T10:06:00Z,70.47,31.39
