# event_ticker=KXATPCHALLENGERMATCH-26MAR17DELDAN
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Taro Daniel
# fav_player=Jake Delaney
# dog_player=Taro Daniel
# kalshi_date=2026-03-17
timestamp,Jake Delaney,Taro Daniel
2026-03-17T06:00:00Z,,60.00
2026-03-17T09:32:00Z,,61.00
2026-03-17T09:34:00Z,,61.00
2026-03-17T09:35:00Z,,61.00
2026-03-17T09:36:00Z,,61.00
2026-03-17T10:04:00Z,,61.00
2026-03-17T10:34:00Z,35.00,62.01
2026-03-17T10:39:00Z,35.00,64.00
2026-03-17T10:42:00Z,35.00,65.00
2026-03-17T10:44:00Z,35.00,66.00
2026-03-17T10:46:00Z,35.00,67.00
2026-03-17T11:04:00Z,35.00,67.00
2026-03-17T11:07:00Z,35.00,67.92
2026-03-17T11:08:00Z,32.50,67.92
2026-03-17T11:29:00Z,32.50,70.00
2026-03-17T11:39:00Z,32.50,70.00
2026-03-17T11:54:00Z,29.00,70.00
2026-03-17T12:24:00Z,29.00,71.00
2026-03-17T13:07:00Z,29.00,72.00
2026-03-17T14:10:00Z,29.00,72.00
2026-03-17T14:25:00Z,29.00,72.00
2026-03-17T14:31:00Z,29.00,72.00
2026-03-17T14:48:00Z,27.99,72.00
2026-03-17T14:56:00Z,27.99,72.00
2026-03-17T15:02:00Z,27.99,73.00
2026-03-17T15:07:00Z,28.83,73.00
2026-03-17T15:08:00Z,28.83,73.98
2026-03-17T15:11:00Z,29.00,73.98
2026-03-17T15:22:00Z,29.00,73.98
2026-03-17T15:24:00Z,29.00,73.98
2026-03-17T16:00:00Z,29.00,73.11
2026-03-17T16:07:00Z,28.83,74.00
2026-03-17T16:08:00Z,31.53,71.00
2026-03-17T16:11:00Z,30.00,73.71
2026-03-17T16:12:00Z,30.00,70.00
2026-03-17T16:14:00Z,30.00,67.00
2026-03-17T16:15:00Z,32.00,69.00
2026-03-17T16:16:00Z,31.99,69.00
2026-03-17T16:17:00Z,35.00,70.78
2026-03-17T16:18:00Z,25.58,73.28
2026-03-17T16:19:00Z,23.89,78.23
2026-03-17T16:20:00Z,32.87,69.99
2026-03-17T16:21:00Z,32.87,76.25
2026-03-17T16:22:00Z,29.30,76.25
2026-03-17T16:23:00Z,31.00,76.25
2026-03-17T16:24:00Z,31.00,71.10
2026-03-17T16:25:00Z,31.00,77.00
2026-03-17T16:26:00Z,20.25,81.51
2026-03-17T16:27:00Z,16.00,84.00
2026-03-17T16:28:00Z,14.00,83.04
2026-03-17T16:29:00Z,16.00,84.22
2026-03-17T16:30:00Z,13.00,86.95
2026-03-17T16:31:00Z,13.00,87.93
2026-03-17T16:32:00Z,13.36,88.01
2026-03-17T16:34:00Z,16.30,85.01
2026-03-17T16:35:00Z,16.30,87.00
2026-03-17T16:36:00Z,14.19,87.00
2026-03-17T16:37:00Z,14.02,87.00
2026-03-17T16:38:00Z,16.00,87.00
2026-03-17T16:41:00Z,14.00,87.00
2026-03-17T16:42:00Z,13.15,89.00
2026-03-17T16:43:00Z,14.09,86.00
2026-03-17T16:44:00Z,15.00,86.00
2026-03-17T16:45:00Z,15.00,86.00
2026-03-17T16:47:00Z,12.00,89.00
2026-03-17T16:49:00Z,12.00,90.00
2026-03-17T16:50:00Z,11.00,90.00
2026-03-17T16:51:00Z,10.93,90.00
2026-03-17T16:52:00Z,10.89,90.21
2026-03-17T16:54:00Z,9.47,92.88
2026-03-17T16:55:00Z,4.23,95.88
2026-03-17T16:56:00Z,5.51,95.86
2026-03-17T16:57:00Z,4.03,95.53
2026-03-17T16:58:00Z,3.00,97.13
2026-03-17T16:59:00Z,1.99,97.00
2026-03-17T17:00:00Z,3.00,98.00
2026-03-17T17:01:00Z,1.75,98.82
2026-03-17T17:02:00Z,1.00,99.00
2026-03-17T17:04:00Z,1.00,99.00
2026-03-17T17:06:00Z,2.34,99.00
2026-03-17T17:07:00Z,2.49,99.00
2026-03-17T17:08:00Z,1.00,98.44
2026-03-17T17:09:00Z,1.00,98.05
2026-03-17T17:11:00Z,5.61,93.47
2026-03-17T17:12:00Z,1.66,96.31
2026-03-17T17:13:00Z,1.84,96.31
2026-03-17T17:14:00Z,1.63,98.26
2026-03-17T17:15:00Z,1.00,98.26
2026-03-17T17:16:00Z,1.00,98.00
2026-03-17T17:17:00Z,4.35,99.00
2026-03-17T17:18:00Z,1.00,99.00
2026-03-17T17:19:00Z,1.00,99.00
2026-03-17T17:22:00Z,1.00,99.00
