# event_ticker=KXATPCHALLENGERMATCH-26JUN02MONHEM
# final_score=3-6 6-3 7-5
# score_resolution=6-3 3-6 5-7
# match_winner=Khololwam Montsi
# fav_player=Calvin Hemery
# dog_player=Khololwam Montsi
# kalshi_date=2026-06-02
timestamp,Khololwam Montsi,Calvin Hemery
2026-06-02T00:37:00Z,,67.00
2026-06-02T03:05:00Z,,67.00
2026-06-02T03:15:00Z,,68.00
2026-06-02T03:16:00Z,,61.00
2026-06-02T03:17:00Z,,68.00
2026-06-02T03:18:00Z,,69.00
2026-06-02T05:02:00Z,38.00,69.00
2026-06-02T05:22:00Z,38.00,66.00
2026-06-02T05:36:00Z,38.00,66.00
2026-06-02T05:39:00Z,35.00,66.00
2026-06-02T06:20:00Z,35.00,66.82
2026-06-02T06:29:00Z,35.00,66.82
2026-06-02T06:56:00Z,35.00,66.00
2026-06-02T07:38:00Z,35.00,66.00
2026-06-02T07:39:00Z,36.00,67.00
2026-06-02T08:02:00Z,36.00,67.00
2026-06-02T08:40:00Z,36.00,67.00
2026-06-02T08:45:00Z,36.00,67.00
2026-06-02T08:55:00Z,36.00,67.00
2026-06-02T08:59:00Z,36.00,67.00
2026-06-02T09:06:00Z,36.00,68.00
2026-06-02T09:10:00Z,36.00,68.00
2026-06-02T09:43:00Z,36.00,67.00
2026-06-02T09:44:00Z,33.00,68.00
2026-06-02T09:45:00Z,33.00,69.00
2026-06-02T09:46:00Z,33.00,67.00
2026-06-02T09:47:00Z,31.29,67.75
2026-06-02T09:49:00Z,31.29,71.00
2026-06-02T09:50:00Z,31.29,70.00
2026-06-02T09:52:00Z,30.00,70.00
2026-06-02T09:54:00Z,34.20,67.00
2026-06-02T09:55:00Z,34.20,67.00
2026-06-02T09:56:00Z,34.20,67.00
2026-06-02T10:01:00Z,37.24,62.05
2026-06-02T10:03:00Z,44.47,62.05
2026-06-02T10:04:00Z,49.00,62.05
2026-06-02T10:05:00Z,50.19,51.00
2026-06-02T10:06:00Z,52.00,48.81
2026-06-02T10:07:00Z,52.00,46.00
2026-06-02T10:08:00Z,52.00,43.24
2026-06-02T10:09:00Z,52.00,44.00
2026-06-02T10:10:00Z,58.00,45.00
2026-06-02T10:11:00Z,58.00,45.08
2026-06-02T10:12:00Z,57.79,54.41
2026-06-02T10:13:00Z,44.00,56.97
2026-06-02T10:16:00Z,37.00,63.00
2026-06-02T10:17:00Z,37.00,63.00
2026-06-02T10:18:00Z,37.00,57.80
2026-06-02T10:20:00Z,39.78,62.24
2026-06-02T10:21:00Z,39.78,63.00
2026-06-02T10:22:00Z,44.00,57.61
2026-06-02T10:23:00Z,44.00,57.61
2026-06-02T10:24:00Z,45.42,59.08
2026-06-02T10:25:00Z,45.42,62.04
2026-06-02T10:27:00Z,45.42,66.85
2026-06-02T10:28:00Z,25.96,75.89
2026-06-02T10:29:00Z,23.00,80.00
2026-06-02T10:30:00Z,20.00,81.57
2026-06-02T10:31:00Z,16.13,81.57
2026-06-02T10:32:00Z,16.79,82.05
2026-06-02T10:33:00Z,18.00,84.00
2026-06-02T10:34:00Z,18.00,84.00
2026-06-02T10:36:00Z,18.00,84.01
2026-06-02T10:37:00Z,16.00,85.00
2026-06-02T10:38:00Z,16.00,85.00
2026-06-02T10:39:00Z,16.00,85.00
2026-06-02T10:40:00Z,17.00,83.91
2026-06-02T10:41:00Z,17.00,86.00
2026-06-02T10:42:00Z,17.00,89.19
2026-06-02T10:43:00Z,15.91,86.00
2026-06-02T10:45:00Z,15.91,81.00
2026-06-02T10:46:00Z,18.74,81.00
2026-06-02T10:47:00Z,18.74,84.00
2026-06-02T10:48:00Z,18.74,85.99
2026-06-02T10:49:00Z,9.76,89.36
2026-06-02T10:50:00Z,9.55,90.44
2026-06-02T10:51:00Z,12.00,94.52
2026-06-02T10:52:00Z,12.00,88.00
2026-06-02T10:53:00Z,14.00,85.00
2026-06-02T10:54:00Z,14.00,84.32
2026-06-02T10:55:00Z,17.74,87.07
2026-06-02T10:56:00Z,19.75,80.00
2026-06-02T10:57:00Z,23.98,78.00
2026-06-02T10:58:00Z,23.98,71.27
2026-06-02T10:59:00Z,32.04,67.88
2026-06-02T11:00:00Z,36.00,65.38
2026-06-02T11:01:00Z,36.00,67.00
2026-06-02T11:02:00Z,37.00,66.00
2026-06-02T11:03:00Z,37.00,66.00
2026-06-02T11:04:00Z,36.00,65.78
2026-06-02T11:05:00Z,36.00,65.20
2026-06-02T11:07:00Z,35.09,65.75
2026-06-02T11:08:00Z,34.00,68.07
2026-06-02T11:09:00Z,34.00,68.92
2026-06-02T11:10:00Z,34.00,69.05
2026-06-02T11:11:00Z,36.82,63.70
2026-06-02T11:12:00Z,36.82,63.00
2026-06-02T11:13:00Z,36.47,63.00
2026-06-02T11:14:00Z,35.00,63.00
2026-06-02T11:15:00Z,40.68,63.11
2026-06-02T11:16:00Z,40.96,64.89
2026-06-02T11:17:00Z,32.00,67.97
2026-06-02T11:18:00Z,35.82,65.00
2026-06-02T11:19:00Z,33.00,65.00
2026-06-02T11:20:00Z,33.00,67.00
2026-06-02T11:21:00Z,32.07,70.13
2026-06-02T11:22:00Z,28.10,76.95
2026-06-02T11:23:00Z,15.20,89.00
2026-06-02T11:24:00Z,14.26,85.23
2026-06-02T11:25:00Z,15.60,85.06
2026-06-02T11:26:00Z,14.10,88.67
2026-06-02T11:27:00Z,10.00,89.73
2026-06-02T11:28:00Z,9.23,91.00
2026-06-02T11:29:00Z,8.00,90.04
2026-06-02T11:30:00Z,9.24,90.85
2026-06-02T11:31:00Z,9.93,91.00
2026-06-02T11:32:00Z,14.81,88.00
2026-06-02T11:33:00Z,18.15,82.18
2026-06-02T11:34:00Z,19.33,83.27
2026-06-02T11:35:00Z,28.17,75.54
2026-06-02T11:36:00Z,28.17,68.16
2026-06-02T11:37:00Z,33.86,64.80
