# event_ticker=KXATPMATCH-25AUG19BELMUN
# final_score=6-3 6-1
# match_winner=Jaume Munar
# fav_player=Jaume Munar
# dog_player=Mattia Bellucci
# kalshi_date=2025-08-19
timestamp,Jaume Munar,Mattia Bellucci
2025-08-19T13:26:00Z,62.00,
2025-08-19T13:32:00Z,62.00,42.00
2025-08-19T14:28:00Z,62.00,42.00
2025-08-19T14:54:00Z,59.00,42.00
2025-08-19T14:56:00Z,59.00,42.00
2025-08-19T15:18:00Z,58.00,42.00
2025-08-19T16:00:00Z,59.00,42.00
2025-08-19T16:17:00Z,59.00,43.00
2025-08-19T16:24:00Z,59.00,43.00
2025-08-19T16:49:00Z,60.00,43.00
2025-08-19T17:01:00Z,62.00,43.00
2025-08-19T17:06:00Z,62.00,40.82
2025-08-19T17:30:00Z,62.00,41.00
2025-08-19T17:34:00Z,62.00,41.00
2025-08-19T17:35:00Z,62.00,41.00
2025-08-19T17:36:00Z,62.00,41.00
2025-08-19T18:06:00Z,59.00,41.00
2025-08-19T18:55:00Z,59.00,41.00
2025-08-19T19:49:00Z,59.00,43.00
2025-08-19T20:36:00Z,59.00,43.00
2025-08-19T21:07:00Z,59.00,43.00
2025-08-19T21:09:00Z,58.00,43.00
2025-08-19T21:33:00Z,58.00,43.86
2025-08-19T21:45:00Z,58.00,43.86
2025-08-19T21:53:00Z,58.00,44.00
2025-08-19T21:56:00Z,58.00,44.00
2025-08-19T21:57:00Z,58.00,44.00
2025-08-19T21:58:00Z,58.00,44.00
2025-08-19T22:02:00Z,58.00,44.00
2025-08-19T22:09:00Z,58.00,44.00
2025-08-19T22:11:00Z,58.00,44.00
2025-08-19T22:19:00Z,57.00,44.00
2025-08-19T22:20:00Z,57.00,44.00
2025-08-19T22:22:00Z,58.26,44.00
2025-08-19T22:23:00Z,58.26,43.48
2025-08-19T22:24:00Z,53.00,46.70
2025-08-19T22:25:00Z,51.67,49.00
2025-08-19T22:26:00Z,51.67,53.00
2025-08-19T22:27:00Z,48.00,56.00
2025-08-19T22:28:00Z,45.38,56.00
2025-08-19T22:29:00Z,44.00,56.00
2025-08-19T22:30:00Z,46.84,57.00
2025-08-19T22:31:00Z,44.00,57.00
2025-08-19T22:32:00Z,42.94,57.03
2025-08-19T22:33:00Z,42.94,60.75
2025-08-19T22:35:00Z,39.06,60.75
2025-08-19T22:36:00Z,39.06,65.00
2025-08-19T22:37:00Z,39.06,60.00
2025-08-19T22:38:00Z,39.06,60.00
2025-08-19T22:40:00Z,39.06,59.00
2025-08-19T22:42:00Z,48.72,49.61
2025-08-19T22:43:00Z,48.72,49.00
2025-08-19T22:44:00Z,48.72,46.84
2025-08-19T22:45:00Z,56.00,46.84
2025-08-19T22:46:00Z,56.00,46.84
2025-08-19T22:47:00Z,58.00,46.84
2025-08-19T22:50:00Z,58.00,34.04
2025-08-19T22:51:00Z,67.44,37.00
2025-08-19T22:52:00Z,70.06,34.00
2025-08-19T22:54:00Z,72.74,27.00
2025-08-19T22:55:00Z,72.74,20.73
2025-08-19T22:56:00Z,77.00,20.73
2025-08-19T22:57:00Z,81.79,17.36
2025-08-19T22:58:00Z,81.79,17.59
2025-08-19T23:00:00Z,81.79,10.33
2025-08-19T23:01:00Z,84.65,10.33
2025-08-19T23:02:00Z,82.00,20.00
2025-08-19T23:03:00Z,82.00,19.00
2025-08-19T23:05:00Z,82.00,19.00
2025-08-19T23:06:00Z,82.00,17.00
2025-08-19T23:07:00Z,82.00,19.00
2025-08-19T23:08:00Z,78.00,22.13
2025-08-19T23:09:00Z,78.00,21.00
2025-08-19T23:10:00Z,78.00,20.00
2025-08-19T23:11:00Z,78.00,20.00
2025-08-19T23:13:00Z,78.00,18.00
2025-08-19T23:15:00Z,83.00,18.00
2025-08-19T23:19:00Z,83.00,18.00
2025-08-19T23:20:00Z,83.00,18.00
2025-08-19T23:22:00Z,84.00,16.00
2025-08-19T23:23:00Z,85.48,14.00
2025-08-19T23:24:00Z,85.00,15.00
2025-08-19T23:25:00Z,88.60,14.00
2025-08-19T23:26:00Z,92.70,8.98
2025-08-19T23:27:00Z,94.77,8.98
2025-08-19T23:28:00Z,97.85,8.98
2025-08-19T23:29:00Z,98.59,15.90
2025-08-19T23:30:00Z,98.59,5.20
2025-08-19T23:31:00Z,97.61,3.61
2025-08-19T23:32:00Z,97.00,4.45
2025-08-19T23:33:00Z,96.92,4.45
2025-08-19T23:34:00Z,96.92,4.01
2025-08-19T23:35:00Z,96.00,4.01
2025-08-19T23:36:00Z,92.00,8.00
2025-08-19T23:37:00Z,93.00,8.00
2025-08-19T23:38:00Z,93.00,9.32
2025-08-19T23:39:00Z,94.08,7.26
2025-08-19T23:40:00Z,98.46,1.64
2025-08-19T23:41:00Z,99.00,2.00
2025-08-19T23:43:00Z,99.00,1.18
2025-08-19T23:44:00Z,99.00,1.18
2025-08-19T23:45:00Z,99.00,1.77
2025-08-19T23:46:00Z,99.00,2.00
2025-08-19T23:49:00Z,99.00,2.00
