# event_ticker=KXATPMATCH-25JUL20CAZBUS
# final_score=6-3 3-6 7-5
# match_winner=Arthur Cazaux
# fav_player=Arthur Cazaux
# dog_player=Ignacio Buse
# kalshi_date=2025-07-20
timestamp,Arthur Cazaux,Ignacio Buse
2025-07-22T00:16:00Z,47.00,
2025-07-22T00:19:00Z,47.00,
2025-07-22T00:50:00Z,47.00,
2025-07-22T01:18:00Z,47.00,53.00
2025-07-22T01:28:00Z,47.00,53.00
2025-07-22T01:57:00Z,47.00,53.00
2025-07-22T02:01:00Z,47.00,53.00
2025-07-22T02:02:00Z,47.00,53.00
2025-07-22T02:06:00Z,47.00,53.00
2025-07-22T02:49:00Z,49.00,53.00
2025-07-22T03:33:00Z,49.00,52.43
2025-07-22T04:30:00Z,49.00,52.43
2025-07-22T04:35:00Z,48.00,52.43
2025-07-22T04:37:00Z,48.00,53.00
2025-07-22T04:40:00Z,47.00,53.00
2025-07-22T04:46:00Z,47.00,53.00
2025-07-22T04:57:00Z,47.00,53.00
2025-07-22T04:58:00Z,47.00,54.00
2025-07-22T05:02:00Z,47.95,54.00
2025-07-22T05:16:00Z,48.00,54.00
2025-07-22T05:20:00Z,48.00,54.00
2025-07-22T05:21:00Z,48.00,54.00
2025-07-22T05:28:00Z,48.00,54.00
2025-07-22T05:48:00Z,48.00,54.00
2025-07-22T05:51:00Z,48.00,54.00
2025-07-22T05:53:00Z,48.00,54.00
2025-07-22T06:04:00Z,48.00,54.00
2025-07-22T06:14:00Z,48.00,53.00
2025-07-22T06:15:00Z,48.00,53.26
2025-07-22T06:19:00Z,48.00,53.00
2025-07-22T06:23:00Z,48.00,53.00
2025-07-22T06:49:00Z,48.00,53.00
2025-07-22T12:01:00Z,48.00,52.00
2025-07-22T12:02:00Z,48.00,51.00
2025-07-22T12:03:00Z,68.81,52.20
2025-07-22T12:04:00Z,56.01,46.00
2025-07-22T12:05:00Z,77.00,46.00
2025-07-22T12:07:00Z,54.01,47.73
2025-07-22T12:08:00Z,54.00,47.73
2025-07-22T12:09:00Z,46.92,60.07
2025-07-22T12:10:00Z,45.83,54.03
2025-07-22T12:11:00Z,48.57,69.84
2025-07-22T12:12:00Z,48.00,58.42
