# event_ticker=KXATPCHALLENGERMATCH-26APR23MARFAT
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Pol Martin Tiffon
# fav_player=Nerman Fatic
# dog_player=Pol Martin Tiffon
# kalshi_date=2026-04-23
timestamp,Pol Martin Tiffon,Nerman Fatic
2026-04-22T21:20:00Z,,51.00
2026-04-22T23:08:00Z,,56.60
2026-04-23T00:13:00Z,,57.00
2026-04-23T00:16:00Z,,57.00
2026-04-23T00:38:00Z,45.00,57.00
2026-04-23T02:23:00Z,45.00,59.00
2026-04-23T03:01:00Z,45.00,58.00
2026-04-23T03:54:00Z,44.00,58.00
2026-04-23T05:16:00Z,44.00,58.00
2026-04-23T05:28:00Z,44.00,56.00
2026-04-23T05:50:00Z,44.00,56.00
2026-04-23T05:51:00Z,44.00,56.00
2026-04-23T05:59:00Z,44.00,56.00
2026-04-23T06:18:00Z,44.00,56.55
2026-04-23T06:21:00Z,44.00,57.00
2026-04-23T06:47:00Z,44.00,58.00
2026-04-23T06:49:00Z,44.00,58.00
2026-04-23T06:56:00Z,44.00,58.00
2026-04-23T09:01:00Z,45.96,75.00
2026-04-23T09:04:00Z,42.00,75.00
2026-04-23T09:06:00Z,42.00,59.00
2026-04-23T09:08:00Z,42.00,59.00
2026-04-23T09:10:00Z,42.00,57.00
2026-04-23T09:11:00Z,45.75,54.48
2026-04-23T09:12:00Z,54.00,46.00
2026-04-23T09:13:00Z,53.61,46.00
2026-04-23T09:14:00Z,53.61,51.14
2026-04-23T09:15:00Z,42.00,51.14
2026-04-23T09:16:00Z,40.00,61.00
2026-04-23T09:18:00Z,40.00,62.51
2026-04-23T09:19:00Z,40.00,62.00
2026-04-23T09:21:00Z,43.00,57.24
2026-04-23T09:22:00Z,47.17,57.24
2026-04-23T09:24:00Z,57.88,57.24
2026-04-23T09:25:00Z,56.42,52.07
2026-04-23T09:26:00Z,51.63,52.07
2026-04-23T09:27:00Z,51.63,43.10
2026-04-23T09:28:00Z,59.00,43.10
2026-04-23T09:29:00Z,62.00,38.00
2026-04-23T09:30:00Z,63.75,38.56
2026-04-23T09:31:00Z,63.75,40.00
2026-04-23T09:33:00Z,59.71,40.00
2026-04-23T09:34:00Z,58.68,39.00
2026-04-23T09:35:00Z,63.47,39.00
2026-04-23T09:36:00Z,66.16,39.00
2026-04-23T09:37:00Z,63.70,38.92
2026-04-23T09:38:00Z,61.00,40.00
2026-04-23T09:39:00Z,63.00,37.00
2026-04-23T09:40:00Z,63.00,34.93
2026-04-23T09:41:00Z,63.00,33.00
2026-04-23T09:42:00Z,68.00,33.00
2026-04-23T09:43:00Z,68.00,33.00
2026-04-23T09:44:00Z,70.28,33.00
2026-04-23T09:45:00Z,70.28,32.10
2026-04-23T09:46:00Z,74.00,25.52
2026-04-23T09:47:00Z,72.13,28.28
2026-04-23T09:48:00Z,72.13,33.60
2026-04-23T09:50:00Z,72.00,33.60
2026-04-23T09:51:00Z,71.80,32.00
2026-04-23T09:52:00Z,67.00,35.00
2026-04-23T09:53:00Z,65.00,35.00
2026-04-23T09:54:00Z,65.00,35.49
2026-04-23T09:55:00Z,66.00,35.77
2026-04-23T09:57:00Z,72.66,28.83
2026-04-23T09:58:00Z,72.66,30.30
2026-04-23T09:59:00Z,72.00,30.00
2026-04-23T10:00:00Z,82.77,19.71
2026-04-23T10:01:00Z,82.77,13.00
2026-04-23T10:02:00Z,89.64,12.00
2026-04-23T10:03:00Z,92.00,8.00
2026-04-23T10:04:00Z,89.79,11.63
2026-04-23T10:05:00Z,93.00,7.96
2026-04-23T10:06:00Z,95.19,4.66
2026-04-23T10:07:00Z,94.93,4.66
2026-04-23T10:08:00Z,98.75,2.38
2026-04-23T10:09:00Z,98.81,1.00
2026-04-23T10:10:00Z,97.00,1.00
2026-04-23T10:12:00Z,99.00,1.00
