# event_ticker=KXATPCHALLENGERMATCH-26MAY14PIRNEU
# final_score=4-6 6-4 6-3
# score_resolution=6-4 4-6 3-6
# match_winner=Zsombor Piros
# fav_player=Lukas Neumayer
# dog_player=Zsombor Piros
# kalshi_date=2026-05-14
timestamp,Zsombor Piros,Lukas Neumayer
2026-05-14T19:03:00Z,64.84,32.07
2026-05-14T19:04:00Z,64.83,32.43
2026-05-14T19:05:00Z,64.77,32.08
2026-05-14T19:06:00Z,63.87,33.09
2026-05-14T19:07:00Z,63.70,34.00
2026-05-14T19:08:00Z,63.42,33.17
2026-05-14T19:09:00Z,63.52,33.00
2026-05-14T19:10:00Z,63.30,33.16
2026-05-14T19:11:00Z,63.97,33.00
2026-05-14T19:12:00Z,64.96,33.00
2026-05-14T19:13:00Z,64.57,33.00
2026-05-14T19:14:00Z,63.91,33.04
2026-05-14T19:15:00Z,66.62,33.00
2026-05-14T19:16:00Z,66.30,33.04
2026-05-14T19:17:00Z,63.46,33.01
2026-05-14T19:18:00Z,64.08,34.00
2026-05-14T19:19:00Z,65.19,32.95
2026-05-14T19:20:00Z,65.13,33.58
2026-05-14T19:21:00Z,65.06,33.92
2026-05-14T19:22:00Z,64.08,34.85
2026-05-14T19:23:00Z,66.14,32.33
2026-05-14T19:24:00Z,63.45,33.38
2026-05-14T19:25:00Z,66.00,34.89
2026-05-14T19:26:00Z,63.78,33.25
2026-05-14T19:27:00Z,64.12,33.03
2026-05-14T19:28:00Z,63.12,35.00
2026-05-14T19:29:00Z,64.12,33.31
2026-05-14T19:30:00Z,63.08,40.55
2026-05-14T19:31:00Z,64.23,36.12
2026-05-14T19:32:00Z,63.90,33.85
2026-05-14T19:33:00Z,64.94,33.56
2026-05-14T19:34:00Z,65.99,34.00
2026-05-14T19:35:00Z,63.45,36.18
2026-05-14T19:36:00Z,64.85,36.79
2026-05-14T19:37:00Z,66.00,35.23
2026-05-14T19:38:00Z,65.87,35.00
2026-05-14T19:39:00Z,66.46,34.72
2026-05-14T19:40:00Z,64.44,33.67
2026-05-14T19:41:00Z,64.88,34.35
2026-05-14T19:42:00Z,64.14,34.65
2026-05-14T19:43:00Z,64.68,34.00
2026-05-14T19:44:00Z,64.07,35.59
