# event_ticker=KXATPCHALLENGERMATCH-26MAR03BLAWAT
# final_score=6-7(5) 6-2 3-0 RET
# match_winner=Ugo Blanchet
# fav_player=Ugo Blanchet
# dog_player=Yosuke Watanuki
# kalshi_date=2026-03-03
timestamp,Ugo Blanchet,Yosuke Watanuki
2026-03-03T04:04:00Z,,51.00
2026-03-03T04:06:00Z,50.00,51.00
2026-03-03T04:30:00Z,50.00,51.00
2026-03-03T04:43:00Z,53.00,51.00
2026-03-03T05:02:00Z,50.00,51.00
2026-03-03T05:40:00Z,51.00,51.00
2026-03-03T05:50:00Z,50.21,55.00
2026-03-03T05:56:00Z,50.00,54.00
2026-03-03T06:02:00Z,50.00,53.00
2026-03-03T06:04:00Z,50.00,53.00
2026-03-03T06:06:00Z,52.00,51.00
2026-03-03T06:07:00Z,52.00,51.00
2026-03-03T06:10:00Z,50.00,51.00
2026-03-03T06:13:00Z,50.00,53.00
2026-03-03T06:15:00Z,50.00,55.03
2026-03-03T06:18:00Z,50.00,55.00
2026-03-03T06:29:00Z,50.00,51.00
2026-03-03T06:32:00Z,50.00,53.00
2026-03-03T06:35:00Z,50.00,52.75
2026-03-03T06:37:00Z,50.00,52.00
2026-03-03T06:40:00Z,50.00,52.00
2026-03-03T06:50:00Z,50.00,52.00
2026-03-03T07:06:00Z,52.00,52.00
2026-03-03T07:09:00Z,52.14,50.00
2026-03-03T07:10:00Z,50.00,53.03
2026-03-03T07:19:00Z,50.00,53.00
2026-03-03T07:20:00Z,50.00,50.00
2026-03-03T07:26:00Z,53.00,50.00
2026-03-03T07:37:00Z,50.00,50.00
2026-03-03T07:52:00Z,53.00,50.00
2026-03-03T07:58:00Z,53.58,49.85
2026-03-03T08:32:00Z,53.00,50.00
2026-03-03T09:17:00Z,53.00,50.00
2026-03-03T09:23:00Z,50.00,50.00
2026-03-03T09:24:00Z,50.00,50.00
2026-03-03T09:54:00Z,50.00,54.04
2026-03-03T10:07:00Z,50.00,56.73
2026-03-03T10:15:00Z,45.00,56.73
2026-03-03T11:01:00Z,42.00,56.00
