# event_ticker=KXATPCHALLENGERMATCH-26JUN02TRUSHE
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Marco Trungelliti
# fav_player=Abdullah Shelbayh
# dog_player=Marco Trungelliti
# kalshi_date=2026-06-02
timestamp,Marco Trungelliti,Abdullah Shelbayh
2026-06-02T01:19:00Z,,14.00
2026-06-02T01:24:00Z,89.00,14.00
2026-06-02T01:38:00Z,89.00,14.00
2026-06-02T02:53:00Z,89.00,14.00
2026-06-02T03:02:00Z,88.00,14.00
2026-06-02T03:59:00Z,88.00,13.00
2026-06-02T04:43:00Z,88.00,13.00
2026-06-02T05:05:00Z,88.00,12.00
2026-06-02T06:24:00Z,88.00,12.00
2026-06-02T07:03:00Z,88.00,12.00
2026-06-02T11:40:00Z,88.00,13.00
2026-06-02T11:53:00Z,88.00,13.00
2026-06-02T12:42:00Z,88.00,13.00
2026-06-02T13:03:00Z,88.00,14.00
2026-06-02T13:08:00Z,86.00,15.08
2026-06-02T13:11:00Z,87.91,13.00
2026-06-02T13:12:00Z,86.93,13.00
2026-06-02T13:13:00Z,84.67,14.00
2026-06-02T13:14:00Z,88.34,12.78
2026-06-02T13:15:00Z,88.34,13.00
2026-06-02T13:16:00Z,85.00,13.00
2026-06-02T13:17:00Z,83.72,16.00
2026-06-02T13:18:00Z,83.72,15.00
2026-06-02T13:19:00Z,86.00,15.00
2026-06-02T13:20:00Z,86.00,16.69
2026-06-02T13:21:00Z,84.00,16.00
2026-06-02T13:22:00Z,82.00,18.00
2026-06-02T13:25:00Z,86.00,15.00
2026-06-02T13:27:00Z,85.00,15.00
2026-06-02T13:28:00Z,89.97,10.69
2026-06-02T13:29:00Z,89.47,10.69
2026-06-02T13:30:00Z,87.78,12.16
2026-06-02T13:31:00Z,84.56,15.37
2026-06-02T13:32:00Z,80.63,19.14
2026-06-02T13:33:00Z,82.02,16.00
2026-06-02T13:34:00Z,85.00,16.00
2026-06-02T13:35:00Z,86.01,13.96
2026-06-02T13:36:00Z,86.01,14.38
2026-06-02T13:37:00Z,86.01,18.00
2026-06-02T13:38:00Z,84.47,15.41
2026-06-02T13:39:00Z,89.14,9.19
2026-06-02T13:40:00Z,93.00,7.11
2026-06-02T13:41:00Z,94.00,6.04
2026-06-02T13:42:00Z,95.00,6.00
2026-06-02T13:43:00Z,94.05,6.00
2026-06-02T13:44:00Z,94.91,6.00
2026-06-02T13:45:00Z,94.00,7.00
2026-06-02T13:46:00Z,94.00,7.00
2026-06-02T13:47:00Z,93.00,8.00
2026-06-02T13:48:00Z,94.00,6.00
2026-06-02T13:49:00Z,94.00,7.00
2026-06-02T13:50:00Z,94.03,6.00
2026-06-02T13:51:00Z,95.86,7.00
2026-06-02T13:52:00Z,94.00,8.00
2026-06-02T13:53:00Z,94.00,7.00
2026-06-02T13:54:00Z,91.04,8.29
2026-06-02T13:55:00Z,89.32,10.61
2026-06-02T13:56:00Z,91.00,8.51
2026-06-02T13:57:00Z,91.00,7.00
2026-06-02T13:58:00Z,93.07,6.92
2026-06-02T13:59:00Z,94.99,6.92
2026-06-02T14:00:00Z,92.10,7.95
2026-06-02T14:02:00Z,90.00,9.46
2026-06-02T14:03:00Z,92.00,8.00
2026-06-02T14:04:00Z,92.00,7.70
2026-06-02T14:05:00Z,92.00,8.04
2026-06-02T14:06:00Z,91.93,9.00
2026-06-02T14:07:00Z,91.93,10.00
2026-06-02T14:08:00Z,90.00,10.00
2026-06-02T14:09:00Z,91.00,9.01
2026-06-02T14:10:00Z,92.20,8.00
2026-06-02T14:11:00Z,94.00,7.96
2026-06-02T14:12:00Z,95.06,5.10
2026-06-02T14:14:00Z,94.88,5.42
2026-06-02T14:15:00Z,92.45,7.68
2026-06-02T14:16:00Z,91.00,10.00
2026-06-02T14:17:00Z,91.82,10.00
2026-06-02T14:18:00Z,92.88,8.12
2026-06-02T14:19:00Z,91.00,9.50
2026-06-02T14:20:00Z,92.59,7.41
2026-06-02T14:21:00Z,93.34,7.67
2026-06-02T14:22:00Z,94.00,6.00
2026-06-02T14:23:00Z,95.40,6.00
2026-06-02T14:24:00Z,97.97,2.95
2026-06-02T14:25:00Z,99.00,1.90
2026-06-02T14:26:00Z,99.00,1.00
2026-06-02T14:27:00Z,99.00,1.00
