# event_ticker=KXATPMATCH-26APR24SINBON
# final_score=6-7(6) 6-1 6-4
# score_resolution=7-6 1-6 4-6
# match_winner=Jannik Sinner
# fav_player=Benjamin Bonzi
# dog_player=Jannik Sinner
# kalshi_date=2026-04-24
timestamp,Jannik Sinner,Benjamin Bonzi
2026-04-24T04:19:00Z,90.42,
2026-04-24T04:20:00Z,94.41,5.40
2026-04-24T04:21:00Z,95.00,5.00
2026-04-24T04:22:00Z,90.00,5.00
2026-04-24T04:23:00Z,90.00,4.50
2026-04-24T04:24:00Z,94.00,4.92
2026-04-24T04:25:00Z,95.80,4.00
2026-04-24T04:26:00Z,96.00,4.00
2026-04-24T04:31:00Z,97.00,3.00
2026-04-24T04:32:00Z,97.00,3.00
2026-04-24T04:33:00Z,97.00,3.00
2026-04-24T04:41:00Z,97.00,3.00
2026-04-24T04:42:00Z,97.00,3.00
2026-04-24T04:43:00Z,97.00,3.00
2026-04-24T04:44:00Z,97.00,3.00
2026-04-24T04:46:00Z,97.00,3.00
2026-04-24T04:48:00Z,98.00,3.00
2026-04-24T05:01:00Z,98.00,3.00
2026-04-24T05:09:00Z,98.00,3.00
2026-04-24T05:11:00Z,98.00,3.00
2026-04-24T05:14:00Z,98.00,3.00
2026-04-24T05:16:00Z,98.00,3.00
2026-04-24T05:32:00Z,98.00,3.00
2026-04-24T05:41:00Z,98.00,3.00
2026-04-24T05:48:00Z,98.00,3.00
2026-04-24T05:59:00Z,98.00,3.00
2026-04-24T06:04:00Z,98.00,3.00
2026-04-24T06:16:00Z,98.00,3.00
2026-04-24T06:19:00Z,98.00,3.00
2026-04-24T06:25:00Z,98.00,3.00
2026-04-24T06:29:00Z,98.00,3.00
2026-04-24T06:30:00Z,98.00,3.00
2026-04-24T06:34:00Z,98.00,3.00
2026-04-24T06:36:00Z,98.00,3.00
2026-04-24T06:38:00Z,98.00,3.00
2026-04-24T06:52:00Z,98.00,3.00
2026-04-24T06:55:00Z,98.00,4.00
2026-04-24T07:04:00Z,97.00,4.00
2026-04-24T07:09:00Z,98.00,4.00
2026-04-24T07:22:00Z,98.00,4.00
2026-04-24T07:38:00Z,98.00,4.00
2026-04-24T07:50:00Z,98.00,2.00
2026-04-24T07:56:00Z,98.00,3.00
2026-04-24T07:58:00Z,98.00,3.00
2026-04-24T08:02:00Z,99.00,3.00
2026-04-24T08:24:00Z,99.00,3.00
2026-04-24T09:19:00Z,99.00,3.00
2026-04-24T09:23:00Z,99.00,3.00
2026-04-24T09:30:00Z,99.00,3.00
2026-04-24T10:06:00Z,99.00,3.00
2026-04-24T10:15:00Z,99.00,3.00
