# event_ticker=KXATPCHALLENGERMATCH-26APR14FORBEL
# final_score=6-3 7-5
# match_winner=Jonas Forejtek
# fav_player=Jonas Forejtek
# dog_player=Mattia Bellucci
# kalshi_date=2026-04-14
timestamp,Jonas Forejtek,Mattia Bellucci
2026-04-13T22:16:00Z,41.00,
2026-04-13T22:36:00Z,41.00,69.00
2026-04-13T22:39:00Z,41.00,70.00
2026-04-14T00:00:00Z,41.00,69.00
2026-04-14T00:31:00Z,41.00,71.00
2026-04-14T01:39:00Z,41.00,71.00
2026-04-14T01:53:00Z,41.00,71.00
2026-04-14T02:29:00Z,41.00,71.00
2026-04-14T02:35:00Z,41.00,70.00
2026-04-14T03:29:00Z,41.00,69.00
2026-04-14T04:21:00Z,41.00,69.00
2026-04-14T04:29:00Z,41.00,69.00
2026-04-14T04:56:00Z,41.00,69.26
2026-04-14T04:57:00Z,41.00,69.00
2026-04-14T05:35:00Z,41.00,69.00
2026-04-14T05:37:00Z,41.00,69.00
2026-04-14T05:54:00Z,41.00,69.00
2026-04-14T06:12:00Z,41.00,69.12
2026-04-14T06:23:00Z,41.00,70.00
2026-04-14T06:26:00Z,41.00,70.00
2026-04-14T07:04:00Z,41.00,70.00
2026-04-14T07:10:00Z,41.00,70.00
2026-04-14T08:34:00Z,41.00,70.00
2026-04-14T08:40:00Z,31.44,68.83
2026-04-14T08:41:00Z,31.44,69.00
2026-04-14T08:54:00Z,31.44,69.00
2026-04-14T08:57:00Z,33.00,69.00
2026-04-14T09:04:00Z,33.00,69.00
2026-04-14T09:20:00Z,33.00,69.00
2026-04-14T09:23:00Z,33.00,68.00
2026-04-14T09:25:00Z,33.00,68.00
2026-04-14T09:51:00Z,33.00,69.00
2026-04-14T09:57:00Z,33.00,69.00
2026-04-14T10:08:00Z,33.00,70.00
2026-04-14T10:14:00Z,33.00,66.00
2026-04-14T10:15:00Z,33.00,66.00
2026-04-14T10:17:00Z,36.00,64.00
2026-04-14T10:18:00Z,32.00,64.00
2026-04-14T10:24:00Z,41.74,60.00
2026-04-14T10:25:00Z,41.74,67.00
2026-04-14T10:26:00Z,33.75,66.00
2026-04-14T10:27:00Z,31.00,66.00
2026-04-14T10:30:00Z,33.92,64.23
2026-04-14T10:31:00Z,40.66,64.23
2026-04-14T10:32:00Z,41.00,64.23
2026-04-14T10:33:00Z,41.00,59.00
2026-04-14T10:34:00Z,47.00,53.87
