# event_ticker=KXATPMATCH-26MAR23CERMED
# final_score=6-0 4-6 7-5
# score_resolution=0-6 6-4 5-7
# match_winner=Francisco Cerundolo
# fav_player=Daniil Medvedev
# dog_player=Francisco Cerundolo
# kalshi_date=2026-03-23
timestamp,Daniil Medvedev,Francisco Cerundolo
2026-03-23T04:14:00Z,79.00,
2026-03-23T04:16:00Z,79.00,
2026-03-23T04:18:00Z,79.00,
2026-03-23T04:19:00Z,79.00,22.00
2026-03-23T04:21:00Z,79.00,22.00
2026-03-23T04:22:00Z,79.00,22.00
2026-03-23T04:23:00Z,79.00,22.00
2026-03-23T04:26:00Z,79.00,22.00
2026-03-23T04:28:00Z,79.00,22.00
2026-03-23T04:31:00Z,79.00,22.00
2026-03-23T04:37:00Z,79.00,22.00
2026-03-23T04:38:00Z,79.00,22.00
2026-03-23T04:39:00Z,79.00,22.00
2026-03-23T04:41:00Z,79.00,22.00
2026-03-23T04:44:00Z,79.00,22.00
2026-03-23T04:46:00Z,79.00,22.00
2026-03-23T04:48:00Z,79.00,22.00
2026-03-23T04:49:00Z,79.00,22.00
2026-03-23T04:53:00Z,79.00,22.00
2026-03-23T04:54:00Z,79.00,22.00
2026-03-23T04:55:00Z,79.00,22.00
2026-03-23T04:56:00Z,79.00,22.00
2026-03-23T04:58:00Z,79.00,22.00
2026-03-23T04:59:00Z,79.00,22.00
2026-03-23T05:00:00Z,79.00,22.00
2026-03-23T05:01:00Z,79.00,22.00
2026-03-23T05:02:00Z,79.00,22.00
2026-03-23T05:03:00Z,79.00,22.00
2026-03-23T05:04:00Z,79.00,22.00
2026-03-23T05:07:00Z,79.00,22.00
2026-03-23T05:13:00Z,79.00,21.00
2026-03-23T05:14:00Z,79.00,21.00
2026-03-23T05:15:00Z,79.00,21.00
2026-03-23T05:23:00Z,79.00,21.00
2026-03-23T05:25:00Z,79.00,21.00
2026-03-23T05:26:00Z,79.00,21.00
2026-03-23T05:28:00Z,79.00,21.00
2026-03-23T05:30:00Z,79.00,21.00
2026-03-23T05:33:00Z,79.00,21.00
2026-03-23T05:34:00Z,79.00,21.00
2026-03-23T05:35:00Z,79.00,21.00
2026-03-23T05:38:00Z,79.00,22.00
2026-03-23T05:39:00Z,79.00,22.00
2026-03-23T05:44:00Z,79.00,22.00
2026-03-23T05:45:00Z,79.00,22.00
2026-03-23T05:49:00Z,79.00,22.00
2026-03-23T05:50:00Z,79.00,22.00
2026-03-23T05:53:00Z,79.00,22.00
2026-03-23T05:54:00Z,79.00,22.00
2026-03-23T05:56:00Z,79.00,22.00
2026-03-23T05:57:00Z,79.00,22.00
2026-03-23T05:58:00Z,79.00,22.00
2026-03-23T06:00:00Z,79.00,21.00
2026-03-23T06:01:00Z,79.00,22.00
2026-03-23T06:02:00Z,79.00,22.00
2026-03-23T06:03:00Z,79.00,22.00
2026-03-23T06:04:00Z,79.00,22.00
2026-03-23T06:06:00Z,79.00,22.00
2026-03-23T06:13:00Z,79.00,22.00
2026-03-23T06:14:00Z,79.00,22.00
2026-03-23T06:18:00Z,79.00,22.00
2026-03-23T06:25:00Z,79.00,22.00
2026-03-23T06:28:00Z,79.00,21.00
2026-03-23T06:31:00Z,79.00,22.00
2026-03-23T06:32:00Z,79.00,22.00
2026-03-23T06:33:00Z,79.00,22.00
2026-03-23T06:37:00Z,79.00,21.00
2026-03-23T06:44:00Z,79.00,22.00
2026-03-23T06:46:00Z,79.00,22.00
2026-03-23T06:48:00Z,79.00,22.00
