# event_ticker=KXATPMATCH-26APR12BUSMOU
# final_score=6-4 6-4
# match_winner=Corentin Moutet
# fav_player=Corentin Moutet
# dog_player=Ignacio Buse
# kalshi_date=2026-04-12
timestamp,Corentin Moutet,Ignacio Buse
2026-04-12T21:29:00Z,63.00,
2026-04-12T21:34:00Z,63.00,39.00
2026-04-12T22:03:00Z,63.00,39.00
2026-04-12T22:10:00Z,63.00,39.00
2026-04-12T22:16:00Z,64.00,39.00
2026-04-12T22:19:00Z,64.00,39.00
2026-04-12T22:31:00Z,64.00,39.00
2026-04-12T23:00:00Z,64.00,39.00
2026-04-12T23:48:00Z,64.00,39.00
2026-04-13T00:02:00Z,64.00,39.00
2026-04-13T00:09:00Z,64.00,39.00
2026-04-13T00:20:00Z,64.00,39.00
2026-04-13T00:24:00Z,64.00,39.00
2026-04-13T00:29:00Z,64.00,39.00
2026-04-13T00:39:00Z,64.00,39.00
2026-04-13T00:43:00Z,64.00,39.00
2026-04-13T00:49:00Z,64.00,39.00
2026-04-13T00:50:00Z,64.00,38.00
2026-04-13T01:02:00Z,64.00,38.28
2026-04-13T01:05:00Z,64.00,38.28
2026-04-13T01:06:00Z,64.00,38.28
2026-04-13T01:13:00Z,64.00,37.00
2026-04-13T01:15:00Z,64.00,39.00
2026-04-13T01:20:00Z,64.00,39.00
2026-04-13T01:27:00Z,64.00,39.00
2026-04-13T01:32:00Z,64.00,39.00
2026-04-13T01:38:00Z,64.00,38.00
2026-04-13T01:39:00Z,64.00,38.00
2026-04-13T01:40:00Z,64.00,38.00
2026-04-13T01:41:00Z,64.00,38.00
2026-04-13T01:47:00Z,64.00,38.00
2026-04-13T01:51:00Z,65.00,38.00
2026-04-13T02:00:00Z,65.00,38.00
2026-04-13T02:02:00Z,65.00,38.00
2026-04-13T02:03:00Z,65.00,38.00
2026-04-13T02:06:00Z,65.00,38.00
2026-04-13T02:14:00Z,65.00,38.00
2026-04-13T02:20:00Z,65.00,38.00
2026-04-13T02:21:00Z,65.00,37.00
2026-04-13T02:43:00Z,65.00,37.00
2026-04-13T02:48:00Z,65.00,37.00
2026-04-13T02:54:00Z,65.00,37.00
