# event_ticker=KXATPCHALLENGERMATCH-26APR14GLIDOS
# final_score=6-2 7-6(3)
# score_resolution=6-2 7-6
# match_winner=Daniil Glinka
# fav_player=Daniil Glinka
# dog_player=Stefan Dostanic
# kalshi_date=2026-04-14
timestamp,Daniil Glinka,Stefan Dostanic
2026-04-14T06:00:00Z,,69.00
2026-04-14T07:51:00Z,,69.00
2026-04-14T09:05:00Z,,67.00
2026-04-14T13:41:00Z,41.00,67.00
2026-04-14T14:07:00Z,41.00,62.00
2026-04-14T14:15:00Z,41.00,62.00
2026-04-14T14:17:00Z,41.00,62.00
2026-04-14T14:57:00Z,41.00,62.00
2026-04-14T15:09:00Z,41.00,62.00
2026-04-14T15:22:00Z,41.00,62.00
2026-04-14T15:31:00Z,40.00,62.00
2026-04-14T15:34:00Z,40.00,62.00
2026-04-14T15:41:00Z,40.00,61.00
2026-04-14T15:42:00Z,40.00,61.00
2026-04-14T16:00:00Z,40.00,61.00
2026-04-14T16:03:00Z,40.00,62.00
2026-04-14T16:11:00Z,40.00,62.00
2026-04-14T16:21:00Z,40.00,62.00
2026-04-14T16:28:00Z,40.00,62.00
2026-04-14T16:47:00Z,40.00,62.00
2026-04-14T16:49:00Z,41.72,62.00
2026-04-14T16:51:00Z,41.72,61.97
2026-04-14T16:52:00Z,41.96,61.97
2026-04-14T16:53:00Z,41.56,63.31
2026-04-14T16:54:00Z,41.00,63.31
2026-04-14T16:55:00Z,41.00,61.00
2026-04-14T16:56:00Z,41.00,62.54
2026-04-14T16:57:00Z,38.00,62.87
2026-04-14T16:58:00Z,39.06,63.00
2026-04-14T16:59:00Z,38.35,66.00
2026-04-14T17:00:00Z,39.58,59.07
2026-04-14T17:01:00Z,48.50,54.08
2026-04-14T17:02:00Z,54.68,46.72
2026-04-14T17:03:00Z,54.54,43.93
2026-04-14T17:04:00Z,58.53,42.05
2026-04-14T17:05:00Z,51.78,48.41
2026-04-14T17:06:00Z,51.51,51.26
2026-04-14T17:07:00Z,55.34,46.59
2026-04-14T17:08:00Z,61.44,39.03
2026-04-14T17:09:00Z,63.44,32.96
2026-04-14T17:10:00Z,69.98,30.79
2026-04-14T17:11:00Z,69.11,29.90
2026-04-14T17:12:00Z,70.81,29.67
2026-04-14T17:13:00Z,70.64,31.28
2026-04-14T17:14:00Z,64.83,34.68
2026-04-14T17:15:00Z,69.33,29.96
2026-04-14T17:16:00Z,66.89,33.93
2026-04-14T17:17:00Z,65.00,35.86
2026-04-14T17:18:00Z,68.14,30.79
2026-04-14T17:19:00Z,67.39,33.90
2026-04-14T17:20:00Z,66.03,34.60
2026-04-14T17:21:00Z,67.28,32.00
2026-04-14T17:22:00Z,68.57,31.33
2026-04-14T17:23:00Z,70.85,29.12
2026-04-14T17:24:00Z,69.00,31.00
2026-04-14T17:25:00Z,70.76,31.00
2026-04-14T17:26:00Z,69.78,31.00
2026-04-14T17:27:00Z,70.00,31.19
2026-04-14T17:28:00Z,69.99,31.15
2026-04-14T17:29:00Z,71.96,29.82
2026-04-14T17:30:00Z,73.00,28.00
2026-04-14T17:31:00Z,72.00,29.96
2026-04-14T17:32:00Z,70.00,30.75
2026-04-14T17:33:00Z,70.00,31.00
2026-04-14T17:34:00Z,70.00,31.00
2026-04-14T17:35:00Z,68.68,31.00
2026-04-14T17:36:00Z,67.40,31.97
2026-04-14T17:37:00Z,67.98,32.00
2026-04-14T17:38:00Z,71.05,30.34
2026-04-14T17:39:00Z,70.74,31.14
2026-04-14T17:40:00Z,70.94,30.04
2026-04-14T17:41:00Z,70.91,31.00
2026-04-14T17:42:00Z,68.60,30.47
2026-04-14T17:43:00Z,69.93,30.60
2026-04-14T17:44:00Z,63.00,36.24
2026-04-14T17:45:00Z,62.51,38.90
2026-04-14T17:46:00Z,66.48,36.60
2026-04-14T17:47:00Z,65.28,34.20
2026-04-14T17:48:00Z,68.28,30.01
2026-04-14T17:49:00Z,73.79,26.99
2026-04-14T17:50:00Z,73.64,29.36
2026-04-14T17:51:00Z,69.42,30.69
2026-04-14T17:52:00Z,65.09,36.34
2026-04-14T17:53:00Z,65.02,37.00
2026-04-14T17:54:00Z,66.97,36.62
2026-04-14T17:55:00Z,66.52,33.29
2026-04-14T17:56:00Z,66.92,37.61
2026-04-14T17:57:00Z,64.49,39.21
2026-04-14T17:58:00Z,65.63,36.65
2026-04-14T17:59:00Z,68.24,35.67
2026-04-14T18:00:00Z,63.43,44.95
2026-04-14T18:01:00Z,66.86,33.28
2026-04-14T18:02:00Z,63.40,37.98
2026-04-14T18:03:00Z,61.63,38.90
2026-04-14T18:04:00Z,62.25,38.94
2026-04-14T18:05:00Z,62.15,36.15
2026-04-14T18:06:00Z,67.90,33.66
2026-04-14T18:07:00Z,73.15,30.66
2026-04-14T18:08:00Z,79.12,25.43
2026-04-14T18:09:00Z,82.72,20.89
2026-04-14T18:10:00Z,76.31,27.25
2026-04-14T18:11:00Z,69.55,28.84
2026-04-14T18:12:00Z,75.21,23.73
2026-04-14T18:13:00Z,69.63,31.89
2026-04-14T18:14:00Z,64.99,34.65
2026-04-14T18:15:00Z,62.53,38.44
2026-04-14T18:16:00Z,61.91,38.36
2026-04-14T18:17:00Z,57.88,44.70
2026-04-14T18:18:00Z,60.44,40.63
2026-04-14T18:19:00Z,68.04,30.65
2026-04-14T18:20:00Z,71.28,31.79
2026-04-14T18:21:00Z,70.05,33.35
2026-04-14T18:22:00Z,64.63,35.70
2026-04-14T18:23:00Z,65.00,37.48
2026-04-14T18:24:00Z,72.07,27.27
2026-04-14T18:25:00Z,73.17,27.08
2026-04-14T18:26:00Z,69.11,31.87
2026-04-14T18:27:00Z,69.12,32.06
2026-04-14T18:28:00Z,67.99,32.97
2026-04-14T18:29:00Z,70.77,29.84
2026-04-14T18:30:00Z,74.67,26.98
2026-04-14T18:31:00Z,73.45,27.08
2026-04-14T18:32:00Z,75.25,25.95
2026-04-14T18:33:00Z,87.35,14.96
2026-04-14T18:34:00Z,88.09,11.67
2026-04-14T18:35:00Z,92.69,7.97
2026-04-14T18:36:00Z,89.13,14.85
2026-04-14T18:37:00Z,97.38,1.91
2026-04-14T18:38:00Z,99.00,1.91
2026-04-14T18:39:00Z,99.00,1.91
2026-04-14T18:40:00Z,99.00,1.91
2026-04-14T18:41:00Z,99.00,1.91
2026-04-14T18:42:00Z,99.00,1.91
2026-04-14T18:43:00Z,99.00,1.91
2026-04-14T18:44:00Z,99.00,1.91
