# event_ticker=KXATPCHALLENGERMATCH-26APR21FATTSE
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Nerman Fatic
# fav_player=Chun Hsin Tseng
# dog_player=Nerman Fatic
# kalshi_date=2026-04-21
timestamp,Nerman Fatic,Chun Hsin Tseng
2026-04-21T00:59:00Z,,61.00
2026-04-21T01:03:00Z,,61.00
2026-04-21T01:33:00Z,42.00,61.00
2026-04-21T04:13:00Z,42.00,61.00
2026-04-21T04:51:00Z,42.00,61.00
2026-04-21T05:29:00Z,42.00,61.00
2026-04-21T05:32:00Z,42.00,61.00
2026-04-21T05:58:00Z,42.00,61.00
2026-04-21T06:11:00Z,38.00,61.00
2026-04-21T07:59:00Z,41.00,61.00
2026-04-21T08:54:00Z,41.00,61.00
2026-04-21T09:01:00Z,41.00,61.00
2026-04-21T10:25:00Z,41.00,61.00
2026-04-21T10:49:00Z,41.00,61.00
2026-04-21T10:57:00Z,41.00,62.00
2026-04-21T11:00:00Z,41.23,62.00
2026-04-21T11:56:00Z,41.23,61.00
2026-04-21T12:00:00Z,41.23,62.00
2026-04-21T12:01:00Z,41.23,62.00
2026-04-21T12:02:00Z,41.23,62.00
2026-04-21T12:04:00Z,41.23,62.00
2026-04-21T12:06:00Z,41.23,61.00
2026-04-21T12:07:00Z,41.23,62.00
2026-04-21T12:09:00Z,39.00,61.00
2026-04-21T12:10:00Z,40.24,59.00
2026-04-21T12:11:00Z,42.92,57.62
2026-04-21T12:12:00Z,45.99,54.80
2026-04-21T12:13:00Z,50.00,48.40
2026-04-21T12:14:00Z,47.77,50.99
2026-04-21T12:15:00Z,47.77,51.15
2026-04-21T12:16:00Z,47.77,55.82
2026-04-21T12:17:00Z,47.77,59.00
2026-04-21T12:18:00Z,38.00,63.60
2026-04-21T12:19:00Z,32.81,67.06
2026-04-21T12:20:00Z,30.87,69.00
2026-04-21T12:21:00Z,30.87,62.15
2026-04-21T12:22:00Z,36.00,62.48
2026-04-21T12:23:00Z,35.00,65.09
2026-04-21T12:24:00Z,35.00,65.00
2026-04-21T12:25:00Z,30.00,74.00
2026-04-21T12:27:00Z,27.00,71.43
2026-04-21T12:28:00Z,32.00,70.00
2026-04-21T12:29:00Z,33.72,66.91
2026-04-21T12:30:00Z,33.81,66.73
2026-04-21T12:31:00Z,37.00,63.80
2026-04-21T12:32:00Z,44.39,59.05
2026-04-21T12:33:00Z,44.39,56.33
2026-04-21T12:34:00Z,44.39,54.00
2026-04-21T12:35:00Z,46.80,54.00
2026-04-21T12:36:00Z,47.58,52.02
2026-04-21T12:37:00Z,51.11,50.25
2026-04-21T12:38:00Z,47.00,53.92
2026-04-21T12:39:00Z,47.00,58.48
2026-04-21T12:40:00Z,43.03,57.00
2026-04-21T12:41:00Z,42.93,58.00
2026-04-21T12:42:00Z,45.00,53.57
2026-04-21T12:43:00Z,45.25,56.50
2026-04-21T12:44:00Z,45.25,61.32
2026-04-21T12:45:00Z,35.00,61.32
2026-04-21T12:46:00Z,35.00,62.00
2026-04-21T12:47:00Z,35.00,64.69
2026-04-21T12:48:00Z,35.00,64.49
2026-04-21T12:49:00Z,35.21,65.00
2026-04-21T12:50:00Z,35.21,59.11
2026-04-21T12:51:00Z,36.96,63.64
2026-04-21T12:52:00Z,36.96,71.05
2026-04-21T12:53:00Z,36.99,62.04
2026-04-21T12:54:00Z,42.88,59.97
2026-04-21T12:55:00Z,47.00,53.55
2026-04-21T12:56:00Z,47.00,54.00
2026-04-21T12:57:00Z,48.04,54.83
2026-04-21T12:58:00Z,52.35,48.04
2026-04-21T12:59:00Z,55.18,43.82
2026-04-21T13:00:00Z,65.88,34.14
2026-04-21T13:01:00Z,67.00,33.04
2026-04-21T13:02:00Z,69.00,33.00
2026-04-21T13:03:00Z,70.98,31.00
2026-04-21T13:04:00Z,71.00,29.79
2026-04-21T13:05:00Z,71.00,30.00
2026-04-21T13:06:00Z,66.00,30.50
2026-04-21T13:07:00Z,65.01,34.04
2026-04-21T13:08:00Z,68.38,34.04
2026-04-21T13:09:00Z,68.78,30.00
2026-04-21T13:10:00Z,69.00,30.00
2026-04-21T13:11:00Z,70.26,29.25
2026-04-21T13:12:00Z,74.94,24.91
2026-04-21T13:13:00Z,69.94,29.16
2026-04-21T13:14:00Z,66.00,35.00
2026-04-21T13:15:00Z,67.27,33.70
2026-04-21T13:16:00Z,70.00,31.65
2026-04-21T13:17:00Z,69.15,32.14
2026-04-21T13:18:00Z,70.00,33.49
2026-04-21T13:19:00Z,80.76,29.02
2026-04-21T13:20:00Z,84.95,13.91
2026-04-21T13:21:00Z,84.26,15.10
2026-04-21T13:22:00Z,87.95,12.21
2026-04-21T13:23:00Z,90.85,11.53
2026-04-21T13:24:00Z,91.78,8.33
2026-04-21T13:25:00Z,91.73,9.92
2026-04-21T13:26:00Z,89.44,11.06
2026-04-21T13:27:00Z,89.00,13.00
2026-04-21T13:28:00Z,87.55,15.90
2026-04-21T13:29:00Z,90.24,12.06
2026-04-21T13:30:00Z,90.73,7.66
2026-04-21T13:31:00Z,93.11,7.97
2026-04-21T13:32:00Z,95.25,4.91
2026-04-21T13:33:00Z,82.40,7.74
2026-04-21T13:34:00Z,92.80,10.02
2026-04-21T13:35:00Z,91.00,11.00
2026-04-21T13:36:00Z,87.66,13.81
2026-04-21T13:37:00Z,94.89,7.29
2026-04-21T13:38:00Z,95.95,4.94
2026-04-21T13:39:00Z,96.20,5.04
2026-04-21T13:40:00Z,95.00,5.13
2026-04-21T13:41:00Z,94.97,6.00
2026-04-21T13:42:00Z,93.66,6.34
2026-04-21T13:43:00Z,96.18,4.71
2026-04-21T13:44:00Z,98.60,1.79
2026-04-21T13:45:00Z,99.00,1.00
2026-04-21T13:46:00Z,99.00,1.00
2026-04-21T13:47:00Z,99.00,1.00
