# event_ticker=KXATPMATCH-25SEP20ETCHIJ
# final_score=6-1 6-4
# score_resolution=1-6 4-6
# match_winner=Tomas Martin Etcheverry
# fav_player=Rinky Hijikata
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2025-09-20
timestamp,Rinky Hijikata,Tomas Martin Etcheverry
2025-09-19T20:22:00Z,,65.00
2025-09-19T22:29:00Z,,65.00
2025-09-20T01:50:00Z,36.00,65.00
2025-09-20T02:03:00Z,36.00,65.00
2025-09-20T02:12:00Z,36.00,64.00
2025-09-20T02:55:00Z,36.00,64.00
2025-09-20T03:04:00Z,36.00,64.00
2025-09-20T03:13:00Z,36.00,64.00
2025-09-20T03:32:00Z,36.00,64.00
2025-09-20T03:39:00Z,36.00,64.00
2025-09-20T03:43:00Z,36.00,64.00
2025-09-20T03:44:00Z,37.00,64.00
2025-09-20T03:45:00Z,37.00,64.00
2025-09-20T04:04:00Z,37.00,64.00
2025-09-20T04:06:00Z,37.00,64.00
2025-09-20T04:11:00Z,37.00,64.00
2025-09-20T04:16:00Z,37.00,64.00
2025-09-20T04:21:00Z,37.00,64.00
2025-09-20T04:22:00Z,37.00,64.00
2025-09-20T04:26:00Z,37.00,64.00
2025-09-20T04:30:00Z,37.00,64.00
2025-09-20T04:31:00Z,37.00,64.00
2025-09-20T04:33:00Z,37.00,64.00
2025-09-20T04:39:00Z,37.00,64.00
2025-09-20T04:48:00Z,37.00,64.00
2025-09-20T04:54:00Z,37.00,64.00
2025-09-20T05:02:00Z,37.00,64.00
2025-09-20T05:03:00Z,37.00,64.00
2025-09-20T05:05:00Z,37.00,64.00
2025-09-20T05:07:00Z,37.00,64.00
2025-09-20T05:09:00Z,37.00,63.00
2025-09-20T05:12:00Z,37.00,63.00
2025-09-20T05:13:00Z,37.00,63.66
2025-09-20T05:20:00Z,37.00,64.00
2025-09-20T05:25:00Z,37.00,64.00
2025-09-20T05:26:00Z,37.00,64.00
2025-09-20T05:27:00Z,37.00,64.00
2025-09-20T05:29:00Z,37.00,64.00
2025-09-20T05:32:00Z,38.00,64.50
2025-09-20T05:33:00Z,38.00,65.00
2025-09-20T05:35:00Z,38.00,65.00
2025-09-20T05:38:00Z,38.00,63.00
2025-09-20T05:39:00Z,42.81,62.78
2025-09-20T05:40:00Z,42.81,61.16
2025-09-20T05:41:00Z,42.81,60.00
2025-09-20T05:42:00Z,42.81,63.45
2025-09-20T05:43:00Z,34.56,67.79
2025-09-20T05:45:00Z,32.00,68.26
2025-09-20T05:46:00Z,50.29,69.00
2025-09-20T05:47:00Z,50.29,70.00
2025-09-20T05:48:00Z,43.09,59.67
2025-09-20T05:49:00Z,33.00,67.00
2025-09-20T05:50:00Z,33.04,69.04
2025-09-20T05:51:00Z,33.04,71.00
2025-09-20T05:52:00Z,33.04,70.00
2025-09-20T05:53:00Z,34.00,70.00
2025-09-20T05:54:00Z,33.00,70.00
2025-09-20T05:55:00Z,27.32,70.67
2025-09-20T05:56:00Z,27.32,78.41
2025-09-20T05:57:00Z,20.59,78.41
2025-09-20T05:58:00Z,20.00,80.28
2025-09-20T05:59:00Z,16.00,83.27
2025-09-20T06:00:00Z,16.00,85.00
2025-09-20T06:04:00Z,16.00,84.05
2025-09-20T06:05:00Z,16.00,84.00
2025-09-20T06:06:00Z,4.00,89.34
2025-09-20T06:07:00Z,5.00,89.34
2025-09-20T06:08:00Z,10.00,89.34
2025-09-20T06:10:00Z,11.00,89.34
2025-09-20T06:13:00Z,11.00,91.00
2025-09-20T06:15:00Z,7.00,90.00
2025-09-20T06:16:00Z,7.00,91.99
2025-09-20T06:20:00Z,10.00,91.99
2025-09-20T06:21:00Z,12.00,91.99
2025-09-20T06:22:00Z,12.00,90.00
2025-09-20T06:24:00Z,11.00,91.00
2025-09-20T06:26:00Z,11.00,90.00
2025-09-20T06:30:00Z,11.00,89.48
2025-09-20T06:31:00Z,11.00,90.00
2025-09-20T06:32:00Z,11.00,89.00
2025-09-20T06:33:00Z,13.15,88.00
2025-09-20T06:34:00Z,14.00,88.00
2025-09-20T06:35:00Z,14.00,84.23
2025-09-20T06:36:00Z,14.00,86.00
2025-09-20T06:37:00Z,14.00,88.00
2025-09-20T06:38:00Z,14.00,88.00
2025-09-20T06:39:00Z,14.00,88.83
2025-09-20T06:40:00Z,14.00,89.00
2025-09-20T06:41:00Z,15.12,89.00
2025-09-20T06:42:00Z,15.12,85.01
2025-09-20T06:43:00Z,14.83,89.12
2025-09-20T06:44:00Z,15.00,87.12
2025-09-20T06:45:00Z,10.00,89.93
2025-09-20T06:46:00Z,10.00,91.79
2025-09-20T06:47:00Z,5.41,91.35
2025-09-20T06:48:00Z,4.00,97.55
2025-09-20T06:49:00Z,3.34,97.00
2025-09-20T06:50:00Z,4.00,96.00
2025-09-20T06:51:00Z,4.00,97.00
2025-09-20T06:52:00Z,3.00,99.00
2025-09-20T06:53:00Z,3.03,99.00
2025-09-20T06:54:00Z,3.00,98.43
2025-09-20T06:55:00Z,3.60,97.06
2025-09-20T06:56:00Z,3.60,98.00
2025-09-20T06:57:00Z,4.00,98.00
2025-09-20T06:58:00Z,4.00,98.00
2025-09-20T06:59:00Z,4.00,98.99
2025-09-20T07:00:00Z,3.00,98.99
2025-09-20T07:01:00Z,3.00,99.00
2025-09-20T07:02:00Z,2.00,97.96
2025-09-20T07:04:00Z,2.00,97.96
2025-09-20T07:05:00Z,2.00,97.96
2025-09-20T07:06:00Z,2.00,97.96
2025-09-20T07:08:00Z,2.84,97.00
2025-09-20T07:09:00Z,2.07,99.00
2025-09-20T07:10:00Z,2.00,99.00
2025-09-20T07:11:00Z,1.00,99.00
2025-09-20T07:14:00Z,1.00,99.00
