# event_ticker=KXATPMATCH-26FEB18MEDTSI
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Stefanos Tsitsipas
# fav_player=Daniil Medvedev
# dog_player=Stefanos Tsitsipas
# kalshi_date=2026-02-18
timestamp,Daniil Medvedev,Stefanos Tsitsipas
2026-02-18T01:17:00Z,73.00,
2026-02-18T01:24:00Z,73.00,
2026-02-18T01:41:00Z,73.00,30.00
2026-02-18T01:42:00Z,73.00,30.00
2026-02-18T01:44:00Z,73.00,27.00
2026-02-18T01:52:00Z,73.00,27.00
2026-02-18T01:57:00Z,73.00,27.00
2026-02-18T01:59:00Z,73.00,30.00
2026-02-18T02:04:00Z,73.00,30.00
2026-02-18T02:07:00Z,70.00,30.00
2026-02-18T02:09:00Z,70.00,30.00
2026-02-18T02:16:00Z,73.00,30.00
2026-02-18T02:18:00Z,73.00,30.00
2026-02-18T02:20:00Z,73.00,30.00
2026-02-18T02:22:00Z,73.00,30.00
2026-02-18T02:24:00Z,73.00,31.00
2026-02-18T02:26:00Z,73.00,31.00
2026-02-18T02:28:00Z,73.00,31.00
2026-02-18T02:35:00Z,73.00,31.00
2026-02-18T02:42:00Z,73.00,31.00
2026-02-18T02:45:00Z,73.00,31.00
2026-02-18T02:46:00Z,73.00,31.00
2026-02-18T02:49:00Z,73.00,31.00
2026-02-18T02:50:00Z,70.00,31.00
2026-02-18T02:51:00Z,72.00,31.00
2026-02-18T02:56:00Z,72.00,31.00
2026-02-18T02:57:00Z,72.00,31.00
2026-02-18T03:00:00Z,72.00,31.00
2026-02-18T03:01:00Z,73.00,31.00
2026-02-18T03:02:00Z,73.00,31.00
2026-02-18T03:03:00Z,73.00,31.00
2026-02-18T03:05:00Z,73.00,31.00
2026-02-18T03:06:00Z,73.00,31.00
2026-02-18T03:07:00Z,73.00,31.00
2026-02-18T03:08:00Z,73.00,31.00
2026-02-18T03:13:00Z,73.00,31.00
2026-02-18T03:17:00Z,73.00,31.00
2026-02-18T03:20:00Z,72.00,31.00
2026-02-18T03:22:00Z,72.00,31.00
