# event_ticker=KXATPCHALLENGERMATCH-26APR28ARTBIC
# final_score=4-3 RET
# match_winner=Blaise Bicknell
# fav_player=Blaise Bicknell
# dog_player=Bor Artnak
# kalshi_date=2026-04-28
timestamp,Bor Artnak,Blaise Bicknell
2026-04-28T15:03:00Z,40.00,
2026-04-28T15:49:00Z,40.00,
2026-04-28T16:30:00Z,40.00,61.00
2026-04-28T17:41:00Z,40.00,61.00
2026-04-28T17:55:00Z,40.00,61.00
2026-04-28T18:07:00Z,40.00,61.00
2026-04-28T18:10:00Z,40.00,61.00
2026-04-28T18:28:00Z,40.00,61.00
2026-04-28T18:30:00Z,40.00,61.00
2026-04-28T18:35:00Z,40.00,61.00
2026-04-28T18:44:00Z,40.00,61.00
2026-04-28T18:46:00Z,40.00,61.42
2026-04-28T18:48:00Z,40.00,62.00
2026-04-28T18:53:00Z,40.00,62.00
2026-04-28T19:07:00Z,40.00,61.29
2026-04-28T19:09:00Z,40.00,61.78
2026-04-28T19:19:00Z,40.77,61.78
2026-04-28T19:36:00Z,40.77,62.00
2026-04-28T19:37:00Z,40.77,63.00
2026-04-28T19:40:00Z,40.77,61.00
2026-04-28T19:41:00Z,40.77,60.00
2026-04-28T19:42:00Z,42.99,60.00
2026-04-28T19:44:00Z,38.75,61.69
2026-04-28T19:45:00Z,38.89,60.33
2026-04-28T19:46:00Z,38.00,61.00
2026-04-28T19:47:00Z,29.00,70.00
2026-04-28T19:49:00Z,31.00,69.78
2026-04-28T19:50:00Z,35.20,64.00
2026-04-28T19:51:00Z,39.01,62.27
2026-04-28T19:52:00Z,41.20,58.00
2026-04-28T19:53:00Z,42.36,58.00
2026-04-28T19:54:00Z,45.90,55.02
2026-04-28T19:55:00Z,46.00,54.82
2026-04-28T19:56:00Z,42.03,54.82
2026-04-28T19:57:00Z,43.92,57.05
2026-04-28T19:58:00Z,54.02,47.13
2026-04-28T19:59:00Z,61.47,40.38
2026-04-28T20:00:00Z,60.34,38.00
2026-04-28T20:01:00Z,51.67,44.87
2026-04-28T20:02:00Z,51.67,53.89
2026-04-28T20:03:00Z,48.33,55.17
2026-04-28T20:04:00Z,42.72,56.48
2026-04-28T20:05:00Z,66.14,40.33
2026-04-28T20:06:00Z,69.48,31.77
2026-04-28T20:07:00Z,54.11,43.20
2026-04-28T20:08:00Z,44.00,54.51
2026-04-28T20:09:00Z,44.00,60.00
2026-04-28T20:10:00Z,36.44,65.70
2026-04-28T20:11:00Z,20.58,79.90
2026-04-28T20:12:00Z,7.89,89.71
