# event_ticker=KXATPCHALLENGERMATCH-26APR14MARLAN
# final_score=6-4 7-5
# score_resolution=4-6 5-7
# match_winner=Andres Martin
# fav_player=Christian Langmo
# dog_player=Andres Martin
# kalshi_date=2026-04-14
timestamp,Christian Langmo,Andres Martin
2026-04-14T06:00:00Z,,61.00
2026-04-14T09:38:00Z,,60.00
2026-04-14T11:25:00Z,,52.00
2026-04-14T12:59:00Z,,52.00
2026-04-14T13:54:00Z,51.00,52.00
2026-04-14T14:12:00Z,51.00,52.00
2026-04-14T14:31:00Z,51.00,52.00
2026-04-14T14:32:00Z,51.00,52.00
2026-04-14T14:54:00Z,51.00,50.00
2026-04-14T14:56:00Z,51.00,49.81
2026-04-14T14:59:00Z,52.00,49.81
2026-04-14T15:01:00Z,53.00,49.81
2026-04-14T15:04:00Z,48.14,56.52
2026-04-14T15:05:00Z,49.00,53.00
2026-04-14T15:07:00Z,48.00,52.43
2026-04-14T15:08:00Z,46.70,53.00
2026-04-14T15:09:00Z,49.46,50.31
2026-04-14T15:10:00Z,50.76,52.08
2026-04-14T15:11:00Z,47.00,52.00
2026-04-14T15:12:00Z,47.20,54.00
2026-04-14T15:13:00Z,52.00,54.00
2026-04-14T15:14:00Z,50.00,51.00
2026-04-14T15:15:00Z,46.92,50.71
2026-04-14T15:16:00Z,46.92,50.00
2026-04-14T15:17:00Z,53.97,49.97
2026-04-14T15:18:00Z,63.21,39.92
2026-04-14T15:19:00Z,66.10,35.22
2026-04-14T15:20:00Z,67.67,32.10
2026-04-14T15:21:00Z,59.25,41.67
2026-04-14T15:22:00Z,54.00,46.52
2026-04-14T15:23:00Z,45.29,50.31
2026-04-14T15:24:00Z,45.29,52.01
2026-04-14T15:25:00Z,42.19,61.41
2026-04-14T15:26:00Z,43.00,57.00
2026-04-14T15:27:00Z,45.61,56.89
2026-04-14T15:28:00Z,41.60,58.00
2026-04-14T15:29:00Z,47.67,52.16
2026-04-14T15:30:00Z,49.00,51.00
2026-04-14T15:31:00Z,45.00,56.31
2026-04-14T15:32:00Z,40.00,56.31
2026-04-14T15:33:00Z,40.00,59.72
2026-04-14T15:34:00Z,41.54,59.72
2026-04-14T15:35:00Z,47.94,53.46
2026-04-14T15:36:00Z,46.16,53.13
2026-04-14T15:37:00Z,43.00,54.00
2026-04-14T15:38:00Z,43.00,56.65
2026-04-14T15:39:00Z,41.81,58.14
2026-04-14T15:40:00Z,48.59,50.92
2026-04-14T15:41:00Z,45.67,54.04
2026-04-14T15:42:00Z,39.58,54.04
2026-04-14T15:43:00Z,35.71,63.86
2026-04-14T15:44:00Z,28.00,70.44
2026-04-14T15:45:00Z,23.17,75.44
2026-04-14T15:46:00Z,23.17,78.00
2026-04-14T15:47:00Z,23.00,78.00
2026-04-14T15:48:00Z,23.00,78.00
2026-04-14T15:49:00Z,22.49,80.00
2026-04-14T15:50:00Z,22.49,81.00
2026-04-14T15:51:00Z,22.03,74.00
2026-04-14T15:52:00Z,26.26,79.00
2026-04-14T15:53:00Z,26.00,72.73
2026-04-14T15:54:00Z,27.24,74.69
2026-04-14T15:55:00Z,27.24,75.00
2026-04-14T15:56:00Z,27.24,79.96
2026-04-14T15:57:00Z,20.00,81.00
2026-04-14T15:58:00Z,15.39,84.98
2026-04-14T15:59:00Z,15.32,84.94
2026-04-14T16:00:00Z,13.31,87.80
2026-04-14T16:01:00Z,18.62,83.18
2026-04-14T16:02:00Z,18.62,77.00
2026-04-14T16:03:00Z,18.62,82.02
2026-04-14T16:04:00Z,18.00,83.00
2026-04-14T16:05:00Z,18.00,83.00
2026-04-14T16:06:00Z,18.61,82.85
2026-04-14T16:07:00Z,18.48,83.00
2026-04-14T16:08:00Z,20.19,79.35
2026-04-14T16:09:00Z,20.55,80.72
2026-04-14T16:10:00Z,22.95,78.42
2026-04-14T16:11:00Z,22.58,80.74
2026-04-14T16:12:00Z,23.85,79.84
2026-04-14T16:13:00Z,17.00,80.00
2026-04-14T16:14:00Z,18.00,82.98
2026-04-14T16:15:00Z,18.00,83.01
2026-04-14T16:16:00Z,14.78,85.80
2026-04-14T16:17:00Z,14.92,88.50
2026-04-14T16:18:00Z,15.44,85.84
2026-04-14T16:19:00Z,21.68,85.84
2026-04-14T16:20:00Z,21.13,77.93
2026-04-14T16:21:00Z,20.83,78.00
2026-04-14T16:22:00Z,22.98,80.45
2026-04-14T16:23:00Z,20.72,80.49
2026-04-14T16:24:00Z,17.89,83.00
2026-04-14T16:25:00Z,19.27,81.00
2026-04-14T16:26:00Z,23.00,81.00
2026-04-14T16:27:00Z,24.85,76.46
2026-04-14T16:28:00Z,20.09,79.24
2026-04-14T16:29:00Z,18.93,81.81
2026-04-14T16:30:00Z,21.82,79.41
2026-04-14T16:31:00Z,20.59,82.86
2026-04-14T16:32:00Z,22.40,80.73
2026-04-14T16:33:00Z,24.00,78.00
2026-04-14T16:34:00Z,23.07,78.34
2026-04-14T16:35:00Z,23.25,76.13
2026-04-14T16:36:00Z,18.29,79.77
2026-04-14T16:37:00Z,18.36,81.00
2026-04-14T16:38:00Z,16.45,85.12
2026-04-14T16:39:00Z,10.08,89.46
2026-04-14T16:40:00Z,2.64,95.90
2026-04-14T16:41:00Z,2.64,99.00
2026-04-14T16:42:00Z,2.64,99.00
