# event_ticker=KXATPMATCH-26FEB16BORWON
# final_score=7-6(5) 4-6 6-3
# score_resolution=7-6 4-6 6-3
# match_winner=Coleman Wong
# fav_player=Coleman Wong
# dog_player=Nuno Borges
# kalshi_date=2026-02-16
timestamp,Coleman Wong,Nuno Borges
2026-02-16T06:22:00Z,,60.00
2026-02-16T06:24:00Z,,61.00
2026-02-16T06:43:00Z,,61.00
2026-02-16T07:20:00Z,,61.00
2026-02-16T07:25:00Z,,61.00
2026-02-16T07:32:00Z,40.00,61.61
2026-02-16T07:37:00Z,41.00,61.61
2026-02-16T07:41:00Z,41.00,61.00
2026-02-16T07:53:00Z,41.00,61.00
2026-02-16T07:55:00Z,41.00,61.00
2026-02-16T07:59:00Z,41.00,61.00
2026-02-16T08:01:00Z,41.00,61.00
2026-02-16T08:28:00Z,41.00,61.00
2026-02-16T08:30:00Z,41.00,61.00
2026-02-16T08:36:00Z,42.19,61.00
2026-02-16T08:39:00Z,42.19,61.00
2026-02-16T08:55:00Z,42.19,61.00
2026-02-16T09:07:00Z,42.19,61.00
2026-02-16T09:19:00Z,42.19,61.00
2026-02-16T09:21:00Z,42.80,61.00
2026-02-16T09:28:00Z,42.80,61.00
2026-02-16T09:43:00Z,42.80,61.00
2026-02-16T09:56:00Z,43.00,61.00
2026-02-16T10:22:00Z,43.00,61.00
2026-02-16T10:30:00Z,43.00,60.00
2026-02-16T10:34:00Z,43.00,60.00
2026-02-16T10:41:00Z,43.00,57.00
2026-02-16T10:43:00Z,43.00,57.00
2026-02-16T10:48:00Z,43.00,57.00
2026-02-16T11:05:00Z,43.00,57.00
2026-02-16T11:06:00Z,45.00,57.27
2026-02-16T11:10:00Z,45.00,57.26
2026-02-16T11:17:00Z,45.00,57.00
2026-02-16T11:26:00Z,45.00,57.00
2026-02-16T11:29:00Z,45.00,57.00
2026-02-16T11:30:00Z,45.00,57.00
2026-02-16T11:38:00Z,45.00,57.00
2026-02-16T11:41:00Z,45.00,56.00
2026-02-16T11:52:00Z,45.00,57.00
2026-02-16T11:55:00Z,45.00,57.00
2026-02-16T12:03:00Z,45.00,57.00
2026-02-16T12:12:00Z,45.00,57.00
2026-02-16T12:20:00Z,45.00,57.00
2026-02-16T12:30:00Z,45.00,57.00
2026-02-16T12:32:00Z,45.00,57.00
2026-02-16T12:40:00Z,45.00,57.00
2026-02-16T12:50:00Z,45.00,57.00
2026-02-16T12:57:00Z,45.00,57.00
2026-02-16T13:04:00Z,44.00,57.00
2026-02-16T13:12:00Z,44.00,57.00
2026-02-16T13:21:00Z,44.00,57.00
2026-02-16T13:24:00Z,45.00,57.00
2026-02-16T13:40:00Z,45.00,57.00
2026-02-16T13:43:00Z,45.00,57.00
2026-02-16T13:46:00Z,45.00,56.00
2026-02-16T13:47:00Z,45.00,54.00
2026-02-16T13:49:00Z,46.00,54.00
2026-02-16T13:51:00Z,46.00,54.00
2026-02-16T13:52:00Z,46.00,53.45
2026-02-16T13:53:00Z,46.00,53.45
2026-02-16T13:54:00Z,46.84,53.45
2026-02-16T14:03:00Z,45.00,53.45
2026-02-16T14:07:00Z,45.00,56.00
2026-02-16T14:11:00Z,45.00,56.00
2026-02-16T14:23:00Z,45.00,56.00
2026-02-16T14:28:00Z,45.00,56.00
2026-02-16T14:30:00Z,45.00,56.00
2026-02-16T14:35:00Z,45.00,56.00
2026-02-16T14:37:00Z,45.00,56.00
2026-02-16T14:49:00Z,45.00,56.00
2026-02-16T14:54:00Z,45.00,56.00
2026-02-16T14:55:00Z,46.00,56.00
2026-02-16T14:56:00Z,46.00,56.00
2026-02-16T14:59:00Z,46.00,56.00
2026-02-16T15:03:00Z,46.00,56.00
2026-02-16T15:04:00Z,46.00,55.24
2026-02-16T15:05:00Z,46.00,56.00
2026-02-16T15:06:00Z,46.00,56.00
2026-02-16T15:11:00Z,46.00,56.00
2026-02-16T15:12:00Z,46.00,56.00
2026-02-16T15:14:00Z,46.00,54.65
2026-02-16T15:16:00Z,46.00,56.00
2026-02-16T15:17:00Z,46.00,56.00
2026-02-16T15:18:00Z,46.00,57.00
2026-02-16T15:19:00Z,46.00,57.00
2026-02-16T15:21:00Z,46.00,57.00
2026-02-16T15:22:00Z,46.00,57.00
2026-02-16T15:23:00Z,46.00,57.00
2026-02-16T15:25:00Z,46.00,57.00
2026-02-16T15:26:00Z,46.00,57.00
2026-02-16T15:29:00Z,46.00,57.00
2026-02-16T15:30:00Z,46.00,57.00
2026-02-16T15:31:00Z,46.00,57.00
2026-02-16T15:36:00Z,46.00,57.00
2026-02-16T15:39:00Z,46.00,57.00
2026-02-16T15:40:00Z,46.00,57.00
2026-02-16T15:42:00Z,46.00,57.00
