# event_ticker=KXATPCHALLENGERMATCH-26MAR30NAPMEN
# final_score=6-4 6-0
# match_winner=Facundo Mena
# fav_player=Facundo Mena
# dog_player=Stefano Napolitano
# kalshi_date=2026-03-30
timestamp,Facundo Mena,Stefano Napolitano
2026-03-30T13:55:00Z,,69.00
2026-03-30T14:01:00Z,35.00,69.00
2026-03-30T14:03:00Z,35.00,66.15
2026-03-30T15:35:00Z,35.00,63.10
2026-03-30T16:03:00Z,35.00,61.00
2026-03-30T16:16:00Z,35.00,67.00
2026-03-30T17:11:00Z,35.00,65.00
2026-03-30T18:12:00Z,35.00,64.28
2026-03-30T18:33:00Z,36.00,64.28
2026-03-30T19:27:00Z,36.00,66.00
2026-03-30T20:04:00Z,36.00,66.00
2026-03-30T20:30:00Z,39.00,66.00
2026-03-30T20:48:00Z,39.00,66.00
2026-03-30T21:08:00Z,39.00,66.00
2026-03-30T21:19:00Z,39.00,66.00
2026-03-30T21:23:00Z,39.00,66.00
2026-03-30T21:40:00Z,39.00,66.40
2026-03-30T22:04:00Z,39.00,66.00
2026-03-30T22:23:00Z,39.00,66.00
2026-03-30T22:38:00Z,39.00,64.97
2026-03-30T22:49:00Z,39.00,66.00
2026-03-30T22:52:00Z,39.00,66.90
2026-03-30T22:53:00Z,39.00,66.99
2026-03-30T23:01:00Z,37.00,66.00
2026-03-30T23:03:00Z,37.00,66.00
2026-03-30T23:31:00Z,37.00,69.00
2026-03-30T23:32:00Z,37.00,66.00
2026-03-30T23:40:00Z,37.00,66.00
2026-03-30T23:42:00Z,34.93,66.00
2026-03-31T00:05:00Z,35.00,70.00
2026-03-31T00:07:00Z,34.81,70.00
2026-03-31T00:09:00Z,34.81,64.50
2026-03-31T00:18:00Z,34.00,70.00
2026-03-31T00:21:00Z,35.00,70.00
2026-03-31T00:34:00Z,35.00,70.00
2026-03-31T00:35:00Z,34.09,70.00
2026-03-31T00:54:00Z,37.47,70.00
2026-03-31T00:55:00Z,35.00,68.00
2026-03-31T01:02:00Z,35.60,68.00
2026-03-31T01:07:00Z,35.00,67.50
2026-03-31T01:11:00Z,35.00,67.50
2026-03-31T01:13:00Z,35.00,65.00
2026-03-31T01:14:00Z,33.02,65.00
2026-03-31T01:22:00Z,38.00,65.00
2026-03-31T01:23:00Z,38.00,65.00
2026-03-31T01:26:00Z,38.00,64.00
2026-03-31T01:30:00Z,38.00,64.81
2026-03-31T01:33:00Z,38.00,65.00
2026-03-31T01:35:00Z,38.00,65.00
2026-03-31T01:36:00Z,37.00,65.00
2026-03-31T01:37:00Z,37.00,65.00
2026-03-31T01:38:00Z,37.41,64.91
2026-03-31T01:39:00Z,37.90,64.81
2026-03-31T01:40:00Z,40.75,63.87
2026-03-31T01:41:00Z,45.18,63.86
2026-03-31T01:42:00Z,35.60,67.00
2026-03-31T01:43:00Z,32.01,70.90
2026-03-31T01:44:00Z,31.00,69.52
2026-03-31T01:45:00Z,33.74,69.52
2026-03-31T01:46:00Z,35.82,68.17
2026-03-31T01:47:00Z,37.00,64.27
2026-03-31T01:48:00Z,36.96,65.00
2026-03-31T01:49:00Z,34.01,67.73
2026-03-31T01:50:00Z,35.03,67.00
2026-03-31T01:51:00Z,34.24,67.00
2026-03-31T01:52:00Z,32.19,70.04
2026-03-31T01:53:00Z,33.89,69.79
2026-03-31T01:54:00Z,35.96,65.18
2026-03-31T01:55:00Z,37.01,64.19
2026-03-31T01:56:00Z,36.80,64.01
2026-03-31T01:57:00Z,34.60,64.98
2026-03-31T01:58:00Z,37.60,64.94
2026-03-31T01:59:00Z,37.80,64.77
2026-03-31T02:00:00Z,38.24,62.47
2026-03-31T02:01:00Z,41.85,57.93
2026-03-31T02:02:00Z,50.80,48.17
2026-03-31T02:03:00Z,51.28,46.99
2026-03-31T02:04:00Z,55.42,50.64
2026-03-31T02:05:00Z,56.84,42.99
2026-03-31T02:06:00Z,58.65,42.79
2026-03-31T02:07:00Z,59.27,41.00
2026-03-31T02:08:00Z,57.00,42.47
2026-03-31T02:09:00Z,55.98,46.68
2026-03-31T02:10:00Z,55.56,46.00
2026-03-31T02:11:00Z,59.22,43.63
2026-03-31T02:12:00Z,61.22,37.90
2026-03-31T02:13:00Z,62.87,38.08
2026-03-31T02:14:00Z,61.87,38.60
2026-03-31T02:15:00Z,61.87,36.45
2026-03-31T02:16:00Z,62.00,38.03
2026-03-31T02:17:00Z,61.98,38.62
2026-03-31T02:18:00Z,66.58,33.07
2026-03-31T02:19:00Z,68.15,32.96
2026-03-31T02:20:00Z,67.56,32.22
2026-03-31T02:21:00Z,68.25,31.87
2026-03-31T02:22:00Z,67.84,31.65
2026-03-31T02:23:00Z,68.92,34.13
2026-03-31T02:24:00Z,72.06,26.01
2026-03-31T02:25:00Z,70.89,29.03
2026-03-31T02:26:00Z,79.62,19.59
2026-03-31T02:27:00Z,85.58,14.58
2026-03-31T02:28:00Z,88.54,13.73
2026-03-31T02:29:00Z,86.59,13.14
2026-03-31T02:30:00Z,89.09,11.18
2026-03-31T02:31:00Z,92.74,10.24
2026-03-31T02:32:00Z,91.01,10.38
2026-03-31T02:33:00Z,94.22,7.31
2026-03-31T02:34:00Z,96.52,3.42
2026-03-31T02:35:00Z,97.37,3.17
2026-03-31T02:36:00Z,98.27,2.42
2026-03-31T02:37:00Z,97.91,2.11
2026-03-31T02:38:00Z,98.70,1.00
2026-03-31T02:39:00Z,98.09,1.40
2026-03-31T02:40:00Z,99.00,1.00
2026-03-31T02:41:00Z,99.00,1.15
2026-03-31T02:42:00Z,99.00,1.00
2026-03-31T02:43:00Z,99.00,1.00
2026-03-31T02:44:00Z,99.00,1.00
2026-03-31T02:45:00Z,99.00,1.00
2026-03-31T02:47:00Z,99.00,1.00
2026-03-31T02:48:00Z,99.00,1.00
2026-03-31T02:49:00Z,99.00,1.00
2026-03-31T02:51:00Z,99.00,1.00
2026-03-31T02:53:00Z,99.00,1.00
